type,transactions,shares,value_usd
Exercise/conversion,48,3089689.2072,93550569.02865599
Gift,5,1312554.0,0.0
Grant/award,21,933277.0,21842022.529999997
Open-market sale,31,1894137.0,48737536.2782
Tax withholding,44,1693179.0,49981519.629999995
