filing,owner,role,date,code,acquired_disposed,shares,price,value,shares_after,plan_10b5_1
2025-12-10_0001648401-25-000027.xml,Neri Antonio F,Director; President and CEO,2025-12-08,F,D,59572.0,23.86,1421387.92,2043620.0,False
2025-12-11_0001655286-25-000009.xml,Cox Jeremy,"SVP, Controller & CTO",2025-12-09,S,D,50061.0,23.6998,1186435.6878,26905.0,True
2025-12-11_0002060058-25-000011.xml,Culloty Maeve C,"EVP, Pres & CEO Financial Serv",2025-12-09,M,A,40699.0,24.77,1008114.23,47775.0,False
2025-12-11_0002060058-25-000011.xml,Culloty Maeve C,"EVP, Pres & CEO Financial Serv",2025-12-09,F,D,28662.0,24.77,709957.74,19113.0,False
2025-12-11_0001812556-25-000009.xml,MacDonald Neil B,"EVP, GM, Server",2025-12-09,M,A,48099.0,24.77,1191412.23,192993.544,False
2025-12-11_0001700118-25-000008.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2025-12-09,F,D,18928.0,24.77,468846.56,177514.0,False
2025-12-11_0001700118-25-000008.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2025-12-09,M,A,48099.0,24.77,1191412.23,196442.0,False
2025-12-11_0001656326-25-000008.xml,MYERS MARIE,EVP & CFO,2025-12-09,F,D,25843.0,24.77,640131.11,202652.0,False
2025-12-11_0001656326-25-000008.xml,MYERS MARIE,EVP & CFO,2025-12-09,M,A,65673.0,24.77,1626720.21,228495.0,False
2025-12-11_0001655286-25-000009.xml,Cox Jeremy,"SVP, Controller & CTO",2025-12-09,F,D,8737.0,24.77,216415.49,76966.0,True
2025-12-11_0001812556-25-000009.xml,MacDonald Neil B,"EVP, GM, Server",2025-12-09,F,D,23848.0,24.77,590714.96,169145.544,False
2025-12-11_0001648401-25-000029.xml,Neri Antonio F,Director; President and CEO,2025-12-09,F,D,54888.0,24.77,1359575.76,2128218.0,False
2025-12-11_0001648401-25-000029.xml,Neri Antonio F,Director; President and CEO,2025-12-09,M,A,139486.0,24.77,3455068.2199999997,2183106.0,False
2025-12-11_0001584883-25-000010.xml,Karros Kirt P,"SVP, Treasurer, Corp Dev",2025-12-09,F,D,12842.0,24.77,318096.33999999997,55245.0,False
2025-12-11_0001584883-25-000010.xml,Karros Kirt P,"SVP, Treasurer, Corp Dev",2025-12-09,M,A,25900.0,24.77,641543.0,68087.0,False
2025-12-11_0001548933-25-000010.xml,SCHULTZ JOHN F,"EVP, COLO",2025-12-09,S,D,21007.0,23.7029,497926.8203,396592.475,True
2025-12-11_0001548933-25-000010.xml,SCHULTZ JOHN F,"EVP, COLO",2025-12-09,F,D,23295.0,24.77,577017.15,417599.475,True
2025-12-11_0001548933-25-000010.xml,SCHULTZ JOHN F,"EVP, COLO",2025-12-09,M,A,59199.0,24.77,1466359.23,440894.475,True
2025-12-11_0001655286-25-000009.xml,Cox Jeremy,"SVP, Controller & CTO",2025-12-09,M,A,22200.0,24.77,549894.0,85703.0,True
2025-12-11_0001655286-25-000009.xml,Cox Jeremy,"SVP, Controller & CTO",2025-12-10,S,D,13442.0,24.75,332689.5,13463.0,True
