date,close,ret,zscore,gap,volume,volume_ratio,spy_ret,excess_vs_spy
2015-11-06,8.36938190460205,0.0843374726165389,,-0.007530184773061777,51702744,,-0.0005233823059526133,0.08486085492249151
2016-01-07,7.968348979949951,-0.07364879323711959,,-0.02027038788058466,34143941,,-0.02399184701964685,-0.04965694621747274
2016-01-22,7.759113788604736,0.07574527210929216,,0.02336824560355022,26272736,1.1135782747697271,0.020515188543626994,0.05523008356566517
2016-03-04,8.973836898803711,0.135294309764334,4.550688161835401,0.09558814924169146,57415854,2.9310971424371535,0.0032537674033297215,0.13204054236100427
2016-06-24,10.554719924926758,-0.07582723859189877,-2.7810782870812143,-0.05292625973112408,43737768,2.3766410261360345,-0.03590894220515195,-0.03991829638674682
2017-02-24,13.34451389312744,-0.06893728057018089,-3.6691822580326225,-0.10279806384880752,80662819,5.3427514877012765,0.0012688108078009463,-0.07020609137798184
2017-06-01,13.59193229675293,-0.06858057437622211,-4.5240535152828425,-0.024455083444743564,50115031,2.8055530373487887,0.007952016227441572,-0.07653259060366369
2017-10-19,13.859999656677246,-0.05714265238293559,-4.185014078014578,-0.013605429378242606,23836500,1.7049387684042763,0.0002737422748249063,-0.057416394657760494
2017-11-22,13.100000381469728,-0.07223794293390418,-5.086976187059972,-0.06515581329677311,41931400,3.3093998497599997,-0.0008849449892797123,-0.07135299794462446
2018-02-05,15.65999984741211,-0.059459452654360145,-3.877768624240977,-0.007207143221265588,15838100,1.419128890819518,-0.041822692214304014,-0.017636760440056132
2018-02-23,18.13999938964844,0.10542372114687626,6.501208539302855,0.09750154761409391,45018300,4.203671170485566,0.015939417691305025,0.08948430345557123
2018-05-23,15.579999923706056,-0.1051119928039268,-6.082207961449502,-0.032165391777738805,56055200,4.954504981710248,0.0027512745561175667,-0.10786326736004437
2018-08-21,15.779999732971191,-0.05622006698998794,-3.0304032289437144,-0.014952153724092643,16634000,1.8596462356753354,0.002345292444544622,-0.05856535943453256
2018-12-06,16.020000457763672,0.0644517794401469,3.3950865385965145,-0.015946828443624494,29136600,2.6972943739575,-0.0015172035866417577,0.06596898302678866
2018-12-07,14.710000038146973,-0.08177264442873977,-4.216490208965238,-0.0031211104435787673,18469900,1.6748207696310098,-0.023235726969558335,-0.05853691745918144
2019-08-02,13.270000457763672,-0.061527328824983796,-3.325272870824472,-0.02828858292025993,21673400,2.3645557743605408,-0.007529198888561073,-0.05399812993642272
2019-11-26,15.970000267028809,-0.08481368170698989,-4.49406357524105,-0.055587460074112194,27706700,3.0615043400970694,0.002265692278340836,-0.08707937398533072
2020-03-09,11.140000343322754,-0.07089231675203156,-3.9541350883892203,-0.06672228573864747,14914600,1.5220703569485932,-0.07809446834249256,0.007202151590461003
2020-03-11,10.56999969482422,-0.0824654402932371,-4.42029637030512,-0.02777783296726144,16335600,1.5890086467688134,-0.048748636491271924,-0.03371680380196518
2020-03-12,9.119999885559082,-0.13718075640685845,-7.120019276335801,-0.07473982825561154,16073900,1.5368227860397417,-0.09567709490703036,-0.04150366149982809
2020-03-13,9.859999656677246,0.08114046056161306,3.852060514703025,0.06249996732201457,13959100,1.3196919814278247,0.08548634743838157,-0.004345886876768512
2020-03-16,8.350000381469727,-0.15314381016225276,-7.060045033567761,-0.13184576899860034,20677100,1.9306428523142392,-0.10942382866826106,-0.0437199814939917
2020-03-23,7.829999923706055,-0.09270002698258895,-3.810291871213919,-0.01042875450688463,12308900,1.0526802814080392,-0.025568154955305622,-0.06713187202728332
2020-03-24,8.9399995803833,0.14176239369606458,5.706834596960037,0.056194193913779555,12485900,1.0648299524754212,0.09060312810056415,0.051159265595500436
2020-03-26,10.529999732971191,0.1214057555077297,4.558799373676319,0.01810437381025576,13077200,1.0942662896497062,0.058390078106360654,0.06301567740136904
2020-04-15,9.520000457763672,-0.08108094869286597,-2.8306176842579536,-0.03378372967124843,16451900,1.3738896579184359,-0.021248320192384318,-0.059832628500481655
2020-05-18,9.989999771118164,0.0965968939016435,3.1779228802567236,0.03512630741582812,11822200,1.0774985613240522,0.03045941651075612,0.06613747739088738
2020-05-22,9.170000076293944,-0.11486457526564442,-3.717614747070585,-0.09266409941705289,28856500,2.7462011985776646,0.0018994377086469783,-0.1167640129742914
