peak,trough,recovered,depth,days_to_trough,days_to_recover
2018-03-06,2020-03-23,2022-01-07,-0.5687297084676786,748,655
2025-01-22,2025-04-08,2025-09-10,-0.4835785283119539,76,155
2022-03-29,2022-09-30,2023-06-15,-0.3059106541767993,185,258
2026-06-02,2026-07-02,2026-08-12,-0.2635685598837376,30,41
2024-06-18,2024-09-10,2024-11-08,-0.2628205328168537,84,59
2025-10-09,2025-11-20,2026-04-17,-0.23733326919001752,42,148
2015-12-01,2016-01-20,2016-03-07,-0.22461633024227046,50,47
