,1Y,3Y,Since 2019
SPY,0.46780058607208924,0.5331344397940089,0.5879408618265777
XLK,0.548425649724199,0.5679731330884623,0.560509497976883
DELL,0.6557101051629634,0.5940910542364786,0.6049296813044155
SMCI,0.48677200036087526,0.38469282969590296,0.37417428348526743
CSCO,0.5103586707371436,0.48404010550943494,0.5540957873107696
ANET,0.4428400682673119,0.45376922127225217,0.44193794620492816
NTAP,0.6040969290698496,0.5668498011040453,0.6214982952993006
P,0.4412608844740964,0.4753440465486033,0.4867463439550909
