date,open,high,low,close,adj_close,volume,ret,sma20,sma50,sma200,ema12,ema26,ema50,rsi14,bb_high,bb_low,bb_mid,bb_width,bb_pctb,macd,macd_signal,obv,vol21,vol63,volume_avg50,volume_ratio,gap,sigma252,zscore,drawdown,high52,low52
2015-11-02,8.71229362487793,8.816910743713379,8.055529594421387,8.421689987182617,6.30821418762207,70312635,,,,,,,,,,,,,,,,70312635,,,,,,,,0.0,,
2015-11-03,8.177582740783691,8.549555778503418,7.948007106781006,8.3461332321167,6.251619815826416,69176379,-0.008971536176863415,,,,,,,,,,,,,,,1136256,,,,,-0.028985541710802032,,,-0.008971536176863415,,
2015-11-04,8.363570213317871,8.43331527709961,7.91022777557373,7.939289093017578,5.946875095367432,54241942,-0.04874652161148729,,,,,,,,,,,,,,,-53105686,,,,,0.0020892287142113553,,,-0.05728072660621697,,
2015-11-05,7.927663803100586,8.072965621948242,7.625436782836914,7.718430042266846,5.781442165374756,38180025,-0.027818463872151367,,,,,,,,,,,,,,,-91285711,,,,,-0.001464273410476613,,,-0.08350572865470274,,
2015-11-06,7.660308837890625,8.415878295898438,7.6428728103637695,8.36938190460205,6.269034385681152,51702744,0.0843374726165389,,,,,,,,,,,,,,,-39582967,,,,,-0.007530184773061777,,,-0.006210918141903998,,
2015-11-09,8.288013458251953,8.415878295898438,8.212455749511719,8.253140449523926,6.181963920593262,30158099,-0.013888975515394364,,,,,,,,,,,,,,,-69741066,,,,,-0.009722157176906387,,,-0.020013630367297308,,
2015-11-10,8.212455749511719,8.392629623413086,8.14271068572998,8.37519359588623,6.273387908935547,25426050,0.01478882593244113,,,,,,,,,,,,,,,-44315016,,,,,-0.004929602284249768,,,-0.005520782530634261,,
2015-11-11,8.253140449523926,8.317072868347168,8.189208030700684,8.20083236694336,6.142782211303711,18942302,-0.020819005540181346,,,,,,,,,,,,,,,-63257318,,,,,-0.014573173141007145,,,-0.02622485086872428,,
2015-11-12,8.026470184326172,8.032281875610352,7.898603916168213,7.962536811828613,5.964288234710693,35050675,-0.02905751342845264,,,,,,,,,,,,,,,-98307993,,,,,-0.02126152258885594,,,-0.05452033534089973,,
2015-11-13,7.91022777557373,7.997408866882324,7.6428728103637695,7.782362937927246,5.829330921173096,25678456,-0.022627563965165076,,,,,,,,,,,,,,,-123986449,,,,,-0.00656939333419182,,,-0.0759142369307364,,
2015-11-16,7.770738124847412,7.91022777557373,7.63706111907959,7.776550769805908,5.824978828430176,23712203,-0.0007465852945682805,,,,,,,,,,,,,,,-147698652,,,,,-0.001493738235103459,,,-0.07660414577236374,,
