ticker,reported_life,life,gpu_share_of_da,operating_income,operating_margin
CRWV,6,6,0.8899774587108488,-231.0,-0.030434782608695653
CRWV,6,5,0.8899774587108488,-941.3800075429994,-0.12402898650105393
CRWV,6,4,0.8899774587108488,-2006.9500188574987,-0.2644202923395914
CRWV,6,3,0.8899774587108488,-3782.9000377149973,-0.4984058020704871
NBIS,5,6,0.9490829080351681,-563.0444750801144,-0.41550031368911106
NBIS,5,5,0.9490829080351681,-684.1,-0.5048335916168549
NBIS,5,4,0.9490829080351681,-865.6832873798286,-0.6388335085084706
NBIS,5,3,0.9490829080351681,-1168.3220996795428,-0.8621667033278303
