mv_Landlords,mv_Neoclouds,mv_Server providers,tan_Landlords,tan_Neoclouds,tan_Server providers
0.8984530396663671,1.3877787807814457e-17,0.101546960333633,0.4856512580017404,0.07609468586549072,0.4382540561327689
1.0,2.0816681711721685e-17,5.551115123125783e-17,0.0,0.1798797413062265,0.8201202586937736
0.9290554633925105,0.0,0.07094453660748953,0.38806836987593407,0.17623506144737955,0.4356965686766863
0.8994384524532549,3.469446951953614e-18,0.10056154754674514,0.3871220135088348,0.17436428562833242,0.4385137008628329
0.8908158406892904,0.0,0.1091841593107096,6.217579352640191e-15,0.0,1.0
0.9794540711123478,1.5178830414797062e-18,0.020545928887652224,0.0,0.42722172967715333,0.5727782703228468
0.8941305320651782,6.938893903907228e-18,0.10586946793482188,0.0,0.0,1.0
1.0,0.0,1.465841337200402e-16,0.0,0.2655318998466916,0.7344681001533085
0.94666699682516,0.0,0.05333300317484019,2.578973394498791e-17,0.8196857517600612,0.18031424823993875
0.941982279358501,0.0,0.05801772064149907,0.0,0.2644492044624533,0.7355507955375468
0.8198831813569809,3.469446951953614e-18,0.1801168186430191,0.0,0.19242465817786675,0.8075753418221334
0.9434400287521838,0.0,0.0565599712478162,0.49984558558687253,0.14936406322071274,0.3507903511924147
0.9258703292417397,0.0,0.07412967075826031,0.0,0.38241507700994476,0.6175849229900552
0.8678273768172833,0.0,0.13217262318271672,0.24604298711828743,0.28206985120629263,0.47188716167542
0.8915929524202453,1.3877787807814457e-17,0.10840704757975478,0.0,0.17454440323263623,0.8254555967673638
1.0,0.0,8.326672684688674e-17,0.719675456568215,2.329284219347923e-16,0.28032454343178487
0.9072822429487178,1.0408340855860843e-17,0.09271775705128207,4.7573295626676715e-18,0.36076866450028516,0.6392313354997148
0.9109476886284321,0.0,0.08905231137156798,0.3100249444966508,0.1019139641873585,0.5880610913159907
0.8816297218688807,9.540979117872439e-18,0.1183702781311193,0.0,0.4915738443657594,0.5084261556342407
1.0,2.0816681711721685e-17,5.551115123125783e-17,1.3097710783719456e-16,0.3110926627508724,0.6889073372491274
0.8694628639004433,0.0,0.1305371360995567,0.0,0.0,1.0
0.8302152091479122,1.0408340855860843e-17,0.16978479085208772,0.4367431005928769,0.3052119584186778,0.2580449409884453
0.9637307782684564,1.3877787807814457e-17,0.03626922173154351,0.0,0.08278807264216788,0.9172119273578322
0.9421918939259579,2.7755575615628914e-17,0.05780810607404213,0.0,0.36390403632468366,0.6360959636753165
