ticker,group,revenue,ttm_end,operating_income,d_and_a,capex,cfo,interest,assets,current_assets,cash,ppe_net,rou,rpo,noncurrent_basis,noncurrent_share,long_lived_share,asset_turnover,capex_to_revenue,da_to_revenue,interest_to_revenue,committed_cost_ratio,operating_margin,ebitda_margin,fcf_margin,contracted,contract_basis,contract_coverage
DLR,Landlords,6771.1179999999995,2026-06-30,977.8,1997.077,3473.782,2967.041,460.427,54517.914,,1864.796,32857.401,1093.015,,assets less cash (unclassified),0.9657948027872086,0.6227387203406205,0.12419987309125584,0.5130293106692279,0.29494051056265747,0.06799866728064702,0.3629391778433045,0.14440746712728977,0.43934797768994727,-0.07483860124723864,35551.58379999999,estimate: (TTM revenue + backlog rent) x 4.1-yr WALT,5.250474707426454
KEEL,Landlords,188.139,2026-06-30,-364.73,170.496,91.647,-250.487,12.57,1415.766,896.466,,287.055,10.219,,classified,0.3667979030432995,0.20997396462409748,0.13288848580909557,0.48712388181078886,0.9062235900052621,0.06681230366909571,0.9730358936743577,-1.9386198502171268,-1.0323962602118646,-1.818517160184757,0.0,no lease signed,0.0
IREN,Neoclouds,707.007,2026-06-30,-1046.714,417.729,2998.006,2100.418,59.251,15790.039,7886.176,5895.591,6753.183,2.72,5100.0,classified,0.500560068281022,0.42785853790481454,0.04477550688760173,4.2404191189054705,0.590841391952272,0.08380539372311731,0.6746467856753894,-1.4804860489358662,-0.8896446569835942,-1.2695602730948914,16500.0,RPO + contracted lease value,23.337817023028062
CRWV,Neoclouds,7590.0,2026-06-30,-231.0,3991.0,20566.0,6911.0,1619.0,77070.0,9520.0,5524.0,46736.0,16595.0,103700.0,classified,0.8764759309718437,0.8217334890359413,0.09848189957181783,2.7096179183135707,0.5258234519104085,0.21330698287220026,0.7391304347826086,-0.030434782608695653,0.49538866930171277,-1.7990777338603425,103700.0,RPO,13.662714097496707
NBIS,Neoclouds,1355.1,2026-06-30,-684.1,765.3,11141.8,5240.900000000001,239.5,27961.5,9615.6,,13045.2,1855.1,37490.6,classified,0.656112869481251,0.5328862900774279,0.048463065286197086,8.222123828499742,0.5647553686074829,0.17673972400560845,0.7414950926130913,-0.5048335916168549,0.05992177699062795,-4.354586377389122,37490.6,RPO (6-K),27.666297690207365
HPE,Server providers,41871.0,2026-07-31,2602.0,3490.0,2538.0,6694.0,599.0,83596.0,33865.0,6216.0,5645.0,1535.0,10900.0,classified,0.594896885018422,0.08588927699889946,0.500873247523805,0.06061474528910224,0.08335124549210671,0.014305844140335793,0.0976570896324425,0.06214324950443027,0.145494494996537,0.09925724248286404,10900.0,RPO,0.26032337417305534
DELL,Server providers,151197.0,2026-07-31,14252.0,3041.0,3592.0,12152.0,1598.0,127393.0,80547.0,11569.0,7417.0,729.0,132000.0,classified,0.3677282111262,0.06394385876775019,1.1868548507374816,0.02375708512735041,0.02011283292657923,0.010568992771020589,0.03068182569759982,0.0942611295197656,0.11437396244634483,0.05661487992486623,132000.0,RPO,0.8730331951030774
