ticker,first,last,n,growth_sd,worst_yoy,best_yoy,share_quarters_declining
DLR,2018-09-30,2026-06-30,32,0.07921137532063109,0.014224234493645405,0.3023466636564536,0.0
HPE,2018-10-31,2026-07-31,32,0.0872811475821589,-0.09939828362871139,0.2659410430839002,0.3125
DELL,2019-02-01,2026-07-31,31,0.1426544627543315,-0.13563894781087182,0.4903450927048525,0.3225806451612903
