ticker,n,sample,sum_of_lags,sum_p,r2,best_single_lag,best_lag_coef,best_lag_p,best_lag_r2,juniper_controlled_sum,juniper_controlled_p,juniper_controlled_n,juniper_dummy_coef,juniper_dummy_p,gap_vs_hpe_sum,gap_vs_hpe_p,gap_vs_hpe_n,revenue_growth,growth_basis,hyperscaler_ttm_capex_growth
DLR,33.0,2018Q2–2026Q2,0.05883019943924999,0.5595179059787644,0.08947957683928964,1.0,0.103759342563621,0.0933533191735974,0.07562469664688509,,,,,,,,,,,
HPE,33.0,2018Q2–2026Q2,0.4082248322211891,0.022067712176125878,0.4451560604781566,0.0,0.287519322549574,0.01036770294863306,0.36840023927776866,0.09403667062667886,0.4512065580242902,33.0,0.18416909541193752,0.0006413640387087777,,,,,,
DELL,33.0,2018Q2–2026Q2,0.8430410443390439,0.000113797034046761,0.548987137153219,0.0,0.5277458006697319,0.00186243123127519,0.42776866299714644,,,,,,0.43481621211785476,0.003805692240521381,33.0,,,
KEEL,,descriptive,,,,,,,,,,,,,,,,,TTM YoY,0.8120001023790329
IREN,,descriptive,,,,,,,,,,,,,,,,0.4111268344966197,TTM YoY,0.8120001023790329
CRWV,,descriptive,,,,,,,,,,,,,,,,1.1532250857814805,TTM YoY,0.8120001023790329
NBIS,,descriptive,,,,,,,,,,,,,,,,5.290384615384615,H1 YoY,0.8120001023790329
