window,basket,ann_return,ann_vol,sharpe,max_drawdown
main,Landlords,0.9113024687217985,0.6022720158463528,1.449338229545497,-0.479560159480104
main,Neoclouds,1.739281696569547,0.9130372998823051,1.8628757940322374,-0.49241560152654684
main,Server providers,1.3051347813243692,0.5642733072877787,2.244884089667016,-0.26459769740312944
robust,Landlords,0.47625160917043025,0.5941043685238235,0.735294068234259,-0.5462989771718847
robust,Neoclouds,1.429272997825143,0.954059549160634,1.4567883188896533,-0.5658205428597955
robust,Server providers,0.8932572966383914,0.5355530747862409,1.5943277067289565,-0.45789024658860933
dlr_only,Landlords,0.25331583504997335,0.26001810800480896,0.8265163727587416,-0.16826122232910623
dlr_only,Neoclouds,1.739281696569547,0.9130372998823051,1.8628757940322374,-0.49241560152654684
dlr_only,Server providers,1.3051347813243692,0.5642733072877787,2.244884089667016,-0.26459769740312944
