ticker,group,window,start,n,factor,beta,ci_low,ci_high,p,r2
DLR,Landlords,own,2023-01-03,926,market,0.8947293481782833,0.7712605559572708,1.0181981403992957,8.767108728830213e-46,0.25835453043957946
DLR,Landlords,own,2023-01-03,926,ai,0.04938158385595011,-0.01437109621795632,0.11313426392985654,0.12897661021018253,0.25835453043957946
DLR,Landlords,own,2023-01-03,926,bitcoin,0.023159117284887194,-0.0052908728926897505,0.05160910746246414,0.1106077235176784,0.25835453043957946
DLR,Landlords,own,2023-01-03,926,rates_10bp,-0.00484416198285479,-0.0066265049569886065,-0.003061819008720974,9.989688751008921e-08,0.25835453043957946
DLR,Landlords,common,2025-03-31,365,market,0.6924805161528321,0.5802851653784511,0.8046758669272132,1.0942616321528969e-33,0.24206286095736596
DLR,Landlords,common,2025-03-31,365,ai,0.030730363194633896,-0.06451346576254183,0.12597419215180963,0.5271378276423275,0.24206286095736596
DLR,Landlords,common,2025-03-31,365,bitcoin,-0.0035487564189870683,-0.05432032025652034,0.0472228074185462,0.891034990400796,0.24206286095736596
DLR,Landlords,common,2025-03-31,365,rates_10bp,-0.005818814593270481,-0.009034573606602602,-0.0026030555799383586,0.00039039501936106714,0.24206286095736596
KEEL,Landlords,own,2023-01-03,926,market,2.939982252586025,2.474799401957106,3.4051651032149444,3.070024886849764e-35,0.2040932518141062
KEEL,Landlords,own,2023-01-03,926,ai,0.1814749262365437,-0.002584827423172592,0.36553467989626,0.05330529523109739,0.2040932518141062
KEEL,Landlords,own,2023-01-03,926,bitcoin,0.2965592051504999,0.13110600664466687,0.4620124036563329,0.000442994080780749,0.2040932518141062
KEEL,Landlords,own,2023-01-03,926,rates_10bp,-0.00709672682047413,-0.013864950944627398,-0.0003285026963208617,0.03987003780615027,0.2040932518141062
KEEL,Landlords,common,2025-03-31,365,market,2.9047188981934986,2.1151596601715563,3.694278136215441,5.573251800878576e-13,0.20708312540245355
KEEL,Landlords,common,2025-03-31,365,ai,0.3063744771732395,-0.07206839855402519,0.6848173529005042,0.1125760378779399,0.20708312540245355
KEEL,Landlords,common,2025-03-31,365,bitcoin,0.04999879195268232,-0.1676046078001518,0.26760219170551647,0.6524642525568585,0.20708312540245355
KEEL,Landlords,common,2025-03-31,365,rates_10bp,-0.0032306984563084686,-0.01670380262895635,0.010242405716339413,0.638371262323221,0.20708312540245355
IREN,Neoclouds,own,2023-01-03,926,market,2.8916512153800347,2.1640568588930322,3.619245571867037,6.7321731345966e-15,0.1474897608229646
IREN,Neoclouds,own,2023-01-03,926,ai,0.10377148018627597,-0.09822662196084275,0.3057695823333947,0.31399121952923104,0.1474897608229646
IREN,Neoclouds,own,2023-01-03,926,bitcoin,0.24160381580599638,0.07490672147067765,0.4083009101413151,0.004501604085723753,0.1474897608229646
IREN,Neoclouds,own,2023-01-03,926,rates_10bp,-0.000780686989823893,-0.009121918567782415,0.007560544588134628,0.8544525236023697,0.1474897608229646
IREN,Neoclouds,common,2025-03-31,365,market,2.499404822876013,1.5525500591873413,3.4462595865646843,2.2950198603869526e-07,0.1723486191247583
IREN,Neoclouds,common,2025-03-31,365,ai,0.39978477099762094,0.07420257506819794,0.7253669669270439,0.016099406749082956,0.1723486191247583
IREN,Neoclouds,common,2025-03-31,365,bitcoin,0.11716035116798042,-0.11964544178200602,0.35396614411796684,0.3321971215958436,0.1723486191247583
IREN,Neoclouds,common,2025-03-31,365,rates_10bp,0.00027822352656392226,-0.014333257547298337,0.014889704600426181,0.970229443199608,0.1723486191247583
CRWV,Neoclouds,own,2025-03-31,365,market,2.8283008583154263,2.0243718396655064,3.6322298769653463,5.373429023830467e-12,0.19774438470279743
CRWV,Neoclouds,own,2025-03-31,365,ai,0.8490125216906803,0.4799814070968541,1.2180436362845066,6.5073486664877255e-06,0.19774438470279743
CRWV,Neoclouds,own,2025-03-31,365,bitcoin,-0.025044843692675504,-0.2891908243981276,0.23910113701277658,0.852575868686889,0.19774438470279743
CRWV,Neoclouds,own,2025-03-31,365,rates_10bp,-0.00041847702419475086,-0.014559015563574999,0.013722061515185497,0.9537458874584341,0.19774438470279743
CRWV,Neoclouds,common,2025-03-31,365,market,2.8283008583154263,2.0243718396655064,3.6322298769653463,5.373429023830467e-12,0.19774438470279743
CRWV,Neoclouds,common,2025-03-31,365,ai,0.8490125216906803,0.4799814070968541,1.2180436362845066,6.5073486664877255e-06,0.19774438470279743
CRWV,Neoclouds,common,2025-03-31,365,bitcoin,-0.025044843692675504,-0.2891908243981276,0.23910113701277658,0.852575868686889,0.19774438470279743
CRWV,Neoclouds,common,2025-03-31,365,rates_10bp,-0.00041847702419475086,-0.014559015563574999,0.013722061515185497,0.9537458874584341,0.19774438470279743
NBIS,Neoclouds,own,2024-10-22,473,market,3.0006752973432995,2.276519755617089,3.72483083906951,4.605287299434155e-16,0.2483081269549784
NBIS,Neoclouds,own,2024-10-22,473,ai,0.9288854823600206,0.5653060178392872,1.2924649468807539,5.517470562489061e-07,0.2483081269549784
NBIS,Neoclouds,own,2024-10-22,473,bitcoin,0.1604622424638409,-0.06727377951564845,0.3881982644433302,0.16728332193333506,0.2483081269549784
NBIS,Neoclouds,own,2024-10-22,473,rates_10bp,0.01150759050700209,0.0005238217948812882,0.02249135921912289,0.04003033859600238,0.2483081269549784
NBIS,Neoclouds,common,2025-03-31,365,market,2.8609254085841513,2.05748550131379,3.664365315854513,2.970156479467546e-12,0.2110432523798068
NBIS,Neoclouds,common,2025-03-31,365,ai,0.8080132479327881,0.4925889028869501,1.123437592978626,5.146154615610241e-07,0.2110432523798068
NBIS,Neoclouds,common,2025-03-31,365,bitcoin,0.04551309719133352,-0.1820084537468063,0.27303464812947337,0.695007607469974,0.2110432523798068
NBIS,Neoclouds,common,2025-03-31,365,rates_10bp,0.010912105079607333,-0.0011688097120390092,0.022993019871253677,0.07667043214074665,0.2110432523798068
HPE,Server providers,own,2023-01-03,926,market,1.5580093188976691,1.4149139325945284,1.70110470520081,4.839140972096141e-101,0.2916485671551121
HPE,Server providers,own,2023-01-03,926,ai,0.034942914332053,-0.024077078827437343,0.09396290749154335,0.245885617581719,0.2916485671551121
HPE,Server providers,own,2023-01-03,926,bitcoin,-0.04073886795038167,-0.09862842648927578,0.017150690588512443,0.1678041619305075,0.2916485671551121
HPE,Server providers,own,2023-01-03,926,rates_10bp,0.003424991201247633,0.0014404152111238823,0.0054095671913713846,0.0007182517786826025,0.2916485671551121
HPE,Server providers,common,2025-03-31,365,market,1.738692181202037,1.455020897859589,2.022363464544485,3.0322678171216734e-33,0.3270640140978528
HPE,Server providers,common,2025-03-31,365,ai,0.024441377610901864,-0.11345108858089245,0.1623338438026962,0.7282887791388049,0.3270640140978528
HPE,Server providers,common,2025-03-31,365,bitcoin,-0.12689030605408338,-0.26117646918457393,0.007395857076407192,0.06402319694394663,0.3270640140978528
HPE,Server providers,common,2025-03-31,365,rates_10bp,0.003291434787451028,-0.001964485054604579,0.008547354629506634,0.2196738855553364,0.3270640140978528
DELL,Server providers,own,2023-01-03,926,market,1.7876612635542999,1.582851722585077,1.9924708045235229,1.3078227256897524e-65,0.2333957803612663
DELL,Server providers,own,2023-01-03,926,ai,0.19905436492668582,0.11502425768081453,0.2830844721725571,3.436318190317215e-06,0.2333957803612663
DELL,Server providers,own,2023-01-03,926,bitcoin,-0.040809006203344884,-0.10031009601747937,0.018692083610789598,0.17886841419196442,0.2333957803612663
DELL,Server providers,own,2023-01-03,926,rates_10bp,0.003979520612917674,0.000525264447821703,0.007433776778013646,0.02394553929789528,0.2333957803612663
DELL,Server providers,common,2025-03-31,365,market,1.9872008966486439,1.6091124063574709,2.365289386939817,6.944050411147636e-25,0.23951635328250187
DELL,Server providers,common,2025-03-31,365,ai,0.17929119826941356,-0.059962008709940756,0.4185444052487679,0.14189931333782285,0.23951635328250187
DELL,Server providers,common,2025-03-31,365,bitcoin,-0.03431866450183962,-0.1777560122638413,0.10911868326016205,0.639113338271678,0.23951635328250187
DELL,Server providers,common,2025-03-31,365,rates_10bp,-0.00039557674561749724,-0.008063655116368201,0.007272501625133207,0.9194634742068133,0.23951635328250187
