mv_Landlords,mv_Neoclouds,mv_Server providers,tan_Landlords,tan_Neoclouds,tan_Server providers
0.4792514795972682,3.469446951953614e-18,0.5207485204027318,0.1782056065211322,0.11241198768099643,0.7093824057978715
0.4607636677044583,2.5587171270657905e-17,0.5392363322955417,8.638308942738666e-17,0.17990394954050534,0.8200960504594946
0.43547499493259856,3.469446951953614e-18,0.5645250050674014,0.30186878733833694,0.1564606059155275,0.5416706067461358
0.4200190791510086,8.456776945386935e-18,0.5799809208489914,0.3518901207861086,0.12048532841629409,0.5276245507975973
0.47581927576175553,2.862293735361732e-17,0.5241807242382446,0.26022478866811105,3.87439646337695e-16,0.7397752113318885
0.6481607216898791,0.0,0.35183927831012096,3.120002607163322e-18,0.4272337698456652,0.5727662301543348
0.46199329036817915,0.0,0.5380067096318208,0.0,1.6653345369377348e-16,0.9999999999999998
0.3728260083039027,3.469446951953614e-18,0.6271739916960972,0.3267552157498455,0.12230554792362974,0.5509392363265248
0.2995555765298315,0.0,0.7004444234701686,0.034356388662780485,0.7953572105476836,0.1702864007895359
0.47132506637234545,0.0,0.5286749336276546,0.4266063608973273,0.03660351456752683,0.5367901245351459
0.3510201485842758,0.0,0.6489798514157241,2.1908754961339884e-18,0.1924247307006457,0.8075752692993543
0.3608989414812401,0.0,0.6391010585187599,1.378999608757484e-16,0.28960476106206773,0.7103952389379322
0.4625036155019043,0.0,0.5374963844980958,0.19164676910342002,0.2729095770898279,0.5354436538067522
0.4069737886135266,1.6967763999398144e-17,0.5930262113864735,0.13485937484122668,0.3120971508093927,0.5530434743493807
0.38661996880110294,6.938893903907228e-18,0.6133800311988971,7.60016675719308e-18,0.17458699556680637,0.8254130044331937
0.5634990196989402,0.0,0.4365009803010598,0.0,5.551115123125783e-17,1.0
0.4742317570709587,0.008122856647188263,0.517645386281853,0.1745007226124017,0.2668190451464323,0.558680232241166
0.39618847696490633,0.0,0.6038115230350937,0.13698215251610232,0.10925723855422323,0.7537606089296744
0.3845867123907729,2.4069288229178198e-17,0.615413287609227,0.0,0.49156566142393127,0.5084343385760689
0.4529713788541433,0.0,0.5470286211458567,6.535068504506644e-17,0.31111142261732755,0.6888885773826723
0.42621908595858143,0.0,0.5737809140414186,0.22292690204270454,9.595189226496714e-17,0.7770730979572954
0.3053348343230895,0.0,0.6946651656769105,1.2268902556353469e-17,0.5162446954993445,0.48375530450065557
0.5512550742430069,0.0,0.44874492575699315,3.730747920197279e-17,0.08278792120379488,0.9172120787962051
0.5032056959294673,2.2551405187698492e-17,0.49679430407053266,0.020631257003010956,0.3514755078814488,0.6278932351155403
0.3263720834549776,0.0,0.6736279165450223,0.008472554336645979,0.3205253721052021,0.671002073558152
0.5620591782178124,0.0,0.4379408217821878,0.3645766225944031,1.0354130747236567e-16,0.6354233774055967
0.5767527282997809,3.2959746043559335e-17,0.42324727170021903,6.54132814866805e-17,0.4550639126284673,0.5449360873715325
0.30072501240561195,1.734723475976807e-17,0.6992749875943881,0.9999999999999999,1.734723475976807e-18,5.551115123125783e-17
0.4964206030775478,0.0,0.5035793969224523,0.0,0.2892918986504838,0.7107081013495169
0.3971169694389843,0.0,0.6028830305610157,0.0,0.12454508315863358,0.8754549168413664
0.460443939116032,1.734723475976807e-18,0.539556060883968,3.593035730737388e-17,0.7517088306723269,0.24829116932767314
0.28842809373583117,0.009885793714238374,0.7016861125499305,0.21844178260671265,0.19489765819747934,0.586660559195808
0.32384448807298355,2.2551405187698492e-17,0.6761555119270164,7.73692018349637e-17,0.4720015558529549,0.5279984441470451
0.4813182958772081,0.0,0.5186817041227919,0.3797760684991083,0.09928536438544462,0.5209385671154472
0.4700530106075015,1.7780915628762273e-17,0.5299469893924984,0.0,0.28706211367989315,0.7129378863201068
0.39927030179118006,5.2909066017292616e-17,0.6007296982088198,0.24716846570097156,0.3451537131444577,0.40767782115457074
0.4672376359731031,0.0,0.5327623640268969,0.48766845864481456,0.10809859420313486,0.4042329471520506
0.5025695119377609,1.734723475976807e-18,0.4974304880622391,0.0,0.27008438785476907,0.729915612145231
0.5013160107277561,0.0,0.49868398927224394,0.0,0.008229669907241804,0.9917703300927586
0.32354877402353893,3.9898639947466563e-17,0.676451225976461,7.806255641895632e-17,0.9999999999999987,1.2212453270876722e-15
0.37973195195356674,2.992397996059992e-17,0.6202680480464332,0.0,0.13248452583535014,0.86751547416465
0.37400275156278384,1.474514954580286e-17,0.6259972484372162,0.18197829550250663,0.25579915562061506,0.5622225488768784
0.5138227116813278,1.9081958235744878e-17,0.4861772883186723,0.0,0.47358109307952345,0.5264189069204767
0.49079153900215083,0.0,0.5092084609978493,0.0,0.1328806489112485,0.8671193510887516
0.3235759247641908,5.551115123125783e-17,0.6764240752358092,0.0,0.2469163702672346,0.7530836297327655
0.3619561967933854,2.862293735361732e-17,0.6380438032066146,0.24874755378233493,0.3527999011556705,0.3984525450619945
0.46040463031517265,4.336808689942018e-19,0.5395953696848274,0.0,0.0,1.0
0.33220197286508657,4.336808689942018e-18,0.6677980271349135,8.973111929818967e-18,0.8182538378464685,0.18174616215353154
0.4839064095074893,0.0,0.5160935904925107,2.5038576645619325e-19,0.31757398553241906,0.682426014467581
0.48361371201524794,2.862293735361732e-17,0.5163862879847521,1.922962686383564e-16,0.0,0.9999999999999999
0.3917375818704048,5.377642775528102e-17,0.608262418129595,1.238157615125876e-16,0.18057623921046087,0.8194237607895392
0.5200945864622167,0.0,0.4799054135377833,0.11695174944617857,0.05239211134779142,0.83065613920603
0.41813569361412767,0.0,0.5818643063858724,1.8359218093596857e-16,0.5649475748304705,0.4350524251695293
0.2644274751263586,5.204170427930421e-18,0.7355725248736414,3.27754968291157e-16,0.4616947738156487,0.538305226184351
0.42864662781357776,0.0,0.5713533721864222,0.02518966291312336,0.468925188738773,0.5058851483481036
0.41158693100556365,7.589415207398531e-19,0.5884130689944365,0.05687551229931394,0.5475913508081797,0.3955331368925064
0.511147569404882,2.0816681711721685e-17,0.488852430595118,0.10131084815060523,0.1694015408967468,0.7292876109526479
0.5781914735682332,5.204170427930421e-18,0.4218085264317669,0.0,0.35466118716165007,0.6453388128383499
0.5288124473420682,9.540979117872439e-18,0.47118755265793183,5.807822949764642e-17,0.44942635330751235,0.5505736466924877
0.4664701242826932,0.0,0.5335298757173068,0.18340993340581183,0.13214115929795983,0.6844489072962283
0.4511427179282376,8.023096076392733e-18,0.5488572820717624,4.336808689942018e-18,0.23639999300847192,0.7636000069915281
0.5279043071249444,3.8163916471489756e-17,0.47209569287505554,0.16986460357648536,0.09881147782165402,0.7313239186018606
0.39527052079908354,0.0,0.6047294792009166,0.14221244178884965,0.29101859502106975,0.5667689631900806
0.2892908367002496,0.0,0.7107091632997504,0.21742208424522766,0.42515880725551064,0.3574191084992617
0.35277177124340775,2.168404344971009e-18,0.6472282287565921,0.0,0.09713251177017942,0.9028674882298207
0.3842064145766886,3.469446951953614e-18,0.6157935854233114,0.0,0.3860052234800645,0.6139947765199356
0.31848763902866895,0.0,0.681512360971331,0.375819944711525,0.4128018821631349,0.21137817312534
0.4113987617789775,0.0,0.5886012382210225,0.3689902320717036,0.10379861060672674,0.5272111573215696
