lag_quarters,corr,n
0,0.6696781014954817,55
1,0.5339708493584834,54
2,0.3052823066144186,53
3,0.03174039866076133,52
4,-0.2306013132000126,51
5,-0.4075183923630797,50
6,-0.5099294885592565,49
7,-0.5084733480015238,48
8,-0.40552500821189547,47
9,-0.2765051612176666,46
10,-0.12914211221620953,45
11,-0.0668361177316939,44
12,-0.08516481240822177,43
