,revenue,gross_profit,operating_income,net_income,cfo,capex,d_and_a,sbc,rd,cash,st_investments,debt_current,debt_noncurrent,equity,non_gaap_operating_income,shares_out,price,eps_next_fy,eps_current_fy,revenue_next_fy,revenue_current_fy,cost_of_revenue,market_cap,total_debt,cash_total,enterprise_value,ebitda,fcf
HPE,41871.0,15380.0,2602.0,2791.0,6694.0,2124.0,3490.0,795.0,3705.0,6216.0,0.0,2901.0,17343.0,26576.0,5767.0,1328.0,62.09000015258789,4.59731,3.82227,54375.52294,46376.61005,,82455.52020263672,20244.0,6216.0,96483.52020263672,6092.0,4570.0
DELL,151197.0,29935.0,14252.0,11378.0,12152.0,3592.0,3041.0,727.0,3641.0,11569.0,0.0,8481.0,25985.0,-1427.0,,635.81275,567.2899780273438,24.66365,25.88376,222165.09216,193574.37606,121262.0,360690.200977005,34466.0,11569.0,383587.200977005,17293.0,8560.0
SMCI,39063.072,4227.251,2770.486,2230.453,-6809.886,161.999,53.0,412.115,771.232,7521.474,23.11,170.123,85.646,14479.452,,656.965384,40.09999847412109,5.32592,4.3382,78762.36807,67129.65304,34835.821,26344.310895950373,255.769,7544.584,19055.495895950375,2823.486,-6971.885
CSCO,63325.0,40860.0,15368.0,13267.0,14177.0,1410.0,,3830.0,9563.0,7218.0,8700.0,3500.0,19372.0,50285.0,,3942.586873,112.12999725341795,5.60226,5.14263,77798.94625,73164.43074,22465.0,442082.2552408517,22872.0,15918.0,449036.2552408517,,12767.0
ANET,10540.8,6641.1,4546.9,4044.6,5306.6,,92.7,502.3,1366.3,2290.2,11053.1,0.0,0.0,14797.7,,1261.224648,199.58999633789065,5.16028,4.11262,16156.11822,12665.96869,3899.7,251727.8228755774,0.0,13343.3,238384.52287557742,4639.599999999999,
NTAP,7391.0,5220.0,1849.0,1418.0,1897.0,247.0,182.0,397.0,1023.0,1573.0,2003.0,550.0,1938.0,1495.0,,196.419005,199.27999877929688,11.04568,10.0049,8616.55121,8179.64656,2171.0,39142.37907663071,2488.0,3576.0,38054.37907663071,2031.0,1650.0
P,4262.15,2972.184,224.21,253.285,427.808,299.639,153.7,549.863,1052.366,385.694,933.376,0.0,0.0,1540.838,,333.227251,98.18000030517578,3.54356,2.78033,6137.44684,5052.85209,1289.966,32716.25160487289,0.0,1319.07,31397.18160487289,377.90999999999997,128.16899999999998
