,Company,TTM end,Market cap ($bn),EV ($bn),TTM revenue ($bn),"Revenue growth (next FY, cons.)",Gross margin,Operating margin (GAAP),FCF margin,R&D % revenue,SBC % revenue,Net debt / EBITDA,P/E (TTM GAAP),P/E (next FY cons.),P/S (TTM),P/B,EV/Revenue (TTM),EV/EBITDA (TTM GAAP),EV/EBIT (TTM GAAP),EV/Revenue (next FY cons.),FCF yield
HPE,HPE,2026-07-31,82.45552020263672,96.48352020263673,41.871,0.17247730874197442,0.3673186692460175,0.06214324950443027,0.10914475412576724,0.08848606434047432,0.01898688829977789,2.3026920551543006,29.543360875183346,13.505724032659945,1.9692751594811855,3.102630952838528,2.3043041771783983,15.837741333328417,37.08052275274278,1.7743925021024674,0.05542382109492607
DELL,Dell,2026-07-31,360.690200977005,383.587200977005,151.197,0.1476988673910955,0.19798673254098956,0.0942611295197656,0.05661487992486623,0.02408116563159322,0.004808296460908616,1.3240617590932748,31.700668041571895,23.001055319360425,2.385564534858529,-252.76117797968115,2.5370027247697045,22.181645809113803,26.91462257767366,1.7265862843148698,0.02373227766325075
SMCI,Supermicro,2026-06-30,26.344310895950372,19.055495895950376,39.063072,0.17328728070542088,0.10821604097086886,0.07092340305442439,-0.17847764251618511,0.019743250095640198,0.010549989514393543,-2.5814950029856707,11.811193015925632,7.529215323196947,0.6744044834965969,1.8194273440700914,0.4878135517849281,6.74892522787447,6.87803363595787,0.24193655374880066,-0.2646448042439293
CSCO,Cisco,2026-07-25,442.08225524085174,449.03625524085174,63.325,0.06334383337812599,0.645242795104619,0.24268456375838926,0.20161073825503356,0.15101460718515594,0.060481642321358074,,33.32194582353597,20.015136258120464,6.981164709685776,8.791533364638594,7.090979158955416,,29.21891301671341,5.771752406490362,0.028879241020529956
ANET,Arista,2026-06-30,251.7278228755774,238.3845228755774,10.540799999999999,0.2755533047192462,0.630037568306011,0.4313619459623558,,0.12962014268366728,0.04765292956891318,-2.8759591344081388,62.23800199663191,38.67813303500792,23.881282528420748,17.011280325697737,22.615410867825727,51.380404102848836,52.42792295312794,14.75506180565553,
NTAP,NetApp,2026-07-31,39.142379076630704,38.05437907663071,7.391,0.05341363429277557,0.7062643755919361,0.25016912461101337,0.22324448653768098,0.1384115816533622,0.05371397645785415,-0.535696701132447,27.603934468709948,18.041442335763563,5.295951708379206,26.182193362294786,5.148745646953147,18.736769609370118,20.581059533061495,4.416428121783391,0.04215379951151473
P,Everpure (ex-Pure Storage),2026-08-02,32.71625160487289,31.39718160487289,4.262149999999999,0.21465000967404113,0.6973438288187888,0.052604905974684146,0.030071442816418943,0.2469096582710604,0.1290107105568786,-3.490434230372311,129.1677422858554,27.70660022835109,7.675997232587519,21.232765290622954,7.366512582821556,83.08110821325948,140.0347067698715,5.115674713505607,0.003917594275406232
