ticker,n,intercept,intercept_lo,intercept_hi,residual_variance,residual_var_lo,residual_var_hi,residual_volatility,residual_vol_lo,residual_vol_hi,panel,frequency,model,basis
MTRN,127,0.006380500808255168,-0.004714765815580662,0.02245378445509897,0.007231668446424451,0.0043209280046065555,0.009589968003475946,0.08503921710848737,0.06573376609176258,0.0979283820119374,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,127,0.0006029680052642687,-0.009164907927846785,0.012819131800279424,0.005925156206841102,0.003555779353060668,0.007590552660511903,0.07697503625748482,0.059630355969595455,0.08712377781359061,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,127,0.015484627643652752,-0.002372668200500715,0.03451385666070026,0.009795357330596197,0.007002945646989377,0.011467659696704515,0.09897149756670451,0.08368360440964154,0.10708715934557474,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,127,0.017655207682078476,-0.0009236989624338801,0.03577656095192442,0.012540676509520015,0.008676271030916062,0.015724165180378433,0.11198516200604443,0.0931465030525358,0.12539603335185062,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,67,0.013322172264959537,-0.008521112367996592,0.043622939457338,0.007946953548420402,0.0033636004974528966,0.010850531763519073,0.08914568721155501,0.05799655591026847,0.10416588579529804,recent,monthly,MKT + SMB + HML + MOM,excess
ENTG,67,0.0027542261072859885,-0.023168547722345355,0.03888794871187874,0.011968880325783152,0.004508275965531378,0.016023862458969848,0.10940237806274208,0.06714369639460861,0.12658539591504958,recent,monthly,MKT + SMB + HML + MOM,excess
CRS,67,0.03992614508888462,0.008517446933018133,0.07590184490563315,0.014421080046781028,0.009402701069935293,0.016940179345822808,0.12008780140705812,0.09696752585239707,0.13015444420311897,recent,monthly,MKT + SMB + HML + MOM,excess
ATI,67,0.03111892653868447,0.0003412615720655547,0.06637076297402394,0.014131822317022128,0.007996507872212332,0.019432308664024095,0.11887734147861033,0.08942319538135692,0.13939981586797057,recent,monthly,MKT + SMB + HML + MOM,excess
MTRN,102,0.0023134212360776843,-0.005396812813170999,0.010891164085312672,0.0019551104188781083,0.0006359186864316259,0.004360200096115318,0.044216630569030344,0.02521742822794636,0.06603181124363709,matched,daily,SPY,total
ENTG,102,-0.0024517609996468743,-0.011413053570015885,0.006459915337408827,0.0015772417667510156,0.0011337555449515374,0.0019735462451894864,0.039714503229311776,0.03367128665423312,0.04442461305615938,matched,daily,SPY,total
CRS,102,-0.0012861351670320135,-0.006631428973037607,0.00561287373833542,0.0005940564937142314,0.00042446131497838956,0.0007802294416989039,0.02437327416893823,0.020602458954658533,0.027932587450841425,matched,daily,SPY,total
ATI,102,0.001293930599044753,-0.003109992926287395,0.007003232030358295,0.0006055427001224134,0.00043018564287332584,0.0007324776721995024,0.02460777722839699,0.020740917117459533,0.027064324713532064,matched,daily,SPY,total
ELMT,102,0.002066796160463191,-0.008858627453213074,0.011821406635682433,0.003983838090988811,0.0015078940184593073,0.005614055102168573,0.06311765276837226,0.03883161107215753,0.07492699848631715,matched,daily,SPY,total
MTRN,2693,0.00031582375285071283,-0.0004264950582003021,0.0011159450459834698,0.000494058258983986,0.00039188278119296885,0.0006280140165334513,0.022227421330059543,0.01979602942998845,0.025060207831010727,long,daily,SPY + SOXX + ITA,total
ENTG,2693,-0.00016334186345149512,-0.0008205589992347079,0.0005121001335584471,0.00029238249759462294,0.00024505356302922796,0.00034891964962278113,0.017099195817190438,0.015654186757197833,0.01867939103993439,long,daily,SPY + SOXX + ITA,total
CRS,2693,0.00044285972997320974,-0.00039290280541423995,0.001310474192177032,0.0005415623274389402,0.00047358465332404947,0.0006180193700786918,0.02327149173213742,0.021762000214227768,0.0248599953756772,long,daily,SPY + SOXX + ITA,total
ATI,2693,0.0005757520912407162,-0.0003736494341574281,0.0015982969807097095,0.0006997359777306397,0.000585079036000564,0.000834015683825141,0.026452523088178935,0.024188407057939225,0.02887932969833512,long,daily,SPY + SOXX + ITA,total
MTRN,1434,0.0004463490078114528,-0.0007044326451035455,0.0015745293578602818,0.0005623680022227354,0.00039743936081702364,0.0007943472480688542,0.02371429953050976,0.019935881240041125,0.028184166620087495,recent,daily,SPY + SOXX + ITA,total
ENTG,1434,-0.0007114184525205975,-0.001782232800630381,0.0003329361596685426,0.0003593148048947056,0.000281580634439938,0.0004538734096572991,0.018955600884559307,0.016780364550269402,0.021304304955977772,recent,daily,SPY + SOXX + ITA,total
CRS,1434,0.0012465086927823117,-1.7111004763465578e-05,0.0024627872743079337,0.0005665710364320823,0.00047031139036838037,0.0006616898569366459,0.023802752707031225,0.021686663882865442,0.025723332928231635,recent,daily,SPY + SOXX + ITA,total
ATI,1434,0.001055115296171957,-6.088510133230133e-05,0.0021211913837338096,0.00046617361990541477,0.0003777029176089827,0.0005512811025391553,0.021591054163829396,0.01943458045878487,0.023479376110517827,recent,daily,SPY + SOXX + ITA,total
