ticker,n,start,end,mean,mean_se,mean_lo,mean_hi,variance,var_lo,var_hi,volatility,vol_lo,vol_hi,lag1_autocorrelation,block,reps
MTRN,102,2026-04-24,2026-09-18,0.004196372463011663,0.003626517368560628,-0.003349058472248558,0.010331326454647129,0.002300659783978943,0.0009250690779677446,0.005106417201473289,0.04796519346337449,0.03041494826508414,0.07145919955802255,0.0354545816362788,20,2000
ENTG,102,2026-04-24,2026-09-18,0.000835270873031141,0.003908236184685751,-0.006675824636277191,0.008438259918199296,0.0026302694487806114,0.001833821433833146,0.003883207844796909,0.05128615260263351,0.042823141335417536,0.06231539011188897,-0.009646372956077275,20,2000
CRS,102,2026-04-24,2026-09-18,-6.114250684023197e-05,0.003653260524206884,-0.005580614668426036,0.008725225563224815,0.000740307522814551,0.0005841007873165437,0.0009343849754627008,0.027208592812098,0.024168177161642615,0.030567711321960313,0.12341943072967106,20,2000
ATI,102,2026-04-24,2026-09-18,0.0025094003441305164,0.0025970920773152467,-0.001414428598625979,0.008750724931761534,0.0007495286990472662,0.0005566562921631681,0.0009063281500740687,0.02737752178425334,0.02359356463451778,0.030105284421079112,0.09364409811038285,20,2000
ELMT,102,2026-04-24,2026-09-18,0.004591650852935454,0.004757436762015152,-0.0057564647514851556,0.012491697048769079,0.004605142929738734,0.0023366694327640824,0.00622648119704994,0.06786120342094394,0.04833910872951716,0.07890805533689155,-0.05391652835071931,20,2000
