n,parameters,start,end,mean_excess,alpha,alpha_lo,alpha_hi,alpha_p,r2,adjusted_r2,total_variance,fitted_variance,residual_variance,residual_share,residual_volatility,residual_mse,condition_scaled,mean_residual,mean_identity_error,variance_identity_error,bootstrap_valid,alpha_boot_lo,alpha_boot_hi,residual_var_boot_lo,residual_var_boot_hi,residual_vol_boot_lo,residual_vol_boot_hi,r2_boot_lo,r2_boot_hi,panel,ticker,model
127,2,2016-01-31,2026-07-31,0.021007173878729066,0.00754418009456982,-0.007587559534882982,0.022675919724022622,0.32848371301902834,0.2420774180303662,0.23601403737460913,0.01320893558628747,0.0031975850216578953,0.010011350564629578,0.7579225819696338,0.10005673672786644,0.010091441369146616,1.0,-1.3549966048574746e-17,1.3877787807814457e-17,3.469446951953614e-18,2000,-0.006974573515304018,0.025328674774465435,0.0063808914250323085,0.012816358898532661,0.07988048212583418,0.11320935840188269,0.08917925815375577,0.43199329743143805,long,MTRN,M0
127,2,2016-01-31,2026-07-31,0.022416654231205126,0.007936508914450512,-0.0070530214576743026,0.022926039286575328,0.299389986687819,0.2751212649422171,0.2693222350617549,0.013444990240475446,0.003699002722095374,0.009745987518380078,0.7248787350577829,0.09872176820934721,0.009823955418527118,1.0,-9.179009258711925e-18,1.3877787807814457e-17,5.204170427930421e-18,2000,-0.0054453021915090855,0.025172702912655807,0.005573167716761059,0.01325486501628806,0.07465364537632768,0.11512977466225847,0.14885427850937846,0.46296176231167185,long,ENTG,M0
127,2,2016-01-31,2026-07-31,0.03240490893289445,0.014203838146551379,-0.007859007368176605,0.03626668366127936,0.20701892302263492,0.2849306740409562,0.2792101194332838,0.020511313959700263,0.00584430251200307,0.014667011447697196,0.7150693259590439,0.1211074376233648,0.014784347539278772,1.0,-1.0927391974657053e-17,6.938893903907228e-18,3.469446951953614e-18,2000,-0.0076622571609574084,0.03555662589020799,0.01094709898376636,0.018036290755646254,0.10462838350127689,0.1342992552788726,0.12637678432147098,0.4444895787343869,long,CRS,M0
127,2,2016-01-31,2026-07-31,0.03233161524309762,0.01653628061228973,-0.0078068764291322965,0.040879437653711756,0.18305695451750892,0.18358954470637945,0.17705826106403044,0.023974443092406095,0.004401457091923838,0.019572986000482257,0.8164104552936206,0.13990348816409925,0.019729569888486113,1.0,-1.9450757714889553e-17,2.0816681711721685e-17,0.0,2000,-0.008823992536767595,0.039736938929785186,0.01364107148539455,0.024946391251771866,0.11679499764417044,0.15794426626605498,0.06544050348114613,0.3281189911165922,long,ATI,M0
127,5,2016-01-31,2026-07-31,0.021007173878729066,0.009895344434371584,-0.0038656987670787728,0.02365638763582194,0.15872327196770752,0.4221500611558092,0.40320416152157346,0.01320893558628747,0.005576152965554404,0.007632782620733069,0.5778499388441908,0.08736579777426101,0.007883037788625957,1.7080020675779481,-2.0106401233368976e-16,2.0122792321330962e-16,3.469446951953614e-18,2000,-0.002823787153575749,0.02594898719570637,0.00458467711442894,0.009943945410638514,0.06771024344739204,0.0997193331268196,0.264400144700099,0.5594607166651188,long,MTRN,M1
127,5,2016-01-31,2026-07-31,0.022416654231205126,0.010361832474251056,-0.0054050873725133425,0.026128752321015455,0.19772331879553262,0.3230805000905229,0.3008864181262777,0.013444990240475446,0.004343814170605006,0.009101176069870438,0.6769194999094771,0.09540008422360244,0.009399575285276027,1.7080020675779481,-2.0630916048152516e-16,2.1163626406917047e-16,0.0,2000,-0.00408362978272001,0.027337382852624333,0.005077538172014361,0.0117956521960133,0.0712568456698871,0.1086077906519139,0.21573705864110146,0.5015119835566012,long,ENTG,M1
127,5,2016-01-31,2026-07-31,0.03240490893289445,0.01898237619662844,-0.0002801590185632988,0.03824491141182018,0.05342646449523418,0.4383301189634723,0.41991471302784844,0.020511313959700263,0.008990726688052543,0.011520587271647717,0.5616698810365277,0.10733399867538579,0.011898311444488628,1.7080020675779481,-3.2323225461035563e-16,3.191891195797325e-16,3.469446951953614e-18,2000,-0.0005823843138783243,0.039356949959327675,0.008371372859295545,0.01361288018246754,0.09149520670978757,0.11667424786710197,0.27771573860554655,0.6101678083028782,long,CRS,M1
127,5,2016-01-31,2026-07-31,0.03233161524309762,0.022924727563557883,0.003014557688886168,0.0428348974382296,0.0240256962214311,0.329127542401209,0.30713172411928136,0.023974443092406095,0.00789064953544125,0.016083793556964838,0.6708724575987911,0.1268218969932434,0.016611131050635816,1.7080020675779481,-3.1612944982682854e-16,3.2612801348363973e-16,6.938893903907228e-18,2000,0.0018341439752541696,0.04410724952690465,0.010938933613348058,0.02026639331379721,0.104589355609584,0.14236008321499616,0.20178754402725996,0.4866899890261767,long,ATI,M1
127,7,2016-01-31,2026-07-31,0.021007173878729066,0.0063805008082551745,-0.00627688300915562,0.01903788462566597,0.32315045912719553,0.45251694209699744,0.42514278920184734,0.01320893558628747,0.005977267139863014,0.007231668446424454,0.5474830579030026,0.08503921710848739,0.0075932518687456775,4.269927411142737,-1.687189320887049e-16,1.734723475976807e-16,1.734723475976807e-18,2000,-0.004714765815580658,0.022453784455098994,0.00432092800460656,0.009589968003475951,0.06573376564792062,0.09792838198763897,0.29619189056210127,0.5967763183213214,long,MTRN,M2
127,7,2016-01-31,2026-07-31,0.022416654231205126,0.0006029680052642445,-0.009538417548199401,0.01074435355872789,0.9072309552104709,0.5593037926495675,0.5372689822820459,0.013444990240475446,0.007519834033634342,0.005925156206841108,0.44069620735043247,0.07697503625748485,0.0062214140171831635,4.269927411142737,-2.0062691665470347e-16,2.0816681711721685e-16,4.336808689942018e-18,2000,-0.009164907927846806,0.012819131800279429,0.00355577935306067,0.007590552660511908,0.05963035566586582,0.0871237778031826,0.45335253042184775,0.6799444883622294,long,ENTG,M2
