,MTRN,ENTG,CRS,ATI
MTRN,1.0,0.49232526585342407,0.43041331014778705,0.43708891891054535
ENTG,0.49232526585342407,1.0,0.37969802292487065,0.40870102398021274
CRS,0.43041331014778705,0.37969802292487065,1.0,0.7111654089753504
ATI,0.43708891891054535,0.40870102398021274,0.7111654089753504,1.0
