window,start_close,end_close,elmt_return,spy_return,ita_return,relative_spy,relative_ita
announcement day,2026-09-11,2026-09-14,0.32798019090686004,-0.004461653484890693,-0.010227797455710674,0.33244184439175073,0.3382079883625707
through next close,2026-09-11,2026-09-15,0.20877078747813305,-0.00902794139415486,-0.021742945588926643,0.2177987288722879,0.2305137330670597
through cutoff,2026-09-11,2026-09-18,0.4193946129831887,-0.0009270593988092157,-0.022474369472992417,0.4203216723819979,0.4418689824561811
