n,parameters,start,end,mean_excess,alpha,alpha_lo,alpha_hi,alpha_p,r2,adjusted_r2,total_variance,fitted_variance,residual_variance,residual_share,residual_volatility,residual_mse,condition_scaled,mean_residual,mean_identity_error,variance_identity_error,ticker,panel,lags
127,7,2016-01-31,2026-07-31,0.02100717387872906,0.0063805008082551745,-0.008283853331002924,0.02104485494751327,0.39377814491387664,0.45251694209699733,0.4251427892018472,0.013208935586287463,0.005977267139863007,0.0072316684464244505,0.5474830579030026,0.08503921710848737,0.007593251868745674,4.269927411142737,-1.601955663484724e-16,1.6306400674181987e-16,5.204170427930421e-18,MTRN,long,0
127,7,2016-01-31,2026-07-31,0.022416654231205126,0.0006029680052642835,-0.01128659087801686,0.012492526888545425,0.9208224576288425,0.5593037926495676,0.537268982282046,0.01344499024047544,0.007519834033634333,0.005925156206841103,0.4406962073504323,0.07697503625748482,0.006221414017183161,4.269927411142737,-2.161438132587165e-16,2.185751579730777e-16,4.336808689942018e-18,ENTG,long,0
127,7,2016-01-31,2026-07-31,0.03240490893289445,0.015484627643652743,-0.003782711518270983,0.03475196680557647,0.11521747495809403,0.5224412560871678,0.4985633188915263,0.020511313959700257,0.010715956629104057,0.009795357330596197,0.4775587439128323,0.09897149756670451,0.010285125197126004,4.269927411142737,-2.0827609103696342e-16,2.0122792321330962e-16,1.734723475976807e-18,CRS,long,0
127,7,2016-01-31,2026-07-31,0.03233161524309762,0.017655207682078487,-0.0027711496045971958,0.03808156496875417,0.09025298580260552,0.4769147937583468,0.4507605334462641,0.023974443092406084,0.01143376658288607,0.012540676509520017,0.5230852062416533,0.11198516200604443,0.013167710334996014,4.269927411142737,-2.1226458910771325e-16,2.0816681711721685e-16,3.469446951953614e-18,ATI,long,0
127,7,2016-01-31,2026-07-31,0.02100717387872906,0.0063805008082551745,-0.005964087349243213,0.01872508896575356,0.31104143445401744,0.45251694209699733,0.4251427892018472,0.013208935586287463,0.005977267139863007,0.0072316684464244505,0.5474830579030026,0.08503921710848737,0.007593251868745674,4.269927411142737,-1.601955663484724e-16,1.6306400674181987e-16,5.204170427930421e-18,MTRN,long,6
127,7,2016-01-31,2026-07-31,0.022416654231205126,0.0006029680052642835,-0.009128256411410098,0.010334192421938664,0.9033396318258762,0.5593037926495676,0.537268982282046,0.01344499024047544,0.007519834033634333,0.005925156206841103,0.4406962073504323,0.07697503625748482,0.006221414017183161,4.269927411142737,-2.161438132587165e-16,2.185751579730777e-16,4.336808689942018e-18,ENTG,long,6
127,7,2016-01-31,2026-07-31,0.03240490893289445,0.015484627643652743,-0.0022019639174405345,0.03317121920474602,0.08617113512850758,0.5224412560871678,0.4985633188915263,0.020511313959700257,0.010715956629104057,0.009795357330596197,0.4775587439128323,0.09897149756670451,0.010285125197126004,4.269927411142737,-2.0827609103696342e-16,2.0122792321330962e-16,1.734723475976807e-18,CRS,long,6
127,7,2016-01-31,2026-07-31,0.03233161524309762,0.017655207682078487,0.002480787824893107,0.03282962753926387,0.022584662300083536,0.4769147937583468,0.4507605334462641,0.023974443092406084,0.01143376658288607,0.012540676509520017,0.5230852062416533,0.11198516200604443,0.013167710334996014,4.269927411142737,-2.1226458910771325e-16,2.0816681711721685e-16,3.469446951953614e-18,ATI,long,6
67,5,2021-01-31,2026-07-31,0.02220475416140523,0.01332217226495954,-0.012094610935309648,0.03873895546522873,0.3042733615291011,0.4122064695009586,0.37428430624295594,0.01351997450818041,0.0055730209597600056,0.007946953548420404,0.5877935304990414,0.08914568721155502,0.008459660228963656,1.4163261061327186,-1.6761053573258893e-15,1.6757428777935957e-15,0.0,MTRN,recent,0
67,5,2021-01-31,2026-07-31,0.008946189910006126,0.0027542261072859933,-0.030702882946650727,0.03621133516122271,0.871820582980955,0.2980816673022014,0.2527966135797628,0.017051670783096915,0.00508279045731376,0.011968880325783153,0.7019183326977987,0.1094023780627421,0.012741066153253032,1.4163261061327186,-3.3778949786543008e-15,3.3792413312028202e-15,1.734723475976807e-18,ENTG,recent,0
67,5,2021-01-31,2026-07-31,0.05191640287038966,0.03992614508888463,0.006000101409421685,0.07385218876834758,0.021077139314245024,0.2980962491155156,0.25281213615522635,0.020545666024164577,0.006124585977383544,0.014421080046781028,0.7019037508844844,0.12008780140705812,0.015351472307863677,1.4163261061327186,-2.7378596902043504e-15,2.733924198139448e-15,5.204170427930421e-18,CRS,recent,0
67,5,2021-01-31,2026-07-31,0.04228514723626899,0.031118926538684488,-0.0017929413250004876,0.06403079440236946,0.06385499619048363,0.2226655984737299,0.17251499192364805,0.018179849353476146,0.0040480270364540195,0.014131822317022126,0.77733440152627,0.11887734147861032,0.015043552789088073,1.4163261061327186,-2.3919506508155426e-15,2.3939183968479938e-15,0.0,ATI,recent,0
