date,MTRN,ENTG,CRS,ATI,ELMT
2026-04-24,-0.006368306963134798,0.014756243889109663,-0.008802360711835704,-0.01184790017882098,-0.07763140163708535
2026-04-27,-0.0297651851440573,-0.0017644922560782102,0.0008614541848823958,-0.009194401394851164,-0.05521777257674689
2026-04-28,-0.014240733380778907,-0.052228382196913954,0.008594387391169873,-0.005215189685117568,-0.05014194573783763
2026-04-29,-0.028682374314218082,0.03593949866320782,-0.048948366294433186,-0.03711414538870071,0.07494432560608591
2026-04-30,0.039301088415055266,-0.0924185904762091,0.03917002222545973,0.04652484991971758,-0.0320128565418873
2026-05-01,0.015081930123530781,-0.0026277597895966835,-0.00017986435273215605,-0.006838885124721249,-0.05372607030992507
2026-05-04,0.012683289588053502,-0.005715637431905212,0.0028187925911398876,-0.004484108289388722,-0.008255457679694201
2026-05-05,0.01827902229247137,0.043426432373163355,0.029448308603024373,-0.004143529323293642,-0.047863032455118505
2026-05-06,-0.0357313672761615,-0.011345288806335577,0.009339827386195588,0.03996370045938368,-0.007292012397339405
2026-05-07,-0.024471549300342316,-0.03740817176875843,-0.022379815015621217,-0.011238319368812583,-0.01144143474135887
2026-05-08,0.021511939258435357,-0.022063902479882755,-0.05035154050841294,-0.040241536213961315,-0.0049880741051828645
2026-05-11,0.010618487847646015,-0.006752109327052749,0.000584208714056322,0.012692042425522111,-0.01761747985174067
2026-05-12,0.004349355757891558,-0.016993903815190878,-0.0066208619716686705,0.00010493317356719272,0.07722697423846672
2026-05-13,0.020694493052932014,-0.022674413741132157,0.020119026069122706,0.013827353155972642,-0.021134362162348833
2026-05-14,-0.02093088418986283,-0.07023012171154039,-0.026441603266457805,-0.027145098298961685,-0.061974022538395776
2026-05-15,-0.0024108439264415304,0.008030369452146628,-0.028139960849872515,-0.03415731678677267,-0.006390057663876056
2026-05-18,-0.013953196989913284,-0.03865942435844186,-0.009043513026961044,-0.03003959686217855,-0.07101679247344929
2026-05-19,-0.02742562899631399,0.006648792864807313,0.016829149802189323,0.014430053805755141,-0.037931456492618906
2026-05-20,0.035383277587560547,-0.012157447464120279,0.023888382464617143,0.004813824947286792,0.0021475248445223735
2026-05-21,0.012714492324352187,0.023100089122838792,0.03686087211510938,0.03910919020819181,0.03650186978038089
2026-05-22,0.011735308869134724,0.015707640566312103,-0.01438940685129744,0.004379846829086987,-0.011897699656711875
2026-05-26,0.01856196249897567,0.025404681962962795,0.0360767554709105,0.028363884146909882,0.04135202105399111
2026-05-27,-0.005892897026891449,-0.011744558014700628,0.01746863939634621,0.005372153376860184,-0.00726405167706023
2026-05-28,-0.013946233285507616,-0.03163385822574118,-0.00487742677823364,-0.005714966682563166,0.021441428312622565
2026-05-29,-0.018103577458915797,-0.005381456645549768,0.012510956943688607,0.022025347564896623,-0.0668158169154323
2026-06-01,0.004969590602854906,-0.030920654094454852,0.035340170378004784,0.01632701513914691,0.22941767557728046
2026-06-02,0.025517833956002683,0.0497768919436776,-0.0001613912059855022,-0.006175921810362817,0.15929424533602413
