date,MTRN,ENTG,CRS,ATI
2016-01-04,-0.010909367692997572,-0.023171303321516498,-0.012526883593515854,0.03883643710384477
2016-01-05,-0.019367561346786164,0.008387452954973607,-0.011066227072628361,-0.042267100081276474
2016-01-06,-0.004247970200039551,0.010095948081817935,0.014297529221270807,-0.021027358719085967
2016-01-07,-0.023064973043305556,-0.016083442941884976,-0.008674233222755012,-0.07496460647390851
2016-01-08,-0.007397464666029068,-0.012171993056052367,-0.0004996861876120258,0.015520937078778732
2016-01-11,-0.05042420148437224,0.008546241625067254,-0.06385396308383236,-0.04254251620635296
2016-01-12,-0.02188557050071106,-0.02498896988036785,-0.015502623489097386,-0.05634478828481363
2016-01-13,-0.02069379550430077,-0.0020163642463230103,0.024034072105416936,0.010017212678463623
2016-01-14,0.029840829216201813,0.0024229935101896596,0.019240520378699867,0.037778098605760674
2016-01-15,0.031414880127892904,0.01751369558509852,0.0050054590032482735,-0.03939960636421963
2016-01-19,-0.05386499245368527,-0.026385569771099907,0.0018767486780949527,-0.06998134271170682
2016-01-20,0.0625501133709905,0.006371678698821193,0.010400598220332277,0.03525458934178671
2016-01-21,0.004969850870605037,-0.02997648998206827,0.0065062804815064655,0.06084698481062773
2016-01-22,-0.014998886161652313,0.03362425366886352,-0.01418142720951426,-0.027387281176642506
2016-01-25,0.005873872933095376,0.011771375263463679,-0.0007188333270662581,-0.0530887935650254
2016-01-26,0.02757277976708604,0.009630400945679457,0.02133236323948815,0.011185997066170239
2016-01-27,-0.029723206603359184,0.0004393181175793917,0.0009936545155301915,0.08586336911392928
2016-01-28,0.011468368132949354,-0.006735560591724246,0.005422893746822959,-0.03416333943450946
2016-01-29,0.027393318215940828,-0.0010315981938845212,0.03748658335200845,0.1142696808054603
2016-02-01,-0.03790470419895523,-0.026822128533947765,-0.03526327400233731,-0.04834137942583227
2016-02-02,0.013104333692092136,0.011748329551276276,0.0077551632449281635,-0.035002391355745684
2016-02-03,0.030946004928133007,0.02571480939488794,0.007808782632123409,0.06616835097295855
2016-02-04,-0.002821639631927473,-0.012529597626529183,0.10209328400837422,0.14081157828586713
2016-02-05,0.013318996766525627,0.0011100141341950642,-0.019307569977700084,0.033024863451686544
2016-02-08,0.02555467370340609,0.04358015414583545,-0.031738522979307876,-0.043113544022197255
2016-02-09,-0.019241009301674848,0.047301793694870066,0.007328293581808098,0.01634515923078323
2016-02-10,-0.019644148138345963,-0.006844514930958152,-0.03192097445336561,-0.017692638689317475
2016-02-11,0.041352415102517665,0.01075143251094471,0.028098846773954134,0.002854076291490204
2016-02-12,0.05315614964834067,-0.014463468995093934,0.08442727885841357,0.11590847437408236
2016-02-16,-0.04809244165008883,-0.00901501370209852,0.015233418573389647,0.03845592864517428
2016-02-17,-0.0032090992787259763,-0.025980082068226468,-0.008752429109103108,0.041614968684528304
2016-02-18,-0.054474779047926115,0.014591008575853243,-0.06900008404979308,-0.06356769942918511
2016-02-19,0.032776825317651644,-0.005304475026304711,-0.009791965745582937,-0.01795317748607048
2016-02-22,0.0024129663024987646,-0.017168739687296142,-0.000181280712158928,0.06646533606992357
2016-02-23,-0.010129508565108266,0.014558004445898741,-0.02937170330419464,-0.031235662953195846
2016-02-24,-0.0382348255992285,-0.004452498552476548,0.018644603715423518,-0.013737747384165404
2016-02-25,0.025333061603694456,-0.009088797486884473,-0.011019076969542393,-0.025978476043519397
2016-02-26,0.03052750039993569,0.0014949971145205333,-0.00923178926723974,0.03930456978921401
2016-02-29,0.01690349248173259,0.003256836024493846,0.0393412467370321,0.09173672097090652
2016-03-01,-0.03762078743427716,-0.015139244748812463,-0.014891382272353135,0.0032925768099864063
2016-03-02,0.010163556128944148,-0.0005215350619222651,0.0737709238179799,0.11419084828427245
2016-03-03,-0.011187677616270878,0.009687542706443553,-0.022908601297123306,-0.009392454570143267
2016-03-04,-0.0011167162389331096,0.005215385398267998,-0.010986833310552207,0.008868054716137268
2016-03-07,0.018299713407943532,-0.007002561730464809,0.08040900260298371,0.08540818727964562
2016-03-08,-0.019266963804511223,-8.148047685099455e-05,-0.06305667889857801,-0.012197508199824316
2016-03-09,-0.00455902630398161,0.007245671336418881,-0.006513837174483108,-0.03738737232477766
2016-03-10,0.0026536883436898548,-0.012184897768865532,0.040465669808195,0.03615728425681326
2016-03-11,-0.0007231302057487399,-0.0059086243550945765,-0.035670458413985195,-0.03827160930857006
2016-03-14,-0.015272584344467379,-0.006466835570895821,-0.0078023196232108885,-0.015639000227203766
2016-03-15,-0.0038431283386519935,-0.00939876291235759,0.0034314434787465356,-0.017194468073220084
2016-03-16,0.01570985026014571,-0.002968110609018212,0.0260123792780724,0.04075229788565693
2016-03-17,0.03668546469666622,0.017938919860817682,0.024441459647780564,0.04532070301786907
2016-03-18,0.0018064231112794558,-0.012933561502037725,0.012041601798027032,-0.025260536034301298
2016-03-21,0.002169236799627983,0.011631981948953872,-0.002867315666305336,0.014157927374723772
2016-03-22,-0.03221912822957517,0.004262214909060057,-0.009165492648133034,0.0044632520432937315
2016-03-23,-0.03998079113583594,-0.00030207771202549714,-0.028988849019962317,-0.08910135613698884
2016-03-24,0.028796553591943316,-0.007324831444786014,0.02513971817039925,0.03189401232706784
2016-03-28,-0.007064558122769712,-0.010772495052667457,0.005197719467281203,0.002622336827973601
2016-03-29,0.02647239062755418,0.03515213334447359,-0.0016343752093794725,-0.01947641161950373
2016-03-30,-0.01917191474626366,-0.003615886758788895,-0.004947855010416608,0.033818176361383984
2016-03-31,-0.002674308573025006,0.010067818758580854,-0.017124338360377554,-0.022169268190606717
2016-04-01,-0.013155104053924368,-0.01947910635694138,0.007710389019064075,-0.001635062239233846
2016-04-04,-0.049646086799003813,-0.004783109022250598,-0.021905551896166317,-0.061984724906194416
