,MTRN,ENTG,CRS,ATI,ELMT
MTRN,0.0023006597839789426,0.0013721059418997273,0.0005762842361970856,0.0006373706250732299,0.0007703525371671937
ENTG,0.0013721059418997273,0.002630269448780612,0.0006807726791792413,0.0007225523383307923,0.0012689257268280487
CRS,0.0005762842361970856,0.0006807726791792413,0.0007403075228145511,0.0005402671343133016,0.0004547688301476831
ATI,0.0006373706250732299,0.0007225523383307923,0.0005402671343133016,0.0007495286990472668,0.00039789554694754677
ELMT,0.0007703525371671937,0.0012689257268280487,0.0004547688301476831,0.00039789554694754677,0.0046051429297387335
