,MTRN,ENTG,CRS,ATI
MTRN,0.0007701193870841819,0.0004602244624037003,0.0003572808621477697,0.0003320775100323584
ENTG,0.0004602244624037003,0.001134689649972667,0.0003825796935517899,0.0003769076149269748
CRS,0.0003572808621477697,0.0003825796935517899,0.0008947260145900816,0.0005823797909398689
ATI,0.0003320775100323584,0.0003769076149269748,0.0005823797909398689,0.00074951663934183
