ticker,n_full,n_excluded,mean_full,mean_excluding_events,variance_full,variance_excluding_events
MTRN,1434,69,0.0013569454094073752,0.0008309120734197095,0.0007701193870841801,0.0005270766077432305
ENTG,1434,69,0.000854727824063943,0.0010114665104235625,0.001134689649972665,0.0010310340040695755
CRS,1434,69,0.0023368239586663547,0.0018590031209561276,0.0008947260145900798,0.0007859270428547764
ATI,1434,69,0.0020730527392496907,0.0016106985176425627,0.0007495166393418282,0.0005931546830228581
