,MTRN,ENTG,CRS,ATI,ELMT
MTRN,1.0,0.5577779274907738,0.44157498023107306,0.485368637139279,0.23666920928407892
ENTG,0.5577779274907738,1.0,0.4878607922537656,0.5146062510185462,0.36459820427587664
CRS,0.44157498023107306,0.4878607922537656,1.0,0.7252843971771485,0.24629922893190806
ATI,0.485368637139279,0.5146062510185462,0.7252843971771485,1.0,0.21416741195126443
ELMT,0.23666920928407892,0.36459820427587664,0.24629922893190806,0.21416741195126443,1.0
