panel,ticker,removed,full_mean,reduced_mean,full_variance,reduced_variance
long,MTRN,1,0.0011931807729230056,0.0010791566663426561,0.0007073417478488525,0.0006725785601944394
long,MTRN,5,0.0011931807729230056,0.0010707861580118376,0.0007073417478488525,0.000606413562950437
long,ENTG,1,0.0013275959888046215,0.0012362250218461792,0.0008603407027672281,0.0008381691341621711
long,ENTG,5,0.0013275959888046215,0.0012457465588559685,0.0008603407027672281,0.0007900825765358751
long,CRS,1,0.0015057053733916633,0.0015958761613404644,0.0009461447492329613,0.0009245920420856467
long,CRS,5,0.0015057053733916633,0.0014479138666385735,0.0009461447492329613,0.0008722287649826693
long,ATI,1,0.001609317995633094,0.0014942547105688507,0.0011093487649985719,0.0010740936257375448
long,ATI,5,0.001609317995633094,0.0014553575373750928,0.0011093487649985719,0.0010005397615465421
recent,MTRN,1,0.0013569454094073759,0.001142856693233045,0.000770119387084182,0.0007048853569441175
recent,MTRN,5,0.0013569454094073759,0.0011031058563792091,0.000770119387084182,0.0006016472596774384
recent,ENTG,1,0.0008547278240639434,0.0006827504959293541,0.0011346896499726672,0.001093040140707639
recent,ENTG,5,0.0008547278240639434,0.0006991115829682942,0.0011346896499726672,0.0010032907504086952
recent,CRS,1,0.002336823958666357,0.0021802946711500393,0.000894726014590082,0.0008601912544243557
recent,CRS,5,0.002336823958666357,0.0019411826030855555,0.000894726014590082,0.0008014481617986461
recent,ATI,1,0.002073052739249692,0.002202603934166696,0.00074951663934183,0.0007259556815057234
recent,ATI,5,0.002073052739249692,0.0019797710560817087,0.00074951663934183,0.0006585162142492247
matched,MTRN,1,0.004196372463011663,0.001186969460791745,0.002300659783978943,0.0013906650894238007
matched,MTRN,5,0.004196372463011663,0.001574205944988388,0.002300659783978943,0.0009632654579323518
matched,ENTG,1,0.000835270873031141,-0.0006874749252914851,0.0026302694487806114,0.0024176940272432426
matched,ENTG,5,0.000835270873031141,-0.0011801442720622316,0.0026302694487806114,0.0019203912930938884
matched,CRS,1,-6.114250684023197e-05,-0.000807563774431269,0.000740307522814551,0.0006903135501511645
matched,CRS,5,-6.114250684023197e-05,-0.000940252338394621,0.000740307522814551,0.0005934527458056408
matched,ATI,1,0.0025094003441305164,0.0016499103671836028,0.0007495286990472662,0.0006809207404686922
matched,ATI,5,0.0025094003441305164,-0.0010925603923213159,0.0007495286990472662,0.0005118442051878403
matched,ELMT,1,0.004591650852935454,0.0013897841197282796,0.004605142929738734,0.0035950384105710425
matched,ELMT,5,0.004591650852935454,-0.00348353266012687,0.004605142929738734,0.002307085247926077
