,MTRN,ENTG,CRS,ATI
MTRN,1.0,0.20960838992560868,0.20209005420660833,0.20466114757566828
ENTG,0.20960838992560868,1.0,0.05474040857058797,0.08243705413377726
CRS,0.20209005420660833,0.05474040857058797,1.0,0.5413985643686838
ATI,0.20466114757566828,0.08243705413377726,0.5413985643686838,1.0
