path,sha256,bytes
MTRN/data/processed_data/excerpts_Proxy.txt,b0e20b3926d48f8f21751a9f26412a37173ecfc62057354ac863ed3ae08c4f3a,27415
MTRN/data/processed_data/excerpts_Q.txt,017fe543b0a3766d967604d4121bb9a224618b55644d21aa268d4e9a42f227ff,46224
MTRN/data/processed_data/financial_audit.csv,a84d3376cccf826f1d45a09bfecd9dd8f8cf1495abf9d7c723a9f6748ef0cede,32965
MTRN/data/processed_data/financial_history.csv,7333e3d8cf98fdcd911d2f85f8bf6a7aec9e1473bceec159a7a4862a63b5d323,5756
MTRN/data/processed_data/fundamental_scenarios.csv,85c71ca3af76b9fdd9edaf46f09074ad89c2855d53cda61a375ff976dc37e525,1245
MTRN/data/processed_data/largest_moves_full_history.csv,75f30f6698ab24826109c17b8354f0b26412c64041ec50e08d91bd8968d2c370,2568
MTRN/data/processed_data/largest_moves_recent.csv,fe29081e0f8da1edfd53b3bf156834de3df1f313bc1a49245fe22ec3d58165b2,1798
MTRN/data/processed_data/manual_input_audit.csv,37d8cec999667fd9a75d0d9dca627753dd5b617db33cfb340b8eb6eb538a22f6,7936
MTRN/data/processed_data/options_audit.csv,a7e956f5326b6c283d2e3197476b34e353e0413f19ae332d23c18645ac6cc888,78713
MTRN/data/processed_data/options_conclusion.json,cc8a1e33f34e0fa9ca1e3d0bad5c36c431b4904f03032bd7e5c964e36ea3dfbf,712
MTRN/data/processed_data/options_near_spot.csv,3293b68b886dffeaf24e5cf8ea887861060c42d630ed467885ac397c116b78bf,11211
MTRN/data/processed_data/options_summary.csv,458dfb584d5edacd170c79073649a8fd25e9e02552daa1649f32d760c01e27dd,588
MTRN/data/processed_data/peer_financial_audit.csv,e85e5cec0ce7503c8dd2a8b8fd98ef90b37836c8a5a3983966829d7d8d255abb,9773
MTRN/data/processed_data/peers.csv,c121536a4c4a05b94127f790d2e736c5a67b15a423f30bb6e9237b308915f24d,1285
MTRN/data/processed_data/retrieval_outcomes.csv,ee2f261c7e3d456e74d432bba589b0c444b4e643423fd8f8ddebc4bc50ae0f08,3154
MTRN/data/processed_data/stock_returns.csv,bb04b8dc359a1057e7c8467bd58402767f2eb4e9b787e6eb3c506c1d5df748b9,1588
MTRN/data/processed_data/stock_summary.json,991a4a02130446df1b958c910a305302d435609816bca3df52cc460460187d02,997
MTRN/data/processed_data/technicals.csv,c332bb3a24c354e860ab2467e9296bfb1db716d2008f8772f9f6ab8bcf37d773,4171284
MTRN/data/processed_data/validation_results.json,06cc22b551606dfe5a122d5a15582792b674d2afa35829e5c9414be93a41104e,1976
MTRN/data/processed_data/valuation_summary.json,dd7ad67d964d307cbed19efda3211e707193c57e26f24a2430e261b7669f766c,818
MTRN/data/source_manifest.json,6930505d6164ae5d9667826d7c757826e8b7436464ae2226274479042fa04676,7088
MTRN/experiments/historical_attribution/data/raw/ELMT_daily.csv,f2d7cb7b3538e61046673e65385d63a43b4b77cf838cd8c4e08fa6c3c040a854,11012
MTRN/experiments/historical_attribution/data/raw/ELMT_events.json,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,2
MTRN/experiments/historical_attribution/data/raw/F-F_Momentum_Factor_CSV.zip,7ee14e892b0f7044902fdbc4e25cfaf175b73d4eda0ae6f4a0354a4433afe065,5596
MTRN/experiments/historical_attribution/data/raw/F-F_Research_Data_5_Factors_2x3_CSV.zip,b8653b411cc5e28917e7ef643bb42f6d2d3703f84bc170eb6ae38d5267c65807,11948
