ticker,n,intercept,intercept_lo,intercept_hi,residual_variance,residual_var_lo,residual_var_hi,residual_volatility,residual_vol_lo,residual_vol_hi,panel,block
MTRN,67,0.013322172264959537,-0.00860882013658588,0.03865049244090504,0.007946953548420402,0.0033184381510928196,0.010190830881711707,0.08914568721155501,0.05760588642745479,0.10094964527779039,recent,6
ENTG,67,0.0027542261072859885,-0.02355375189370894,0.03620914250952278,0.011968880325783152,0.004224286422632727,0.015459516591520402,0.10940237806274208,0.06499451071154184,0.12433630439867674,recent,6
CRS,67,0.03992614508888462,0.011828864247650743,0.07307714944875023,0.014421080046781028,0.009358769276280128,0.01656366046264605,0.12008780140705812,0.09674073225007204,0.12869988524721399,recent,6
ATI,67,0.03111892653868447,0.0016824293334172862,0.06278104048307485,0.014131822317022128,0.00902021226593872,0.019023180437798437,0.11887734147861033,0.09497479805684622,0.13792454617579294,recent,6
