,MTRN,ENTG,CRS,ATI
MTRN,0.0007073417478488524,0.0003683040592527669,0.00040982216632202853,0.0004088939504533875
ENTG,0.0003683040592527669,0.000860340702767228,0.0003679410916570768,0.0003606033008286399
CRS,0.00040982216632202853,0.0003679410916570768,0.0009461447492329613,0.0007136863314390591
ATI,0.0004088939504533875,0.0003606033008286399,0.0007136863314390591,0.001109348764998572
