panel,ticker,start,end,n,total_return,start_close,cagr,max_drawdown,vol_annual,mean_annual_arithmetic
long,MTRN,2016-01-04,2026-09-18,2693,8.693092145858811,2015-12-31,0.23610549365916667,-0.6199434300399804,0.4221967793078375,0.3006815547765974
long,ENTG,2016-01-04,2026-09-18,2693,10.213178813517928,2015-12-31,0.2530242764303694,-0.5931955944064302,0.46562415862725753,0.3345541891787646
long,CRS,2016-01-04,2026-09-18,2693,15.113607444060648,2015-12-31,0.2961457745740592,-0.7469666523936738,0.48829138514488074,0.37943775409469915
long,ATI,2016-01-04,2026-09-18,2693,16.312929772903008,2015-12-31,0.30485821440312066,-0.8243197870791578,0.5287304500212184,0.4055481348995397
recent,MTRN,2021-01-04,2026-09-18,1434,3.063843002737328,2020-12-31,0.27811889625690944,-0.47844142989708316,0.4405338642433903,0.3419502431706587
recent,ENTG,2021-01-04,2026-09-18,1434,0.5121965660105918,2020-12-31,0.07506220698120791,-0.5931955944064302,0.5347352539276911,0.21539141166411374
recent,CRS,2021-01-04,2026-09-18,1434,14.109206760419855,2020-12-31,0.6083531622770026,-0.4701140678987946,0.47483782039418543,0.5888796375839219
recent,ATI,2021-01-04,2026-09-18,1434,10.426952871315956,2020-12-31,0.5316181323979683,-0.43306448176797685,0.43460118857884084,0.5224092902909224
matched,MTRN,2026-04-24,2026-09-18,102,0.3743152818038027,2026-04-23,,-0.3633276599904266,0.7614238409471388,
matched,ENTG,2026-04-24,2026-09-18,102,-0.045945581674615155,2026-04-23,,-0.4179312586930498,0.8141424329272576,
matched,CRS,2026-04-24,2026-09-18,102,-0.042605708165782796,2026-04-23,,-0.3429462234479401,0.4319230206289853,
matched,ATI,2026-04-24,2026-09-18,102,0.24394677758252703,2026-04-23,,-0.20769695246865405,0.43460468492632603,
matched,ELMT,2026-04-24,2026-09-18,102,0.28308206242429423,2026-04-23,,-0.4232684616063416,1.0772632075283,
