n,parameters,start,end,mean_excess,alpha,alpha_lo,alpha_hi,alpha_p,r2,adjusted_r2,total_variance,fitted_variance,residual_variance,residual_share,residual_volatility,residual_mse,condition_scaled,mean_residual,mean_identity_error,variance_identity_error,bootstrap_valid,alpha_boot_lo,alpha_boot_hi,residual_var_boot_lo,residual_var_boot_hi,residual_vol_boot_lo,residual_vol_boot_hi,r2_boot_lo,r2_boot_hi,panel,ticker,model,alpha_bh_q
127,7,2016-01-31,2026-07-31,0.021007173878729,0.0063805008082551,-0.0062768830091556,0.0190378846256659,0.3231504591271955,0.4525169420969974,0.4251427892018473,0.0132089355862874,0.005977267139863,0.0072316684464244,0.5474830579030026,0.0850392171084873,0.0075932518687456,4.269927411142737,-1.6871893208870491e-16,1.734723475976807e-16,1.734723475976807e-18,2000,-0.0047147658155806,0.0224537844550989,0.0043209280046065,0.0095899680034759,0.0657337656479206,0.0979283819876389,0.2961918905621012,0.5967763183213214,long,MTRN,M2,0.43086727883626064
127,7,2016-01-31,2026-07-31,0.0224166542312051,0.0006029680052642,-0.0095384175481994,0.0107443535587278,0.9072309552104708,0.5593037926495675,0.5372689822820459,0.0134449902404754,0.0075198340336343,0.0059251562068411,0.4406962073504324,0.0769750362574848,0.0062214140171831,4.269927411142737,-2.0062691665470347e-16,2.0816681711721683e-16,4.3368086899420185e-18,2000,-0.0091649079278468,0.0128191318002794,0.0035557793530606,0.0075905526605119,0.0596303556658658,0.0871237778031826,0.4533525304218477,0.6799444883622294,long,ENTG,M2,0.9072309552104708
127,7,2016-01-31,2026-07-31,0.0324049089328944,0.0154846276436527,-0.0027595441720736,0.0337287994593791,0.0962109363254023,0.5224412560871678,0.4985633188915263,0.0205113139597002,0.010715956629104,0.0097953573305961,0.4775587439128322,0.0989714975667045,0.010285125197126,4.269927411142737,-2.1537889582049047e-16,2.1510571102112408e-16,1.734723475976807e-18,2000,-0.0023726682005007,0.0345138566607002,0.0070029456469893,0.0114676596967045,0.0836836043930921,0.1070871593245379,0.3785997776037651,0.6726051204269486,long,CRS,M2,0.1924218726508046
127,7,2016-01-31,2026-07-31,0.0323316152430976,0.0176552076820784,0.0010521015207694,0.0342583138433875,0.0371453887950201,0.4769147937583468,0.4507605334462641,0.023974443092406,0.011433766582886,0.01254067650952,0.5230852062416532,0.1119851620060444,0.013167710334996,4.269927411142737,-1.9723942514255982e-16,2.0816681711721683e-16,3.469446951953614e-18,2000,-0.0009236989624338,0.0357765609519244,0.008676271030916,0.0157241651803784,0.093146502800368,0.1253960328917542,0.347476151690032,0.6179125048979498,long,ATI,M2,0.1485815551800804
