term,estimate,lo,hi,n,calendar_quarters,valid_bootstrap
MTRN,0.0401328732533032,0.00274378926362447,0.07263004799122914,92,23,2000
ENTG,-0.011399149461327987,-0.047947762990212514,0.022458611801085337,92,23,2000
CRS,0.013647488733974911,-0.01643903316437055,0.05781653348776985,92,23,2000
ATI,0.025267543788586186,-0.012159495013034148,0.05271159720011333,92,23,2000
earnings_change_scaled,-0.13978158949330494,-1.2921549872723213,2.450933977120146,92,23,2000
operating_margin_change,0.11032149714506348,-0.47461553018156794,0.44053632927729375,92,23,2000
