date,MTRN,ENTG,CRS,ATI,ELMT,SPY,SOXX,ITA
2015-01-02,-0.009083560373150834,-0.008327256734150468,-0.027208702800815998,-0.01092904129300376,,-0.0005353607968676677,-0.0008611026408579248,-0.001831369308104236
2015-01-05,-0.027212635019784215,-0.03358766279011871,-0.05405932910362932,-0.057865663592067906,,-0.018059399907059515,-0.018855827047560836,-0.014849700467324256
2015-01-06,-0.015606125388140102,-0.03317558026652534,-0.019638647170083456,-0.024999976936893487,,-0.009419266706938045,-0.02229280639695186,-0.0063838765176253975
2015-01-07,0.0026916395007117178,0.012255150860273734,-0.0004494711891477321,0.017727162683822018,,0.012461518243721326,0.009884103057343996,0.00883461890851267
2015-01-08,0.02625319444214358,0.0153348633843704,-0.005629545764065158,0.005598764121722333,,0.017745024092327144,0.02969644995064402,0.019637177571200537
2015-01-09,-0.018604549655578895,-0.003974695740264544,-0.023777425315474998,-0.020414546866990513,,-0.008013942170965849,0.000540173642334496,-0.0065932995280247875
2015-01-12,-0.0085901257259694,-0.013567320536396865,-0.009742667757853485,-0.03410172619571561,,-0.00783352124028558,-0.019216243029707814,-0.007684827298768182
2015-01-13,-0.022706641340757172,-0.00485440223483613,0.002108596529771134,-0.015364464875737505,,-0.0028124838938075047,-0.009796441786045218,0.002376205861287728
2015-01-14,0.0006110468444875394,-0.008130272521673865,-0.019635530177557037,-0.053120859597985626,,-0.006037360503853506,-0.0056690648861091875,-0.0029850627187576473
2015-01-15,-0.014665381822599688,-0.015573362988160033,-0.01716732683202815,-0.020336513728725913,,-0.009160603329898098,-0.007937686863410898,-0.004226734708529523
2015-01-16,0.03503881045790158,0.028309487784181186,-0.03372122769353869,0.0064423147487722154,,0.013114103972846625,0.010931112881162885,0.0031837343124665463
2015-01-20,0.009886104298241438,0.009716585651366128,-0.0062771136566700525,-0.0017781517426069815,,0.0021329150592270807,0.010366564533567768,0.005112542051886493
2015-01-21,-0.013942113540906687,0.013632519715394809,0.006821899322586811,0.018525137556559157,,0.005047777321872671,0.01136352987846223,0.002631089229436556
2015-01-22,0.030084340209256988,0.013449568203473428,0.009284819120821908,-0.0031479588031818606,,0.014870763078166593,0.006000053346286061,0.019769163530513723
2015-01-23,-0.024532972669485398,-0.0015613949042612152,-0.007459219951126528,-0.04140347339606154,,-0.005482648851337535,-0.00260256404889192,0.0020584735321571568
2015-01-26,0.031736682197077926,0.0023459109999883765,0.002254676510473841,0.03440702434777654,,0.002341828545263658,0.001848164916836481,-0.002567879541050311
2015-01-27,-0.008996369394770443,-0.0046806077203142005,-0.010997472445945511,-0.012738802752934819,,-0.013190412931304407,-0.01779676881845782,-0.011157106608452372
2015-01-28,-0.03806702422141939,0.010188447182767346,-0.08162727092154487,-0.0032258827110557275,,-0.012824062279951254,-0.004750797812838603,-0.0021695285921964347
2015-01-29,0.010958869941199767,0.03491063345282108,0.018712022731379285,0.008629955048167659,,0.009243614203187978,0.0006657407726864406,0.01035044742125435
2015-01-30,-0.007829148290111498,-0.02548718372093861,0.024851736071070718,0.017112374379418593,,-0.012575269123301203,-0.019636137751777194,-0.015065204937711796
2015-02-02,0.023975670507938363,0.009999889498895964,0.023194124143789407,0.017875970833100663,,0.012384080589790347,0.0026027974283666655,0.014683811367724786
2015-02-03,0.07172495298483073,0.018278802278523187,0.029108962558874296,0.06163910335861389,,0.014461217635276968,0.017720049579390995,0.016452815463602333
2015-02-04,0.0033185554420525065,-0.0007480726831776696,-0.015769601335045902,-0.020110276469361366,,-0.0038078858314101183,0.00377088372251011,-0.004406620981990739
2015-02-05,0.020121535846608918,0.017964198391402952,0.027975908416920436,0.06487900491125154,,0.010094893102326807,0.009722336463208636,0.007915768106736554
2015-02-06,-0.01783291647037244,-0.0022057509136470532,0.002981611099720727,0.0,,-0.0027652262866662003,-0.005471087640056438,0.009205625214987023
2015-02-09,0.004401267940473241,0.003684500866284246,0.0007431868806775377,0.0015544177208204335,,-0.004475568703182442,-0.010562238589993056,-0.007280493302689428
2015-02-10,-0.018077368947248984,-0.009544828378249437,-0.01411212528478556,-0.012104404095537369,,0.010653110728966464,0.03380407659490747,0.0056479671791491715
2015-02-11,-0.00027890866889679344,0.002223884936860543,0.01054780237277364,-0.0031416674538990996,,0.0005802482423762356,0.0032271002503707624,-0.0009219084143744505
2015-02-12,0.026507081138761546,0.009615278903518432,0.023856221619300788,0.04916475957953703,,0.00961695934013207,0.01597473426034357,0.008809188318670946
2015-02-13,0.0035337354897746476,-0.010989088087299703,0.019660751132825727,0.011715289026811071,,0.004116180586487328,0.007070666397134717,0.006902790184881713
2015-02-17,-0.008823677521421325,-0.01999969850926131,0.0049983085781015735,-0.018705374612163483,,0.0015733563841564546,0.003143979183443335,-0.00181693207347855
2015-02-18,0.004382691233833391,0.021163913445703342,0.001895070013860689,0.0051437561490357275,,9.527725372349138e-05,-0.002611726487924848,0.008191963706163152
2015-02-19,0.05072239328074035,0.014063581180261187,0.0044917451268911,-0.009030937575879139,,-0.0007141147427195405,0.002722954951656975,0.012639410592869105
2015-02-20,-0.023098468922720827,0.0007300534520584545,0.009884451924843551,0.02764309313696378,,0.006000539915421488,0.005953600307116114,0.011914305330878117
2015-02-23,-0.022316811496003397,-0.023340592888139167,-0.009554806335081434,-0.00798121075732916,,-0.00014175690190421086,-0.0062297028898594675,-0.0024028582428998746
2015-02-24,0.030978103062256013,0.004480837424290174,0.020705819625082666,0.019368272200587677,,0.002840800737555993,0.013373712318154096,0.002007491698834185
2015-02-25,-0.014232865824267305,0.0007436973558951898,-0.005532331973606031,-0.0190002698031555,,-0.0008498260348402953,-0.005154998928571186,-0.00737199930343968
2015-02-26,-0.0122997220374218,0.0029713928948933432,-0.008576803545553346,0.003873678190443597,,-0.0011817553770744338,0.006839794027952317,-0.0037937210625742512
2015-02-27,-0.008662337239254247,-0.006666713959331383,-0.009586297491817275,-0.0008905127155349746,,-0.003405870299034275,-0.002984860308458237,-0.0006484841032823319
2015-03-02,0.012288380906492868,0.024608900032620395,-0.01794153574698698,0.0020795571504668153,,0.0063133739479834805,0.027461933493158508,0.01321645861971299
2015-03-03,-0.007013723300304364,-0.013828598304507111,-0.004326761723283168,-0.014230717379722813,,-0.004103831174231409,-0.01848839130932911,-0.00848262996243665
2015-03-04,-0.007878432736834862,-0.018450070401148544,-0.011347079045474273,-0.009623883065748462,,-0.004215563454321725,-0.0013310440026441661,-0.004196920869549703
2015-03-05,0.010952814902518648,0.00827053457513216,-0.028571541503761733,-0.01670215378906814,,0.001094138067874173,0.0006150250135896762,0.0015401337738030207
2015-03-06,-0.01733450585654639,-0.01789707075339597,-0.026897835968789585,-0.022853593956023044,,-0.01406455900075465,-0.010347150958922469,-0.011491370891672181
2015-03-09,0.013505816082808764,0.0167049526687455,-0.00025804936305118265,0.04736183279681616,,0.004144706028507583,0.0031056996999878628,0.0090871523001812
2015-03-10,-0.015229821333148208,-0.020164215420222842,-0.01627893206668496,-0.04309569708077898,,-0.016222338731832542,-0.018472782182757608,-0.015901526908534858
2015-03-11,0.011598845054781926,0.002286372618517163,0.004202267123933234,-0.003488700025336744,,-0.0023413529218215823,0.002207946238579117,0.003215212509559917
2015-03-12,-0.0002726809487891835,-0.009885747183620675,0.010724476128466165,0.00509220939194277,,0.01271378219739061,-0.0003148417154201777,0.01249077194027337
2015-03-13,0.0027302728607092597,0.012288690561474747,-0.014750961763616677,-0.05763133325582903,,-0.006132271392286448,0.006716397703065535,-0.008521979081364983
2015-03-16,0.0019071398293089015,0.011380730868444378,-0.0026271533984506545,-0.00235221369133376,,0.013360575294951271,0.015219611937893784,0.012033430687802715
2015-03-17,0.014677416826072598,-0.008252070763338448,-0.0028972738124716235,-0.01111472361539434,,-0.0029727746473808825,-0.007290411890036541,0.0
2015-03-18,0.01768014268793805,0.006808065392924112,0.0036983205298259936,0.038828259450357505,,0.012022014416728677,0.007447112681455703,0.009948843927970463
2015-03-19,-0.007107011401431551,0.01051827882410361,-0.01868469456974764,-0.032786884180964204,,-0.004561478594839352,0.0022587630373851475,-0.004404966932365473
2015-03-20,0.03632011524076506,0.010409092881324744,-0.006167657218521305,0.0013559590231586593,,0.008827005923151665,0.014136553268530694,0.006676994881271714
2015-03-23,-0.01023260870003695,0.01986724340795698,0.01996742579147548,0.06635061299397238,,-0.0019484340108939513,-0.008282947821828923,-0.0035960367757461587
2015-03-24,0.0010335072577178916,-0.0007215537943005002,-0.012698387452951265,0.002857183831302068,,-0.005619323019374511,-0.008555755381656538,0.000320879249020134
2015-03-25,-0.013684011576702071,-0.032490917523354756,0.017953085544073488,-0.03418802132244925,,-0.01465385059882962,-0.04646588868210888,-0.019263831064495585
2015-03-26,-0.007068047926068632,-0.0014923493089006312,-0.0023691380510448834,-0.007538482568996252,,-0.002381606471518305,-0.013719776179881293,0.0023804371044868766
2015-03-27,-0.0018457521825792078,0.013452783403141488,0.0036941725419568083,-0.00858659728657829,,0.002289842404594067,0.028368105390263354,0.009416984425538732
2015-03-30,0.015055609774062173,0.008849472235544109,0.014720844581225911,0.026982068626141276,,0.012199885496138707,0.01278071270784431,0.012736032639529604
2015-03-31,0.0,0.0007311208601994412,0.00725412177718554,-0.026597514042730475,,-0.008739514605386356,-0.011252122578812584,-0.008490672434309787
2015-04-01,0.013270039521918742,0.0,-0.08204715191683942,-0.013328890501876578,,-0.0035364331565727047,-0.006487862083172202,-0.004524116873927619
2015-04-02,0.02208575816058045,0.025566235672000337,0.014849639648278234,0.0324215197036577,,0.003597562057699122,-0.0022483989252037873,0.0019477387376194422
2015-04-06,-0.002009784300598505,0.009971530619292235,0.0574270260773615,0.023225406370725343,,0.006733070671566477,0.004399170857959822,0.009233860471395072
2015-04-07,-0.01837908699123858,-0.0021157405922216377,0.009138616466993765,-0.006074114650046258,,-0.0026462789668236786,0.0004271654756511367,-0.002568450381289722
2015-04-08,-0.0005127778318205767,-0.0014135312944548728,0.02690774940598395,-0.03280814545829036,,0.003377129851438898,0.0058731245568106605,0.006759114420257006
2015-04-09,-0.008468475989515167,-0.004953939076624003,0.013606217375093266,0.0019954168140683404,,0.00442329846746925,0.013057069890837658,0.0003195684604286875
2015-04-10,0.026139189066121782,-0.0014223667112124305,0.010439381945918091,0.0013276067837688643,,0.005457403140294748,0.004087030838939576,0.001997227607679175
2015-04-13,0.010844870481548252,-0.010683904610948258,-0.020910267454290032,-0.006297722005257578,,-0.004522902592576039,-0.005948874000928028,-0.006299114173878295
2015-04-14,0.0017465347297327405,-0.0021599140803214567,0.013567913409271659,0.025016728508451713,,0.0019130324986271763,-0.010183861712438125,-0.0012839507864541577
2015-04-15,0.00821938224302965,0.02164524629564002,0.01214691581006666,0.015945307678480347,,0.004486725691754234,0.01665256303547169,0.0016071389982805773
2015-04-16,-0.014575370921980024,-0.023305032654169056,-0.019838571275826555,-0.025944898085332624,,-0.00028491740812075506,-0.004277144616470552,-0.0014440151827412873
2015-04-17,0.0025069784797653316,-0.01518448473440337,0.002249080428516681,-0.01874386376727777,,-0.011503795336644473,-0.014249984669193472,-0.01662905709573903
2015-04-20,0.01275331627522891,0.024228948729983157,0.015208304364860092,0.01541555685179219,,0.009137166727382517,0.008503290225367,0.012498795925796502
2015-04-21,-0.008888633418335345,-0.011469519081551693,-0.0014736868644824597,0.14356434478198454,,-0.0011915787720281346,0.00685097866727391,0.0010489163872553497
2015-04-22,0.0,0.0036260099588678596,0.010083425546262736,-0.010389530781992673,,0.004914408405801263,0.014131630314820454,-0.0004029272544604501
2015-04-23,0.005729649808327908,-0.00722538654938687,0.01728750746272345,0.007874185906735054,,0.002516130421440055,-0.015483158471590874,0.0
2015-04-24,-0.0027250001027914195,-0.008733756029128847,0.0011968786184879399,0.0014464293146676521,,0.0023201779169772507,-0.016460441846794183,-0.007176923801388346
2015-04-27,0.010184056162021227,-0.011013071952871045,0.0031079653108974092,-0.01560219425213294,,-0.004157402008326483,0.002558349740597432,-0.0025984225705508734
2015-04-28,0.01573667689209013,0.04231617324138326,0.007149691984951856,0.017904303892811946,,0.003178806255515587,0.0009569159249329662,0.0017914170910797722
2015-04-29,-0.03171171051714272,-0.03846180080982997,0.008991993875332449,-0.013264190661557262,,-0.004114618846905782,-0.0055235241102267185,-0.00633963276072369
2015-04-30,-0.0002501224936268809,-0.01407377980860347,0.014305609828922039,-0.0067211893362347785,,-0.010020373103860614,-0.008652141165193417,-0.01758743992353118
2015-05-01,-0.02200559808551872,0.007512799332828557,0.024971340970965095,0.007649080771942707,,0.010840998802156276,0.02779869246644595,0.008826344883136494
2015-05-04,0.008181817313702489,-0.008948460985967355,0.006316049948371205,0.012262874016153447,,0.0028477029261748665,-0.001991964462853546,0.002393389079245356
2015-05-05,-0.005072031284647616,0.0,-0.004707409549088437,0.01788316554340641,,-0.011451991696817432,-0.021743473978287797,-0.012103582453717676
2015-05-06,-0.028039864523157543,-0.005267055214792982,-0.005856238281664594,0.005950460031319382,,-0.004116814921249934,-0.0011812247692539746,0.0004997816702028146
2015-05-07,-0.005507236219339573,0.013615678026597466,-0.008608698822627936,-0.019718170880098418,,0.003989649244075855,0.010965294447417673,0.00016693743914553139
2015-05-08,0.01107590538621328,-0.0037310966109689314,0.0048189264527980225,0.025574575935756183,,0.013166308007082517,0.009995595015782621,0.014076514990641886
2015-05-11,0.0023477023990918777,0.0,0.01804076112106756,0.022975718245174415,,-0.004772797285750308,0.0006318778454179608,0.0022174077907530787
2015-05-12,0.0018218458888124012,0.014980951838662104,-0.013908097358851013,-0.018898965688989522,,-0.0029913512377884866,-0.00904887823039513,-0.0012291598762919076
2015-05-13,0.013765642297658864,0.006642113690952689,0.0015925635527251902,0.022613000840980835,,0.00019043976571953003,0.006158355972844642,0.0022974049244837147
2015-05-14,0.00538056146579402,0.00953083479130612,0.010901667320593722,0.022386006703912997,,0.010427510734447587,0.011925127156569015,0.013344202213739997
2015-05-15,-0.01732896889859059,-0.010166908032145594,-0.008537302480202902,-0.005874430788205154,,0.001083977831145999,0.0016684362709880052,-0.0008082253710616216
2015-05-18,-0.004408935344726639,0.002200822772506772,-0.0045321894826111375,-0.005103419060867864,,0.0031066939978443564,0.009786554678555826,0.0031536414023507486
2015-05-19,-0.014621409300771604,0.0014641635937171493,-0.011836586892916667,-0.036177206690857555,,-0.0003282387972721734,-0.0036085520924580283,0.0010477484968680617
2015-05-20,-0.0010601105963889967,0.0051170438740335555,-0.0057595437433883845,0.000840255730777173,,-0.0007041190618946036,0.0021730522266314445,-0.0007247161906354105
2015-05-21,0.0010612356235186748,0.005818391768278364,-0.010889433958156891,-0.03694365098130892,,0.0029122535838723707,0.005059460723083609,0.003706493232383812
2015-05-22,0.001854645059307547,-0.006507564183194314,0.0016398327456905726,0.002629317884785598,,-0.0023887868722504146,0.0020543795811245325,-0.007545861575538271
2015-05-26,-0.019306604217241397,-0.008733756029128847,-0.028765230593386537,-0.036421950477421694,,-0.010751606638522038,-0.007688803469435679,-0.011647813855978462
2015-05-27,0.007820815261486702,0.02569741203575937,0.005779291054851976,0.015119531949268517,,0.009492161776165853,0.0392602493770875,0.005156044268414872
2015-05-28,0.0018727859333116381,0.0028630603940502652,-0.013167343717387148,-0.016383734980079168,,-0.0011279398226379245,0.000993778564674308,-0.0020354181811457206
2015-05-29,-0.006677234771601093,-0.005709915771800023,-0.009219265743633964,-0.015747977446388894,,-0.006213407729120712,0.003774228263117685,-0.008240198168225632
2015-06-01,0.009410923394816306,0.03661152408370216,-0.011018828314340312,-0.012923076176681092,,0.002036700424812521,0.0005937401840956369,0.0010692420441451578
2015-06-02,0.019446237741403083,-0.020775492371832627,0.02154019019049258,0.02649615394067495,,-0.0009925344676983139,-0.011173916773655312,0.0022187824923094457
2015-06-03,0.0031350973723534015,0.013437126745499572,0.012602660886689154,0.010932349481333814,,0.0026495335686962385,-0.006800030136220103,0.007379287951848834
2015-06-04,-0.028392547335111096,0.0006976790164159308,-0.009813432996235383,-0.012916750639834107,,-0.008446707022227828,-0.009061283164226608,-0.017092465029910686
