date,actual,fitted,residual
2016-01-31,-0.08302039401493579,-0.1077562656134147,0.024735871598478912
2016-02-29,0.07692674363128568,0.013586029514402733,0.06334071411688295
2016-03-31,0.1515494946112834,0.14259486224741785,0.008954632363865539
2016-04-30,0.03958863719298743,0.10850675965893032,-0.0689181224659429
2016-05-31,-0.0952707590335189,0.02738760533968638,-0.12265836437320529
2016-06-30,0.027577824685239595,0.0011901343633094214,0.026387690321930175
2016-07-31,0.1917222677577017,0.0918768236563253,0.09984544410137641
2016-08-31,-0.07143328820759279,0.08922533658869042,-0.1606586247962832
2016-09-30,0.13706560173700086,0.05750849208035467,0.0795571096566462
2016-10-31,-0.230540248419334,-0.041308769196321565,-0.18923147922301242
2016-11-30,0.13150392251867582,0.24806960405655723,-0.11656568153788141
2016-12-31,0.010882633235102824,0.06251777007541388,-0.05163513684031106
2017-01-31,0.1060415645678447,0.015806581370256277,0.09023498319758844
2017-02-28,0.017291799273966024,0.026868595238000236,-0.009576795964034213
2017-03-31,-0.0806745732133082,0.006086042006885617,-0.08676061522019382
2017-04-30,0.09289087364786636,0.008435835295410449,0.08445503835245591
2017-05-31,-0.10232419697766522,-0.04108428091466518,-0.06123991606300004
2017-06-30,0.0257231001270281,0.0917776283486747,-0.0660545282216466
2017-07-31,0.07944934705029541,0.027340040282813616,0.052109306767481794
2017-08-31,0.00639199900857358,-0.027488738020851652,0.033880737029425234
2017-09-30,0.18414785166326852,0.1544500132491822,0.029697838414086325
2017-10-31,0.03948282300725693,0.004776886882475443,0.03470593612478149
2017-11-30,-0.008030722651587196,0.03442507185269428,-0.042455794504281476
2017-12-31,0.030659714168731155,0.02430467530409198,0.006355038864639177
2018-01-31,0.006940827019093699,0.04533702234272375,-0.03839619532363005
2018-02-28,-0.006319946033846346,-0.05020562159278504,0.0438856755589387
2018-03-31,-0.13508274844618232,0.03813776040088698,-0.1732205088470693
2018-04-30,0.20973330050039612,0.06129042533123008,0.14844287516916604
2018-05-31,0.12402247026447084,0.10198896563546153,0.022033504629009312
2018-06-30,-0.124356365534859,0.02106444681766968,-0.14542081235252868
2018-07-31,0.04024898160480533,0.035220033631215585,0.0050289479735897424
2018-08-31,0.09161116009932506,0.03879400366528415,0.05281715643404091
2018-09-30,-0.013566208157747393,-0.02176862219100494,0.008202414033257546
2018-10-31,-0.25930179037463075,-0.11425248802002377,-0.14504930235460697
2018-11-30,-0.013952872215522747,0.045340727492829205,-0.05929359970835195
2018-12-31,-0.1752986058620678,-0.1624983798787972,-0.012800225983270602
2019-01-31,0.32505545758922816,0.18962995528407242,0.13542550230515574
2019-02-28,-0.00439420194674198,0.06716978151873598,-0.07156398346547796
2019-03-31,-0.02512110888676665,-0.04887173140178823,0.02375062251502158
2019-04-30,0.08557277245614102,0.06251739630338143,0.023055376152759585
2019-05-31,-0.1855106925785347,-0.11579819989071068,-0.06971249268782402
2019-06-30,0.1811390954935577,0.11533539287736515,0.06580370261619255
2019-07-31,-0.06380101932585867,0.014088633416626355,-0.07788965274248502
2019-08-31,0.08386461975666419,-0.10611437103706152,0.1899789907937257
2019-09-30,0.0602886788043975,0.09314426906103883,-0.03285559025664133
2019-10-31,-0.04890670196134034,0.034410962220178885,-0.08331766418151923
2019-11-30,0.07121963242320781,0.08289762377705547,-0.011677991353847658
2019-12-31,-0.054472507375467646,0.08949319945041,-0.14396570682587764
2020-01-31,-0.19919373493658513,-0.0819694323743739,-0.11722430256221122
2020-02-29,-0.0764391565140892,-0.11003682238835501,0.03359766587426581
2020-03-31,-0.47058778687148406,-0.3543153655788214,-0.11627242129266269
2020-04-30,0.13692316468590882,0.22020730656027707,-0.08328414187436825
2020-05-31,0.0639622422525483,0.07565864570707743,-0.01169640345452913
2020-06-30,0.038838990231771606,0.06790034529767312,-0.029061355065901517
2020-07-31,-0.0791774745627123,0.037103653077155276,-0.11628112763986759
2020-08-31,-0.05036050988234565,0.057414343382164355,-0.10777485326451
2020-09-30,-0.1365716859815449,-0.04705325084801258,-0.08951843513353232
2020-10-31,-0.027042403439991102,0.08778892884982674,-0.11483133228981784
2020-11-30,0.39806932884723434,0.34369029458936057,0.05437903425787377
2020-12-31,0.1913892256548897,0.15752973936737327,0.03385948628751642
2021-01-31,0.0728025062485329,0.1596548350592098,-0.0868523288106769
2021-02-28,0.30992244779132205,0.16914439118703614,0.1407780566042859
2021-03-31,0.0120511713253737,0.06882464243178797,-0.05677347110641427
2021-04-30,-0.07970821506790904,0.014558864477052152,-0.09426707954496119
2021-05-31,0.2720997865634802,0.07180659125533123,0.20029319530814899
2021-06-30,-0.16068449564719722,0.017413488045110753,-0.17809798369230798
2021-07-31,-0.05146701476701243,-0.07135456928606076,0.019887554519048334
2021-08-31,-0.1206754924087089,0.04460162171626505,-0.16527711412497395
2021-09-30,-0.018290687050759202,0.023133882016947275,-0.041424569067706474
2021-10-31,-0.05088499124944168,0.05137697523920064,-0.10226196648864232
2021-11-30,-0.11010353960522323,-0.08149328188582204,-0.02861025771940119
2021-12-31,0.062127047993523185,0.05204665672569312,0.010080391267830065
2022-01-31,-0.009216154972931934,-0.017675978204850524,0.00845982323191859
2022-02-28,0.3366990188273076,0.06510771898054371,0.2715912998467639
2022-03-31,0.09351397206926104,0.04013111983188595,0.05338285223737509
2022-04-30,-0.09051929594319497,-0.09932297993557833,0.008803683992383363
2022-05-31,-0.07270663724897011,0.06044845795613865,-0.13315509520510876
2022-06-30,-0.2083774291031743,-0.14527477118713678,-0.06310265791603753
2022-07-31,0.15075869641919928,0.13599979621816738,0.014758900201031905
2022-08-31,0.06060700805519838,0.02651392563226303,0.03409308242293535
2022-09-30,-0.08520877493819355,-0.12018575146108858,0.034976976522895026
2022-10-31,0.20538353492026282,0.18459427091326103,0.02078926400700179
2022-11-30,0.09496091908132799,0.020662614667495034,0.07429830441383295
2022-12-31,-0.10364112072091394,-0.0641496433673347,-0.039491477353579246
2023-01-31,0.3090974355572183,0.18455603286901714,0.12454140268820116
2023-02-28,-0.002571646633761457,-0.025841586103257104,0.023269939469495647
2023-03-31,-0.07746718483709387,-0.10673495042211614,0.029267765585022268
2023-04-30,0.17478426423773913,-0.01950068094455524,0.19428494518229436
2023-05-31,-0.13549964258637043,-0.030255581135786202,-0.10524406145058422
2023-06-30,0.22665113291725758,0.1084970615643676,0.11815407135288998
2023-07-31,0.06195299031173079,0.14110272721201783,-0.07914973690028704
2023-08-31,0.045395648822236845,-0.10624742638411415,0.151643075206351
2023-09-30,0.06882790657261847,-0.08318334393955627,0.15201125051217473
2023-10-31,-0.06843643679900797,-0.09776149464291252,0.029325057843904545
2023-11-30,0.12458587792039562,0.17483675440600335,-0.050250876485607734
2023-12-31,-0.004441016593097842,0.24812370304295991,-0.25256471963605776
2024-01-31,-0.13203234575022435,-0.07434275037209573,-0.05768959537812862
2024-02-29,0.0454833228114355,0.060515704274218346,-0.015032381462782844
2024-03-31,0.10041779981308216,0.06336249398936307,0.03705530582371909
2024-04-30,0.19832708561502735,-0.08917056678257071,0.28749765239759806
2024-05-31,0.28929897669369947,0.04328745357472457,0.2460115231189749
2024-06-30,-0.015735291889818266,-0.026185922254097414,0.010450630364279147
2024-07-31,0.3266733897571514,0.1804361544312546,0.14623723532589677
2024-08-31,-0.010954474916307716,-0.022555611614953716,0.011601136698646
