,MTRN,ENTG,CRS,ATI,ELMT
MTRN,1.0,0.4378524252136844,0.3261377595264338,0.38077773632513473,0.11000390960050539
ENTG,0.4378524252136844,1.0,0.2978764556458038,0.340910166975876,0.18353624221284895
CRS,0.3261377595264338,0.2978764556458038,1.0,0.6588386468341316,0.09966834262685413
ATI,0.38077773632513473,0.340910166975876,0.6588386468341316,1.0,0.0636100871182477
ELMT,0.11000390960050539,0.18353624221284895,0.09966834262685413,0.0636100871182477,1.0
