ticker,factor,beta,beta_boot_lo,beta_boot_hi,contribution,contribution_lo,contribution_hi,panel,frequency,model,basis
MTRN,const,0.006380500808255168,-0.004714765815580662,0.02245378445509897,0.006380500808255168,-0.004714765815580662,0.02245378445509897,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,MKT,0.37293078431467874,-0.4526505963218365,1.5430799469285421,0.004034112688909493,-0.005997678775802129,0.01996960349949068,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,SMB,1.514653786021915,0.9997919940737113,2.0322156265573383,-0.002136019630523819,-0.009601602071623062,0.004868605107505641,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,HML,0.5569430863440472,0.14606551614044688,0.9185479691966484,0.00030609942855759414,-0.004256255064820433,0.004035628619149257,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,MOM,0.6105241464340394,0.02460857389655788,0.9478382358267673,0.0007028238599106816,-0.0027975219001196735,0.004954897674933097,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,SEMIS,0.3243988129730209,-0.2608345761078991,0.5994942019563355,0.008170503108111564,-0.0061695597825613,0.020847348950603424,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,DEFENSE,0.29624957511896033,-0.16419677887733974,0.6870476039936095,0.003549153615508537,-0.0019177025839448429,0.010181390709797735,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,const,0.0006029680052642687,-0.009164907927846785,0.012819131800279424,0.0006029680052642687,-0.009164907927846785,0.012819131800279424,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,MKT,-0.39290161486579245,-1.0949020979122217,0.4930178133721825,-0.004250143610256895,-0.012833663728972487,0.006465088198100988,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,SMB,0.6859374344188094,0.07674846189554654,1.2527918633512451,-0.0009673338149953449,-0.0048507251198276315,0.002381721551750677,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,HML,0.023773090157176317,-0.3761063315589434,0.46523605722045247,1.3065840102133112e-05,-0.0017864637700005315,0.001797647160379917,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,MOM,-0.04174540266012605,-0.5122772856983171,0.44068847758453206,-4.805651865283802e-05,-0.001925385565090872,0.0020398852306134614,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,SEMIS,1.0243787748454647,0.6110708143746566,1.4403416510473623,0.025800618340901454,0.012758897978557811,0.04150973708680284,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,DEFENSE,0.10563490330599287,-0.42957406714255586,0.5384157719511181,0.0012655359888425518,-0.005997595977791499,0.007905855833899418,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,const,0.015484627643652752,-0.002372668200500715,0.03451385666070026,0.015484627643652752,-0.002372668200500715,0.03451385666070026,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,MKT,0.08272720744042583,-0.6249020780962229,1.1573010670852402,0.0008948869100917874,-0.008262072056188122,0.01414045721510933,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,SMB,1.3096376138668202,0.5097055416267665,1.8873264235486955,-0.001846898398768091,-0.007348239007414416,0.005015727449810688,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
