doc,date,rev_lo,rev_hi,eps_growth_lo,eps_growth_hi,margin_lo,margin_hi,fcf_lo
Q2 FY26,2026-06-01,0.08,0.12,0.12,0.16,0.12,0.16,4.5
Q3 FY26,2026-09-02,0.13,0.17,0.16,0.2,0.14,0.15,5.0
