date,open,high,low,close,adj_close,volume
2022-07-29,407.5799865722656,413.0299987792969,406.7699890136719,411.989990234375,389.56585693359375,87003700
2022-08-01,409.1499938964844,413.4100036621094,408.3999938964844,410.7699890136719,388.4122619628906,69997500
2022-08-02,409.1199951171875,413.0,406.82000732421875,408.05999755859375,385.8497619628906,63435400
2022-08-03,410.29998779296875,415.67999267578125,410.0,414.45001220703125,391.89202880859375,67820600
2022-08-04,414.3699951171875,415.0899963378906,412.44000244140625,414.1700134277344,391.6272277832031,45656600
2022-08-05,409.6600036621094,414.1499938964844,409.6000061035156,413.4700012207031,390.96533203125,56814900
2022-08-08,415.25,417.6199951171875,411.8299865722656,412.989990234375,390.51141357421875,53886100
2022-08-09,412.2200012207031,412.75,410.2200012207031,411.3500061035156,388.96075439453125,44931800
2022-08-10,418.7799987792969,420.1400146484375,416.7200012207031,419.989990234375,397.13043212890625,68665700
2022-08-11,422.989990234375,424.95001220703125,419.2099914550781,419.989990234375,397.13043212890625,59489700
2022-08-12,422.0299987792969,427.2099914550781,421.0299987792969,427.1000061035156,403.85345458984375,61694500
2022-08-15,424.7699890136719,429.4100036621094,424.7099914550781,428.8599853515625,405.5177307128906,54048300
2022-08-16,427.7300109863281,431.7300109863281,426.8800048828125,429.70001220703125,406.3119201660156,59289000
2022-08-17,425.9100036621094,429.5,424.5400085449219,426.6499938964844,403.427978515625,63563400
2022-08-18,426.8599853515625,428.6099853515625,425.5,427.8900146484375,404.6004638671875,49023200
2022-08-19,424.9800109863281,425.260009765625,421.2200012207031,422.1400146484375,399.1634826660156,68016900
2022-08-22,417.04998779296875,417.2300109863281,412.3999938964844,413.3500061035156,390.85186767578125,77695600
2022-08-23,412.8999938964844,415.4200134277344,411.7699890136719,412.3500061035156,389.90631103515625,49105200
2022-08-24,412.1099853515625,415.1099853515625,411.3900146484375,413.6700134277344,391.15447998046875,49177800
2022-08-25,415.239990234375,419.55999755859375,414.0899963378906,419.510009765625,396.6766052246094,50942300
2022-08-26,419.3900146484375,419.9599914550781,405.25,405.30999755859375,383.2494812011719,103087000
2022-08-29,402.20001220703125,405.8399963378906,401.20001220703125,402.6300048828125,380.71533203125,65370800
2022-08-30,403.8500061035156,404.1000061035156,396.0,398.2099914550781,376.53594970703125,85652400
2022-08-31,399.92999267578125,401.239990234375,395.0400085449219,395.17999267578125,373.6707763671875,76029700
2022-09-01,392.8900146484375,396.7799987792969,390.0400085449219,396.4200134277344,374.8433532714844,78740100
2022-09-02,400.2799987792969,401.55999755859375,390.3299865722656,392.239990234375,370.89080810546875,99632100
2022-09-06,393.1300048828125,394.1199951171875,388.4200134277344,390.760009765625,369.49139404296875,76637400
2022-09-07,390.42999267578125,398.5899963378906,390.20001220703125,397.7799987792969,376.1293029785156,70964200
2022-09-08,395.3900146484375,400.8599853515625,394.1199951171875,400.3800048828125,378.5877990722656,80821700
2022-09-09,402.739990234375,407.510009765625,402.4599914550781,406.6000061035156,384.4692687988281,76706900
2022-09-12,408.7799987792969,411.7300109863281,408.4599914550781,410.9700012207031,388.60137939453125,69256300
2022-09-13,401.8299865722656,403.1000061035156,391.9200134277344,393.1000061035156,371.7040100097656,122947100
2022-09-14,394.4700012207031,396.20001220703125,391.1199951171875,394.6000061035156,373.1224060058594,85023700
2022-09-15,392.9599914550781,395.9599914550781,388.7799987792969,390.1199951171875,368.8861999511719,87633800
2022-09-16,384.1400146484375,386.25,382.1099853515625,385.55999755859375,366.0719909667969,103084800
2022-09-19,382.260009765625,388.54998779296875,382.17999267578125,388.54998779296875,368.9108581542969,73278500
2022-09-20,385.05999755859375,386.1199951171875,381.20001220703125,384.0899963378906,364.67633056640625,77274900
2022-09-21,386.1099853515625,389.30999755859375,377.3800048828125,377.3900146484375,358.31500244140625,106746600
2022-09-22,376.5799865722656,378.29998779296875,373.44000244140625,374.2200012207031,355.3052978515625,89472600
2022-09-23,370.5799865722656,370.6199951171875,363.2900085449219,367.95001220703125,349.3521423339844,122346900
2022-09-26,366.4100036621094,370.2099914550781,363.0299987792969,364.30999755859375,345.8961486816406,92581200
2022-09-27,368.0199890136719,370.3999938964844,360.8699951171875,363.3800048828125,345.01312255859375,108294100
2022-09-28,364.3800048828125,372.29998779296875,362.6000061035156,370.5299987792969,351.8017578125,110802200
2022-09-29,366.80999755859375,367.1099853515625,359.70001220703125,362.7900085449219,344.45294189453125,112952300
2022-09-30,361.79998779296875,365.9100036621094,357.0400085449219,357.17999267578125,339.1264953613281,153711200
2022-10-03,361.0799865722656,368.54998779296875,359.2099914550781,366.6099853515625,348.07989501953125,89756500
2022-10-04,372.3999938964844,378.0,366.57000732421875,377.9700012207031,358.8656921386719,103602800
2022-10-05,373.3900146484375,379.4599914550781,370.95001220703125,377.0899963378906,358.0301208496094,88065700
2022-10-06,375.6199951171875,378.7200012207031,372.67999267578125,373.20001220703125,354.33685302734375,82333500
2022-10-07,368.9700012207031,373.2900085449219,360.94000244140625,362.7900085449219,344.45294189453125,107789500
2022-10-10,363.9599914550781,364.2099914550781,357.6700134277344,360.0199890136719,341.8229675292969,76042800
2022-10-11,358.239990234375,363.0299987792969,355.7099914550781,357.739990234375,339.658203125,92482800
