ticker,earnings_change_scaled_within_ss_share,operating_margin_change_within_ss_share
ATI,0.9701955760750147,0.919685066719168
CRS,0.024514991836832593,0.0446533658237414
ENTG,0.0016009614841503764,0.027736403853813478
MTRN,0.0036884706040022533,0.007925163603277033
