model,lag,acf
historical_mean,1,-0.12026505913364416
historical_mean,2,0.04761967013668711
historical_mean,3,-0.11410338753389483
historical_mean,4,0.15047505713612194
historical_mean,5,0.041237990970999734
historical_mean,6,-0.046569063751449265
ridge_full,1,-0.11964947537255777
ridge_full,2,0.035583900298346106
ridge_full,3,-0.10404188980726509
ridge_full,4,0.16107200331151927
ridge_full,5,0.042299443731631206
ridge_full,6,-0.04704846642692149
arimax,1,-0.002766584512170188
arimax,2,0.0759783802071021
arimax,3,-0.0729353804151353
arimax,4,0.127130062642232
arimax,5,0.040030831465230794
arimax,6,-0.0724935994070182
