ticker,model,horizon,origins,target_period,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts
ATI,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1450964958342841,0.1087633974629877,-0.0307372283357163,-0.0224144336457552,-0.166663028994881,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2196618993237135,0.1733142251391475,0.0,-0.0685165958647247,0.0368297336890162,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
ATI,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1396301638911963,0.1087990212112147,0.045463346573313,9.189612664053535e-05,0.1329090401854888,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.1921426045824395,0.1509426441512753,0.2348653356926122,0.0045664819962074,0.3923914778629137,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
ATI,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1431067375175744,0.1083073300845553,-0.0026613538940591,-0.0445072319990445,0.2653306824909337,0,2023-05-31,2026-06-30,0.6578947368421053,0.6842105263157895,0.6842105263157895,0
ATI,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2296491026596091,0.1793958925808469,-0.0929996847034089,-0.078150664679991,-0.1572463779307318,0,2023-07-31,2026-08-31,0.6842105263157895,0.7105263157894737,0.7105263157894737,0
ATI,historical_mean,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1429166879388665,0.1079367113244845,0.0,-0.024102748628191,-0.1075553110436864,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,historical_mean,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2196618993237135,0.1733142251391475,0.0,-0.0685165958647247,0.0368297336890162,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
ATI,ridge_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1422141513007743,0.1088307873570188,0.0098072508659496,-0.0232732007855742,0.068208824180038,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,ridge_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2196618993237135,0.1733142251391475,0.0,-0.0685165958647247,0.0368297336890162,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
CRS,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1409748953084666,0.1113542516830498,0.0035410833670337,-0.050348225431932,0.0950056550425918,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2493052964795936,0.19101696387404,0.0405329737037607,-0.1274100644529685,-0.0072242712815835,0,2023-07-31,2026-08-31,0.868421052631579,0.9210526315789472,0.9210526315789472,0
CRS,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1414977924384801,0.1200653063659261,-0.0038646582679342,-0.0126048514061002,-0.0437934738359223,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.232872314281378,0.1796734628607261,0.1628510012419669,-0.0329413725235411,-0.0103253077370022,0,2023-07-31,2026-08-31,0.868421052631579,0.9210526315789472,0.9210526315789472,0
CRS,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1418067489947512,0.1125374910904855,-0.0082532662464345,-0.0527016159172111,0.1271229028871615,0,2023-05-31,2026-06-30,0.5789473684210527,0.6578947368421053,0.6578947368421053,0
CRS,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2477361545930298,0.1961398324267859,0.0525728456482031,-0.0863240395544142,-0.1451188416274175,0,2023-07-31,2026-08-31,0.9210526315789472,0.9210526315789472,0.9210526315789472,0
CRS,historical_mean,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1412251620950895,0.1128043184240756,0.0,-0.0492769556535481,-0.0010234477981998,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,historical_mean,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2545168139794539,0.1908100983814835,0.0,-0.1448215188225342,-0.1076651118647566,0,2023-07-31,2026-08-31,0.9210526315789472,0.9210526315789472,0.9210526315789472,0
CRS,ridge_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1423098713796147,0.1156433006292421,-0.0154204100205925,-0.0318566026211492,-0.0795949564794083,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,ridge_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2569191142702502,0.1920203517985191,-0.0189664290798809,-0.1463505088507953,-0.1939213140809626,0,2023-07-31,2026-08-31,0.9210526315789472,0.9210526315789472,0.9210526315789472,0
ENTG,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1369393832932293,0.1063569005059079,0.0,-0.006652673592967,-0.1947499708472508,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2457016667133971,0.2125566210243091,-0.1273414798994814,0.0142688026123191,-0.3423427273574927,0,2023-07-31,2026-08-31,0.3421052631578947,0.4210526315789473,0.4210526315789473,0
ENTG,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1477034272857497,0.1192529785999989,-0.1633875451523563,-0.0198958273601396,-0.0920376227816223,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2535675258748348,0.2138793453297463,-0.2006779862102337,0.011038536812158,-0.117922570863703,0,2023-07-31,2026-08-31,0.3421052631578947,0.4210526315789473,0.4210526315789473,0
ENTG,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1369393832932293,0.1063569005059079,0.0,-0.006652673592967,-0.1947499708472508,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
