driver,low_case,high_case,range
NWC intensity ±3pp of Δrevenue,38.361559092494545,39.23192217159808,0.8703630791035337
Terminal growth ±0.5pp,38.21386523673539,39.46291419905488,1.2490489623194918
Long-term non-GAAP margin ±1.5pp,32.722976382224594,44.6001969730125,11.877220590787907
Revenue growth ±2pp p.a.,32.84369685942244,45.70259984460089,12.858902985178453
WACC ±1.0pp,32.984738711625354,46.66014898193469,13.675410270309335
