,2.00%,2.25%,2.50%,2.75%,3.00%,3.25%
8.30%,45.04215159680009,45.540492158924394,46.0780578621176,46.66014898193469,47.29306576310688,47.984355915152875
8.80%,41.23594133794404,41.60015859756127,41.99000090311146,42.40864468272804,42.859813983124575,43.3479037973592
9.30%,37.94831590547106,38.21386523673539,38.49603900109804,38.796740632046316,39.118175674318366,39.46291419905488
9.80%,35.079597451685444,35.271681157171805,35.47434126545396,35.68870285571789,35.91605644929193,36.15788958045898
10.30%,32.55412796882846,32.69098367752474,32.83430646263606,32.984738711625354,33.1430108049474,33.30995671667167
