,10.5% LT margin,11.5% LT margin,12.5% LT margin,13.5% LT margin,14.5% LT margin
-2% p.a. growth,25.949690461553732,29.332785728513866,32.715880995474,36.098976262434114,39.48207152939425
-1% p.a. growth,28.25777778729334,31.917868238011163,35.57795868872899,39.238049139446815,42.89813959016465
+0% p.a. growth,30.74343961709327,34.70251314735591,38.66158667761855,42.62066020788118,46.579733738143815
+1% p.a. growth,33.41975154008054,37.70141633304722,41.98308112601387,46.26474591898055,50.546410711947225
+2% p.a. growth,36.30065023905766,40.93024132590602,45.55983241275437,50.18942349960273,54.819014586451075
