ticker,date,model,parameter,validation_mse
MTRN,2025-12-31,variance_ridge_persistence,1.0,0.17618261886618633
MTRN,2025-12-31,variance_ridge_persistence,10.0,0.17590838834386
MTRN,2025-12-31,variance_ridge_persistence,100.0,0.1730341150664191
MTRN,2025-12-31,variance_ridge_market,0.01,0.17192836318302898
MTRN,2025-12-31,variance_ridge_market,0.1,0.17190639168472308
MTRN,2025-12-31,variance_ridge_market,1.0,0.17169728038999246
MTRN,2025-12-31,variance_ridge_market,10.0,0.1701817550759572
MTRN,2025-12-31,variance_ridge_market,100.0,0.16531910612377787
MTRN,2025-12-31,variance_ridge_external,0.01,0.1854703907969216
MTRN,2025-12-31,variance_ridge_external,0.1,0.18548528956804014
MTRN,2025-12-31,variance_ridge_external,1.0,0.1855701527807783
MTRN,2025-12-31,variance_ridge_external,10.0,0.18414310695721067
MTRN,2025-12-31,variance_ridge_external,100.0,0.17563960597265962
ENTG,2022-12-31,variance_ridge,0.01,6386.362292158089
ENTG,2022-12-31,variance_ridge,0.1,112.16826132331836
ENTG,2022-12-31,variance_ridge,1.0,3.5842561740011565
ENTG,2022-12-31,variance_ridge,10.0,0.7883381911070179
ENTG,2022-12-31,variance_ridge,100.0,0.4060840522758727
ENTG,2022-12-31,variance_forest,0.0,0.29873462077144275
ENTG,2022-12-31,variance_forest,1.0,0.2987563488154379
ENTG,2022-12-31,variance_boost,0.0,0.4281399701460991
ENTG,2022-12-31,variance_boost,1.0,0.4819870173819149
ENTG,2022-12-31,variance_ridge_persistence,0.01,0.2776594350987411
ENTG,2022-12-31,variance_ridge_persistence,0.1,0.2777081703880292
ENTG,2022-12-31,variance_ridge_persistence,1.0,0.2781744988079734
ENTG,2022-12-31,variance_ridge_persistence,10.0,0.2821535704522729
ENTG,2022-12-31,variance_ridge_persistence,100.0,0.3275088150857854
ENTG,2022-12-31,variance_ridge_market,0.01,0.4301546834590115
ENTG,2022-12-31,variance_ridge_market,0.1,0.42726998106050834
ENTG,2022-12-31,variance_ridge_market,1.0,0.4031914714084029
ENTG,2022-12-31,variance_ridge_market,10.0,0.3223416425111896
ENTG,2022-12-31,variance_ridge_market,100.0,0.31459983666704944
ENTG,2022-12-31,variance_ridge_external,0.01,0.37671091684776575
ENTG,2022-12-31,variance_ridge_external,0.1,0.3747010352245914
ENTG,2022-12-31,variance_ridge_external,1.0,0.35768743549822
ENTG,2022-12-31,variance_ridge_external,10.0,0.2919405039003995
ENTG,2022-12-31,variance_ridge_external,100.0,0.2766946451673102
ENTG,2023-12-31,variance_ridge,0.01,9323.793004213196
ENTG,2023-12-31,variance_ridge,0.1,113.54663323980937
ENTG,2023-12-31,variance_ridge,1.0,3.6550452282549535
ENTG,2023-12-31,variance_ridge,10.0,0.8020817747285608
ENTG,2023-12-31,variance_ridge,100.0,0.3800192039734236
ENTG,2023-12-31,variance_forest,0.0,0.3143288583601629
ENTG,2023-12-31,variance_forest,1.0,0.3381069283032008
ENTG,2023-12-31,variance_boost,0.0,0.43648198939126487
ENTG,2023-12-31,variance_boost,1.0,0.3922358518742992
ENTG,2023-12-31,variance_ridge_persistence,0.01,0.3164329723998632
ENTG,2023-12-31,variance_ridge_persistence,0.1,0.31638059435972327
ENTG,2023-12-31,variance_ridge_persistence,1.0,0.31593445552062954
ENTG,2023-12-31,variance_ridge_persistence,10.0,0.31570059064957706
ENTG,2023-12-31,variance_ridge_persistence,100.0,0.3523223174266161
ENTG,2023-12-31,variance_ridge_market,0.01,0.5544242690475151
ENTG,2023-12-31,variance_ridge_market,0.1,0.5504111449348144
ENTG,2023-12-31,variance_ridge_market,1.0,0.5164055226178507
ENTG,2023-12-31,variance_ridge_market,10.0,0.3900755496201109
ENTG,2023-12-31,variance_ridge_market,100.0,0.3392274387255711
ENTG,2023-12-31,variance_ridge_external,0.01,0.6007777064652751
ENTG,2023-12-31,variance_ridge_external,0.1,0.5956704608377139
ENTG,2023-12-31,variance_ridge_external,1.0,0.5527187165408386
ENTG,2023-12-31,variance_ridge_external,10.0,0.3939504973692163
ENTG,2023-12-31,variance_ridge_external,100.0,0.31142738126905684
ENTG,2024-12-31,variance_ridge,0.01,2946.120508037831
ENTG,2024-12-31,variance_ridge,0.1,3.6244819018778194
ENTG,2024-12-31,variance_ridge,1.0,0.4881921794128073
ENTG,2024-12-31,variance_ridge,10.0,0.16973912028930305
ENTG,2024-12-31,variance_ridge,100.0,0.0897796201917694
ENTG,2024-12-31,variance_forest,0.0,0.11432259894497991
ENTG,2024-12-31,variance_forest,1.0,0.12473738729510164
ENTG,2024-12-31,variance_boost,0.0,0.15495810473380012
ENTG,2024-12-31,variance_boost,1.0,0.10417192894158994
ENTG,2024-12-31,variance_ridge_persistence,0.01,0.1308984653863667
