ticker,date,model,variable,effect,effect_type,center,scale,impute,clip_lo,clip_hi
ATI,2022-12-31,core_ols,revenue_growth,0.0014006228274962426,coefficient per training SD in target units,-0.002803139663074426,0.2291788160442715,0.0702327885091629,-0.4129773240404437,0.5571243102888672
ATI,2022-12-31,core_ols,operating_margin,0.16861892552168203,coefficient per training SD in target units,-0.07126454985088528,0.17566394333849544,0.0043971506463811,-0.4925526828730094,0.0911813807325935
ATI,2022-12-31,core_ols,earnings_yield,-0.19120358626276937,coefficient per training SD in target units,-0.14417117765132642,0.23274022022662816,-0.032808011351334654,-0.6149907900988055,0.2457465607393027
ATI,2022-12-31,core_ols,market_return,-0.00798603777763789,coefficient per training SD in target units,0.010742675500456881,0.04480875402304458,0.0178144970166732,-0.09795811668531251,0.11187195306985491
ATI,2022-12-31,core_ols,industry_relative,-0.0005978939764938359,coefficient per training SD in target units,0.0002437561090180077,0.04056199961850814,-0.00031011280430914996,-0.11560306417091251,0.11847871796401448
ATI,2022-12-31,core_ols,driver_return,0.003897896151600104,coefficient per training SD in target units,0.025083360631448892,0.14924054661337816,0.01559398389765395,-0.27023513135810556,0.4535718749621227
ATI,2022-12-31,ridge_full,market_return,0.0011416228988453043,coefficient per training SD in target units,0.010742675500456881,0.04480875402304458,0.0178144970166732,-0.09795811668531251,0.11187195306985491
ATI,2022-12-31,ridge_full,market_vol,0.0018313558313025153,coefficient per training SD in target units,0.009412065913870062,0.005422578276526845,0.007853493467209951,0.00311201699798934,0.03072600925176676
ATI,2022-12-31,ridge_full,smallcap_return,0.0022458697380066707,coefficient per training SD in target units,0.00887244421003113,0.056327569783477555,0.015220387364610899,-0.13587982956162895,0.14595050218980538
ATI,2022-12-31,ridge_full,yield_10y,0.00309024031739909,coefficient per training SD in target units,0.02048641894062355,0.007634760867354474,0.0203300011157989,0.006123799800872759,0.03792539961338037
ATI,2022-12-31,ridge_full,yield_short,0.0029910901775147573,coefficient per training SD in target units,0.010427809533243954,0.009937704174260851,0.0078500002622604,7.490000296384073e-05,0.040181099867820654
ATI,2022-12-31,ridge_full,yield_10y_change,-0.0005752149160292258,coefficient per training SD in target units,0.0001765666396135293,0.002206576885494714,0.00014499902725215,-0.005592800647020293,0.005274399113655002
ATI,2022-12-31,ridge_full,term_spread,-0.0009891694040794691,coefficient per training SD in target units,0.01005337253856867,0.0063248496104921755,0.0116599994897842,-0.00437769999504086,0.0208309990525245
ATI,2022-12-31,ridge_full,vix,0.0017728795886570753,coefficient per training SD in target units,0.19030824976535066,0.07209943667167527,0.17034999847412105,0.10072900285720815,0.42206400184631376
ATI,2022-12-31,ridge_full,real_yield,0.004336036406405844,coefficient per training SD in target units,0.0010676547619047595,0.00688543570135378,0.0024000000000000002,-0.010919,0.015202000000000002
ATI,2022-12-31,ridge_full,real_yield_change,0.000468482135320768,coefficient per training SD in target units,8.401190476191196e-05,0.0019387531737964615,-0.0002,-0.003989,0.006946000000000006
ATI,2022-12-31,ridge_full,eurusd_return,-0.006613471221316008,coefficient per training SD in target units,-9.454481178536179e-05,0.01837770408463778,-0.0024587656129632,-0.04033612522105566,0.041964546056866184
ATI,2022-12-31,ridge_full,dollar_return,0.005507123497888044,coefficient per training SD in target units,0.0008043144838331013,0.01749687660233485,0.002351639522654,-0.03844256085823946,0.03932731832233398
ATI,2022-12-31,ridge_full,revenue_growth,0.0015795559472327708,coefficient per training SD in target units,-0.002803139663074426,0.2291788160442715,0.0702327885091629,-0.4129773240404437,0.5571243102888672
ATI,2022-12-31,ridge_full,eps_change_price,-0.004329866719041231,coefficient per training SD in target units,-0.012982490635350563,0.11471213107719266,0.0055224036459214,-0.44849558949085067,0.17838298962725302
ATI,2022-12-31,ridge_full,loss_transition,0.007909899417678374,coefficient per training SD in target units,0.6785714285714286,0.46702488680792936,1.0,0.0,1.0
ATI,2022-12-31,ridge_full,gross_margin,0.0010025059735761764,coefficient per training SD in target units,0.12723958466793675,0.026224283385416398,0.129954373041614,0.0518407452306514,0.1715825587807312
ATI,2022-12-31,ridge_full,operating_margin,0.0031620271925274766,coefficient per training SD in target units,-0.07126454985088528,0.17566394333849544,0.0043971506463811,-0.4925526828730094,0.0911813807325935
ATI,2022-12-31,ridge_full,net_margin,0.0017306800220558466,coefficient per training SD in target units,-0.10784647649628394,0.1803523458435567,-0.0260701824061728,-0.5890184252142253,0.0647402533634488
ATI,2022-12-31,ridge_full,ebitda_margin,0.0033588714728101186,coefficient per training SD in target units,-0.02470294870775644,0.1705243730883376,0.051534605575587,-0.4402927439226214,0.1281322591805466
ATI,2022-12-31,ridge_full,roa,0.0005180178314900002,coefficient per training SD in target units,-0.059098884766097246,0.10318284987978026,-0.0177491936574154,-0.3245105605002931,0.0466804152910666
ATI,2022-12-31,ridge_full,roe,0.0019960201376045326,coefficient per training SD in target units,-0.21484877253162601,0.3922944806762691,-0.061353475431404896,-1.2460419341035514,0.1311287916459473
ATI,2022-12-31,ridge_full,cfo_assets,-0.005803742532559709,coefficient per training SD in target units,0.019429190322867673,0.029351986766732365,0.021324571911208998,-0.0313968036637473,0.0713948162419571
ATI,2022-12-31,ridge_full,fcf_equipment_assets,-0.0035992572376124976,coefficient per training SD in target units,-0.010594248276630705,0.03169014880873244,-0.00618552271989795,-0.0673260782323363,0.0460940055981678
ATI,2022-12-31,ridge_full,capex_assets,-0.00983410273580703,coefficient per training SD in target units,0.03002343859949836,0.005723997202857013,0.0305564178177867,0.0216063287261456,0.0423511738535908
ATI,2022-12-31,ridge_full,cash_assets,0.002670510880852204,coefficient per training SD in target units,0.07070719790383587,0.049518956259951376,0.0528318368995005,0.0205420560747663,0.2176159083540473
ATI,2022-12-31,ridge_full,debt_assets,0.0015491256994517222,coefficient per training SD in target units,0.3208858395979798,0.053962673786154894,0.3019411915717135,0.2393621601143427,0.4031706089582285
ATI,2022-12-31,ridge_full,debt_equity,-0.004420843794245227,coefficient per training SD in target units,1.3943017967288343,0.8916909332906847,0.8819288227490338,0.6241842291225007,3.3873150105708247
ATI,2022-12-31,ridge_full,current_ratio,-0.00042018298754357443,coefficient per training SD in target units,2.8316565270407894,0.3801776367768105,2.8471035137701803,2.172921443224327,3.701082135887884
ATI,2022-12-31,ridge_full,quick_ratio,0.0011703225551286135,coefficient per training SD in target units,1.275852412424666,0.27358894202371875,1.2502279981760145,0.7655363822855075,1.8634025190704275
ATI,2022-12-31,ridge_full,earnings_age_days,0.00027643199251451117,coefficient per training SD in target units,90.94452380952382,27.28297416952828,91.0,30.0,149.34
ATI,2022-12-31,ridge_full,earnings_yield,-0.006097787751746461,coefficient per training SD in target units,-0.14417117765132642,0.23274022022662816,-0.032808011351334654,-0.6149907900988055,0.2457465607393027
ATI,2022-12-31,ridge_full,book_yield,0.006150525607505546,coefficient per training SD in target units,0.7570470548587871,0.5147774465368875,0.6225244728329051,0.16181764912905053,2.2313028904451557
ATI,2022-12-31,ridge_full,sales_yield,0.005014354514996992,coefficient per training SD in target units,1.6383679559486537,0.8051441181628692,1.400346008578827,0.8167480140461618,4.003987139563979
ATI,2022-12-31,ridge_full,fcf_equipment_yield,-0.0055952056708936364,coefficient per training SD in target units,-0.019219896909002505,0.07422814068043428,-0.012019331460409,-0.16456266599463432,0.12505846206200213
ATI,2022-12-31,ridge_full,dividend_yield,0.0019939569173386884,coefficient per training SD in target units,0.006725977034838013,0.014288591281300592,0.0,0.0,0.06496585917615284
ATI,2022-12-31,ridge_full,earnings_yield_relative,-0.006397585181690752,coefficient per training SD in target units,-0.07923810150296028,0.23042877285444102,0.01539739625770175,-0.5864885574842764,0.27742411363799085
ATI,2022-12-31,ridge_full,earnings_yield_percentile,-0.01014664179170669,coefficient per training SD in target units,0.5458575020428756,0.32057936400608344,0.5793706293706293,0.0,1.0
ATI,2022-12-31,ridge_full,fcf_equipment_yield_relative,-0.0038113604938246433,coefficient per training SD in target units,0.011430317219595318,0.07013338687820594,0.02285854012644605,-0.15332486565723655,0.13143787748042626
ATI,2022-12-31,ridge_full,peer_earnings_yield_gap,-0.0051812516915254025,coefficient per training SD in target units,-0.17571483191090703,0.2282400913848531,-0.05988888977494315,-0.6354520600569874,0.2190959478421899
ATI,2022-12-31,ridge_full,momentum_1,0.001245002438563936,coefficient per training SD in target units,0.026101510320845307,0.15448782040490527,0.02170513420953475,-0.28892851217899146,0.4356000582050879
ATI,2022-12-31,ridge_full,momentum_3,-0.00500074166141249,coefficient per training SD in target units,0.06780067053447206,0.2947864959372983,0.030144336337403398,-0.568707347085548,0.8598696826757493
ATI,2022-12-31,ridge_full,momentum_6,0.0035196908944710196,coefficient per training SD in target units,0.11430950217910947,0.4301432454073065,0.0634950174213018,-0.6268139043279564,1.433901786850241
ATI,2022-12-31,ridge_full,momentum_12,-0.011192161415054386,coefficient per training SD in target units,0.1556538506683106,0.5744570269690137,0.10970672007606215,-0.6728587844131872,1.8683102330216708
ATI,2022-12-31,ridge_full,relative_momentum,-0.0013592923721040108,coefficient per training SD in target units,0.038365731644156645,0.28224540329841585,0.0022169333194114,-0.48174578033334964,0.8094245414601814
ATI,2022-12-31,ridge_full,industry_momentum_relative,-0.004746770110215752,coefficient per training SD in target units,0.03923327061332802,0.2455013096121449,-0.00204772518535915,-0.29198004383720916,0.675273613805404
ATI,2022-12-31,ridge_full,vol_21,-0.0031499739702679852,coefficient per training SD in target units,0.03285655841448161,0.01441056460696551,0.027582028355631,0.016019654211231908,0.08539379004859081
ATI,2022-12-31,ridge_full,vol_63,-0.0026575231695486565,coefficient per training SD in target units,0.03421557625998967,0.014256947441414675,0.028532846748861,0.019921409472601154,0.08897916931431075
ATI,2022-12-31,ridge_full,vol_252,0.006764538294697868,coefficient per training SD in target units,0.035600386582238415,0.011086333199009993,0.03334373322639325,0.022121873919811474,0.05812178012396514
ATI,2022-12-31,ridge_full,beta_252,0.002220365694428006,coefficient per training SD in target units,1.8117343485256459,0.6365429357943013,1.6243236542367303,0.9006517380079045,3.2831541721161877
ATI,2022-12-31,ridge_full,idio_vol,0.004546445936576948,coefficient per training SD in target units,0.030581835409134717,0.009128454952217388,0.0298870274521918,0.01733252851461388,0.04661993756060975
ATI,2022-12-31,ridge_full,downside_deviation,0.003977529123505694,coefficient per training SD in target units,0.02204883230061543,0.01034366915872888,0.01880249752245295,0.01100497169867637,0.06537285147313326
ATI,2022-12-31,ridge_full,drawdown_252,-0.005123915921604893,coefficient per training SD in target units,-0.44290756770367823,0.1950773505157182,-0.3651781023053612,-0.79830832442392,-0.2338835154782731
ATI,2022-12-31,ridge_full,log_dollar_volume,-0.007237421267933193,coefficient per training SD in target units,17.405276865779932,0.29908337279413205,17.40207276340732,16.8404497745271,18.09295919248738
ATI,2022-12-31,ridge_full,turnover,-0.0011888965479469348,coefficient per training SD in target units,0.01699883975923348,0.006718456759025148,0.0147692379906321,0.008075347957559757,0.03495599764126546
ATI,2022-12-31,ridge_full,amihud,0.013110098525446864,coefficient per training SD in target units,0.0007634739983133449,0.0004747596343807317,0.00065955509668535,0.000280050805432459,0.002580040695918222
ATI,2022-12-31,ridge_full,industry_vol,-0.0005624906057421408,coefficient per training SD in target units,0.012393129762640696,0.006492408147655246,0.01091249065845225,0.005289980286858463,0.04069095298204584
