ticker,date,model,variable,effect,effect_type,center,scale,impute,clip_lo,clip_hi
ENTG,2022-12-31,core_ols,revenue_growth,0.004876745797961535,coefficient per training SD in target units,0.13937522006014888,0.08952980384882772,0.15667276309133799,-0.012299719327946747,0.34912480803653423
ENTG,2022-12-31,core_ols,operating_margin,-0.022151656826732067,coefficient per training SD in target units,0.17695930759213163,0.04237817644358257,0.17457385854047985,0.10933854129652112,0.2468026579682595
ENTG,2022-12-31,core_ols,earnings_yield,0.0069663272802957185,coefficient per training SD in target units,0.031871655958794445,0.008823661879502637,0.03243430324937465,0.018011760964421645,0.0500762585196806
ENTG,2022-12-31,core_ols,market_return,-0.011850776834176867,coefficient per training SD in target units,0.010742675500456881,0.04480875402304458,0.0178144970166732,-0.09795811668531251,0.11187195306985491
ENTG,2022-12-31,core_ols,industry_relative,-0.02231499272271685,coefficient per training SD in target units,0.010423959741404074,0.044803712300377226,0.01703457665912195,-0.09690262093142744,0.1247660580080845
ENTG,2022-12-31,core_ols,driver_return,-0.006861923576746315,coefficient per training SD in target units,0.025083360631448892,0.14924054661337816,0.01559398389765395,-0.27023513135810556,0.4535718749621227
ENTG,2022-12-31,ridge_full,market_return,-0.003048701125603517,coefficient per training SD in target units,0.010742675500456881,0.04480875402304458,0.0178144970166732,-0.09795811668531251,0.11187195306985491
ENTG,2022-12-31,ridge_full,market_vol,0.0031747575671232354,coefficient per training SD in target units,0.009412065913870062,0.005422578276526845,0.007853493467209951,0.00311201699798934,0.03072600925176676
ENTG,2022-12-31,ridge_full,smallcap_return,0.0007076197504597912,coefficient per training SD in target units,0.00887244421003113,0.056327569783477555,0.015220387364610899,-0.13587982956162895,0.14595050218980538
ENTG,2022-12-31,ridge_full,yield_10y,-0.008072278245714395,coefficient per training SD in target units,0.02048641894062355,0.007634760867354474,0.0203300011157989,0.006123799800872759,0.03792539961338037
ENTG,2022-12-31,ridge_full,yield_short,-0.005662842297510057,coefficient per training SD in target units,0.010427809533243954,0.009937704174260851,0.0078500002622604,7.490000296384073e-05,0.040181099867820654
ENTG,2022-12-31,ridge_full,yield_10y_change,-0.0007500692734404872,coefficient per training SD in target units,0.0001765666396135293,0.002206576885494714,0.00014499902725215,-0.005592800647020293,0.005274399113655002
ENTG,2022-12-31,ridge_full,term_spread,-0.0006493478848110793,coefficient per training SD in target units,0.01005337253856867,0.0063248496104921755,0.0116599994897842,-0.00437769999504086,0.0208309990525245
ENTG,2022-12-31,ridge_full,vix,0.0036640632098025603,coefficient per training SD in target units,0.19030824976535066,0.07209943667167527,0.17034999847412105,0.10072900285720815,0.42206400184631376
ENTG,2022-12-31,ridge_full,real_yield,-0.0035366164802196304,coefficient per training SD in target units,0.0010676547619047595,0.00688543570135378,0.0024000000000000002,-0.010919,0.015202000000000002
ENTG,2022-12-31,ridge_full,real_yield_change,0.001579843429030044,coefficient per training SD in target units,8.401190476191196e-05,0.0019387531737964615,-0.0002,-0.003989,0.006946000000000006
ENTG,2022-12-31,ridge_full,eurusd_return,-0.0044069993437983995,coefficient per training SD in target units,-9.454481178536179e-05,0.01837770408463778,-0.0024587656129632,-0.04033612522105566,0.041964546056866184
ENTG,2022-12-31,ridge_full,dollar_return,0.0006249858063482566,coefficient per training SD in target units,0.0008043144838331013,0.01749687660233485,0.002351639522654,-0.03844256085823946,0.03932731832233398
ENTG,2022-12-31,ridge_full,revenue_growth,0.0005365072988700287,coefficient per training SD in target units,0.13937522006014888,0.08952980384882772,0.15667276309133799,-0.012299719327946747,0.34912480803653423
ENTG,2022-12-31,ridge_full,eps_growth,-0.0014269649804391476,coefficient per training SD in target units,0.37862753374846153,0.4323484740492772,0.3674603174603174,-0.4505494505494506,1.3947368421052633
ENTG,2022-12-31,ridge_full,eps_change_price,-0.00018058982718619794,coefficient per training SD in target units,0.002316164809893021,0.005599715513811193,0.0020306549520153,-0.012491331095718653,0.021612043756902143
ENTG,2022-12-31,ridge_full,loss_transition,-0.0019036702961505265,coefficient per training SD in target units,0.09523809523809523,0.29354352395090366,0.0,0.0,1.0
ENTG,2022-12-31,ridge_full,ebitda_growth,-0.0011805844117678908,coefficient per training SD in target units,0.29558005327736886,0.29035024247421065,0.2732618395165824,-0.1128163796410035,1.395066553753284
ENTG,2022-12-31,ridge_full,gross_margin,-0.0022404675084352205,coefficient per training SD in target units,0.4506855416126935,0.012572071251755213,0.45299122579104567,0.4289067834439294,0.4693624255293891
ENTG,2022-12-31,ridge_full,operating_margin,-0.0017962748340016107,coefficient per training SD in target units,0.17695930759213163,0.04237817644358257,0.17457385854047985,0.10933854129652112,0.2468026579682595
ENTG,2022-12-31,ridge_full,net_margin,-0.0013031728591698865,coefficient per training SD in target units,0.12779699560537688,0.042961915104007035,0.13611019240601013,0.0633623630572679,0.1848158328526354
