ticker,order,origins
ATI,"[0, 0]",24
ATI,"[0, 1]",12
ATI,"[1, 1]",8
CRS,"[0, 0]",32
CRS,"[1, 0]",12
ENTG,"[0, 0]",36
ENTG,"[1, 1]",8
MTRN,"[0, 0]",12
MTRN,"[0, 1]",12
MTRN,"[1, 1]",8
MTRN,"[2, 0]",12
