ticker,date,model,parameter,validation_mse,order
CRS,2022-12-31,core_ols,0,0.03885560112237658,
CRS,2022-12-31,core_ridge,0.01,0.038815160928270934,
CRS,2022-12-31,core_ridge,0.1,0.038470114337828105,
CRS,2022-12-31,core_ridge,1.0,0.03620591439286045,
CRS,2022-12-31,core_ridge,10.0,0.031029953345734305,
CRS,2022-12-31,core_ridge,100.0,0.02369736379086838,
CRS,2022-12-31,arx,0,0.04228592934516773,
CRS,2022-12-31,ridge_full,0.01,3.625964829551228,
CRS,2022-12-31,ridge_full,0.1,0.6468670545275516,
CRS,2022-12-31,ridge_full,1.0,0.06254728357542469,
CRS,2022-12-31,ridge_full,10.0,0.042132727796491375,
CRS,2022-12-31,ridge_full,100.0,0.03119701224585586,
CRS,2022-12-31,lasso_full,0.01,0.053945949109492686,
CRS,2022-12-31,lasso_full,0.1,0.03283924551007817,
CRS,2022-12-31,lasso_full,1.0,0.021265457489691497,
CRS,2022-12-31,lasso_full,10.0,0.021265457489691497,
CRS,2022-12-31,lasso_full,100.0,0.021265457489691497,
CRS,2022-12-31,elastic_full,"(0.01, 0.2)",0.05820671841064046,
CRS,2022-12-31,elastic_full,"(0.01, 0.5)",0.041759809781353775,
CRS,2022-12-31,elastic_full,"(0.01, 0.8)",0.04223927881647127,
CRS,2022-12-31,elastic_full,"(0.1, 0.2)",0.041316411734513864,
CRS,2022-12-31,elastic_full,"(0.1, 0.5)",0.04401795470828929,
CRS,2022-12-31,elastic_full,"(0.1, 0.8)",0.03585257297988492,
CRS,2022-12-31,elastic_full,"(1.0, 0.2)",0.023488193334725616,
CRS,2022-12-31,elastic_full,"(1.0, 0.5)",0.021265457489691497,
CRS,2022-12-31,elastic_full,"(1.0, 0.8)",0.021265457489691497,
CRS,2022-12-31,elastic_full,"(10.0, 0.2)",0.021265457489691497,
CRS,2022-12-31,elastic_full,"(10.0, 0.5)",0.021265457489691497,
CRS,2022-12-31,elastic_full,"(10.0, 0.8)",0.021265457489691497,
CRS,2022-12-31,elastic_full,"(100.0, 0.2)",0.021265457489691497,
CRS,2022-12-31,elastic_full,"(100.0, 0.5)",0.021265457489691497,
CRS,2022-12-31,elastic_full,"(100.0, 0.8)",0.021265457489691497,
CRS,2022-12-31,forest_full,0,0.020562761726636878,
CRS,2022-12-31,forest_full,1,0.019806857216684324,
CRS,2022-12-31,boost_full,0,0.024266345055945483,
CRS,2022-12-31,boost_full,1,0.027742867686376405,
CRS,2022-12-31,distributed_lag1,0.01,0.05451331703559937,
CRS,2022-12-31,distributed_lag1,0.1,0.05026532684968659,
CRS,2022-12-31,distributed_lag1,1.0,0.04094221912168214,
CRS,2022-12-31,distributed_lag1,10.0,0.032996671045879174,
CRS,2022-12-31,distributed_lag1,100.0,0.025783069597383686,
CRS,2022-12-31,distributed_lag3,0.01,0.06600428780528382,
CRS,2022-12-31,distributed_lag3,0.1,0.059849776519491665,
CRS,2022-12-31,distributed_lag3,1.0,0.045448794820540185,
CRS,2022-12-31,distributed_lag3,10.0,0.033634834796933556,
CRS,2022-12-31,distributed_lag3,100.0,0.0253007722365839,
CRS,2022-12-31,ar1,0,0.02139202373355453,
CRS,2022-12-31,A1_market,0.01,0.031523889152010716,
CRS,2022-12-31,A1_market,0.1,0.02587627762405929,
CRS,2022-12-31,A1_market,1.0,0.02499212208254704,
CRS,2022-12-31,A1_market,10.0,0.02312815262559204,
CRS,2022-12-31,A1_market,100.0,0.021521002873561252,
CRS,2022-12-31,A2_financial,0.01,0.22862919228895215,
CRS,2022-12-31,A2_financial,0.1,0.058447786217175675,
CRS,2022-12-31,A2_financial,1.0,0.02758678092890948,
CRS,2022-12-31,A2_financial,10.0,0.04359935837886856,
CRS,2022-12-31,A2_financial,100.0,0.031762973344849406,
CRS,2022-12-31,A3_valuation,0.01,0.29179514093276954,
CRS,2022-12-31,A3_valuation,0.1,0.218756174093186,
CRS,2022-12-31,A3_valuation,1.0,0.05174830728410177,
CRS,2022-12-31,A3_valuation,10.0,0.03034641466816515,
CRS,2022-12-31,A3_valuation,100.0,0.029699374393624123,
CRS,2022-12-31,A4_momentum,0.01,0.6274309042784902,
CRS,2022-12-31,A4_momentum,0.1,0.3750077715031897,
CRS,2022-12-31,A4_momentum,1.0,0.08413762500696531,
CRS,2022-12-31,A4_momentum,10.0,0.042799556328919686,
CRS,2022-12-31,A4_momentum,100.0,0.029525372248911528,
CRS,2022-12-31,A5_risk,0.01,0.8314491048284918,
CRS,2022-12-31,A5_risk,0.1,0.3551394614411228,
CRS,2022-12-31,A5_risk,1.0,0.08267547180316662,
CRS,2022-12-31,A5_risk,10.0,0.0501243109050075,
CRS,2022-12-31,A5_risk,100.0,0.030802617567977763,
CRS,2022-12-31,A6_industry,0.01,1.0361759277495797,
CRS,2022-12-31,A6_industry,0.1,0.3923324438433882,
CRS,2022-12-31,A6_industry,1.0,0.09872916290311451,
CRS,2022-12-31,A6_industry,10.0,0.05221296376587576,
CRS,2022-12-31,A6_industry,100.0,0.030471629602088005,
CRS,2022-12-31,A7_business,0.01,1.7756084143915791,
CRS,2022-12-31,A7_business,0.1,0.4272139727180935,
CRS,2022-12-31,A7_business,1.0,0.08440249255289028,
CRS,2022-12-31,A7_business,10.0,0.05291515901856846,
CRS,2022-12-31,A7_business,100.0,0.03170637738497616,
CRS,2022-12-31,A8_transform,0.01,3.625964829551228,
CRS,2022-12-31,A8_transform,0.1,0.6468670545275516,
CRS,2022-12-31,A8_transform,1.0,0.06254728357542469,
CRS,2022-12-31,A8_transform,10.0,0.042132727796491375,
CRS,2022-12-31,A8_transform,100.0,0.03119701224585586,
CRS,2022-12-31,A9_interaction,0.01,3.8302955983254363,
CRS,2022-12-31,A9_interaction,0.1,0.8593709373646791,
CRS,2022-12-31,A9_interaction,1.0,0.08270459075524295,
CRS,2022-12-31,A9_interaction,10.0,0.03547463166151311,
CRS,2022-12-31,A9_interaction,100.0,0.031191710404447234,
CRS,2022-12-31,P1_financial,0.01,0.026000203484020008,
CRS,2022-12-31,P1_financial,0.1,0.06189870828997494,
CRS,2022-12-31,P1_financial,1.0,0.05996111732804227,
CRS,2022-12-31,P1_financial,10.0,0.04363896943013942,
CRS,2022-12-31,P1_financial,100.0,0.031686659466832266,
CRS,2022-12-31,P2_valuation,0.01,0.19565322895056506,
CRS,2022-12-31,P2_valuation,0.1,0.04269458501391555,
CRS,2022-12-31,P2_valuation,1.0,0.029689098919873414,
CRS,2022-12-31,P2_valuation,10.0,0.030591537347404996,
CRS,2022-12-31,P2_valuation,100.0,0.029065500655909394,
CRS,2022-12-31,P3_transform,0.01,0.23272231420737977,
CRS,2022-12-31,P3_transform,0.1,0.0424526537897369,
CRS,2022-12-31,P3_transform,1.0,0.022675627593744613,
CRS,2022-12-31,P3_transform,10.0,0.028686987756908883,
CRS,2022-12-31,P3_transform,100.0,0.02909894953397162,
CRS,2022-12-31,P4_market,0.01,2.1764098761306983,
CRS,2022-12-31,P4_market,0.1,0.5572486851975812,
CRS,2022-12-31,P4_market,1.0,0.060977978180238625,
CRS,2022-12-31,P4_market,10.0,0.03980269292261396,
CRS,2022-12-31,P4_market,100.0,0.030474372321851285,
CRS,2022-12-31,P5_industry,0.01,2.4407680827738782,
CRS,2022-12-31,P5_industry,0.1,0.5182827540192018,
CRS,2022-12-31,P5_industry,1.0,0.06648555260290483,
CRS,2022-12-31,P5_industry,10.0,0.041987414981508764,
CRS,2022-12-31,P5_industry,100.0,0.030243511287631784,
CRS,2022-12-31,P6_business,0.01,3.625964829551228,
CRS,2022-12-31,P6_business,0.1,0.6468670545275516,
CRS,2022-12-31,P6_business,1.0,0.06254728357542469,
CRS,2022-12-31,P6_business,10.0,0.042132727796491375,
CRS,2022-12-31,P6_business,100.0,0.03119701224585586,
CRS,2022-12-31,financial_only,0.01,0.026000203484020008,
CRS,2022-12-31,financial_only,0.1,0.06189870828997494,
CRS,2022-12-31,financial_only,1.0,0.05996111732804227,
CRS,2022-12-31,financial_only,10.0,0.04363896943013942,
CRS,2022-12-31,financial_only,100.0,0.031686659466832266,
CRS,2022-12-31,financial_valuation,0.01,0.19565322895056506,
CRS,2022-12-31,financial_valuation,0.1,0.04269458501391555,
CRS,2022-12-31,financial_valuation,1.0,0.029689098919873414,
CRS,2022-12-31,financial_valuation,10.0,0.030591537347404996,
CRS,2022-12-31,financial_valuation,100.0,0.029065500655909394,
CRS,2022-12-31,without_market,0.01,1.1911060789953132,
CRS,2022-12-31,without_market,0.1,0.1865523411822104,
CRS,2022-12-31,without_market,1.0,0.02891817503022144,
CRS,2022-12-31,without_market,10.0,0.04721229280566936,
CRS,2022-12-31,without_market,100.0,0.03172951480837757,
CRS,2022-12-31,without_financial,0.01,0.1567334357397466,
CRS,2022-12-31,without_financial,0.1,0.11632249686608369,
CRS,2022-12-31,without_financial,1.0,0.09162850202487705,
CRS,2022-12-31,without_financial,10.0,0.04194025462756414,
CRS,2022-12-31,without_financial,100.0,0.025562983111281006,
CRS,2022-12-31,without_valuation,0.01,1.7353737167372658,
CRS,2022-12-31,without_valuation,0.1,0.49309703929008714,
CRS,2022-12-31,without_valuation,1.0,0.06641774299498361,
CRS,2022-12-31,without_valuation,10.0,0.041250565331528176,
CRS,2022-12-31,without_valuation,100.0,0.028870790406702925,
CRS,2022-12-31,without_momentum,0.01,3.6658793440912283,
CRS,2022-12-31,without_momentum,0.1,0.9503572951294718,
CRS,2022-12-31,without_momentum,1.0,0.0943194311548528,
CRS,2022-12-31,without_momentum,10.0,0.039857557670863304,
CRS,2022-12-31,without_momentum,100.0,0.03187435424079294,
CRS,2022-12-31,without_risk,0.01,1.304063396087763,
CRS,2022-12-31,without_risk,0.1,0.4969962454891217,
CRS,2022-12-31,without_risk,1.0,0.07049786956003928,
CRS,2022-12-31,without_risk,10.0,0.035503357452928465,
CRS,2022-12-31,without_risk,100.0,0.03015385658938756,
CRS,2022-12-31,without_industry,0.01,2.1498980639014675,
CRS,2022-12-31,without_industry,0.1,0.5447170532820991,
CRS,2022-12-31,without_industry,1.0,0.05578159941178203,
CRS,2022-12-31,without_industry,10.0,0.039592277464042265,
CRS,2022-12-31,without_industry,100.0,0.031413216731771075,
CRS,2022-12-31,without_business,0.01,2.4407680827738782,
CRS,2022-12-31,without_business,0.1,0.5182827540192018,
CRS,2022-12-31,without_business,1.0,0.06648555260290483,
CRS,2022-12-31,without_business,10.0,0.041987414981508764,
CRS,2022-12-31,without_business,100.0,0.030243511287631784,
CRS,2022-12-31,claims_proxy_sensitivity,0.01,3.4881162953479303,
CRS,2022-12-31,claims_proxy_sensitivity,0.1,0.5673961847843341,
CRS,2022-12-31,claims_proxy_sensitivity,1.0,0.06528496576680198,
