task,horizon,ticker,model,window,refits,intercept_only_share,median_candidates,median_retained,max_missing_indicators,max_excluded_low_coverage,median_effective_df,median_condition_number,min_rank,median_nonzero_coefficients,median_tree_leaves,distinct_retained_sets
return,1,MTRN,core_pe_difference,expanding,44,0.5454545454545454,6.0,6.0,0,0,0.0,1.723220576342527,0,0.0,,1
return,1,MTRN,core_pe_lag1,expanding,44,0.5454545454545454,6.0,6.0,0,0,0.0,1.7065091412607352,0,0.0,,1
return,1,MTRN,core_pe_level,expanding,44,0.5454545454545454,6.0,6.0,0,0,0.0,1.7150907255979453,0,0.0,,1
return,1,MTRN,core_pe_percentage,expanding,44,0.5454545454545454,6.0,6.0,0,0,0.0,1.7781657207957846,0,0.0,,1
return,1,MTRN,core_ridge,expanding,44,0.5454545454545454,6.0,6.0,0,0,0.0,1.8871265549917264,0,0.0,,1
return,1,MTRN,core_ridge_financial_ext,expanding,44,0.5454545454545454,8.0,7.0,0,1,0.0,2.854449643370688,0,0.0,,1
return,1,MTRN,distributed_all_lag1,expanding,44,0.5454545454545454,12.0,12.0,2,0,0.0,14.693896324848817,0,0.0,,1
return,1,MTRN,distributed_all_lag3,expanding,44,0.5454545454545454,18.0,18.0,2,0,0.0,17.92969892177549,0,0.0,,1
return,1,MTRN,distributed_lag1,expanding,44,0.5454545454545454,10.0,10.0,0,0,0.0,11.926929531986755,0,0.0,,1
return,1,MTRN,distributed_lag3,expanding,44,0.5454545454545454,16.0,16.0,0,0,0.0,16.001504552941483,0,0.0,,1
return,1,MTRN,elastic_full,expanding,44,0.0,80.0,74.0,6,6,2.0,651.0922852206014,75,2.0,,1
return,1,MTRN,financial_only,expanding,44,1.0,22.0,18.0,0,4,0.0,,0,0.0,,1
return,1,MTRN,financial_valuation,expanding,44,0.5454545454545454,32.0,28.0,6,4,0.0,130.3536345830701,0,0.0,,1
return,1,MTRN,forest_full,expanding,44,1.0,80.0,74.0,0,6,0.0,,0,0.0,,1
return,1,MTRN,lasso_full,expanding,44,0.5454545454545454,80.0,74.0,6,6,0.0,854.4983864539422,0,0.0,,1
return,1,MTRN,mine_inclusive_fcf,expanding,44,0.5454545454545454,82.0,74.0,6,8,0.0,554.7387623506377,0,0.0,,1
return,1,MTRN,ridge_full,expanding,44,0.5454545454545454,80.0,74.0,6,6,0.0,554.7387623506377,0,0.0,,1
return,1,MTRN,ridge_rolling84,rolling84,44,0.5454545454545454,80.0,74.0,3,6,0.0,2782.409580454124,0,0.0,,2
return,1,MTRN,without_business,expanding,44,0.5454545454545454,74.0,68.0,6,6,0.0,500.095202324169,0,0.0,,1
return,1,MTRN,without_financial,expanding,44,0.0,54.0,52.0,4,2,0.49995167544563013,366.69511291347817,52,56.0,,1
return,1,MTRN,without_industry,expanding,44,0.5454545454545454,75.0,69.0,6,6,0.0,520.0463449803342,0,0.0,,1
return,1,MTRN,without_market,expanding,44,0.2727272727272727,63.0,59.0,6,4,0.5626811500953859,337.156315976017,0,65.0,,1
return,1,MTRN,without_momentum,expanding,44,0.5454545454545454,74.0,68.0,6,6,0.0,506.7890362826662,0,0.0,,1
return,1,MTRN,without_risk,expanding,44,0.5454545454545454,70.0,64.0,6,6,0.0,501.3280741413768,0,0.0,,1
return,1,MTRN,without_valuation,expanding,44,1.0,66.0,60.0,0,6,0.0,,0,0.0,,1
return,1,MTRN+ENTG,business_pair_ridge,expanding,44,0.5454545454545454,83.0,78.0,13,3,0.0,1155.6336282612301,0,0.0,,1
return,1,pooled,panel_company_effects,expanding,44,0.0,9.0,9.0,2,0,11.0,23.88347317677293,10,11.0,,1
return,1,pooled,pooled_boost,expanding,44,0.8181818181818182,83.0,77.0,22,6,0.0,485.0152296690858,0,0.0,120.0,2
return,1,pooled,pooled_forest,expanding,44,0.8181818181818182,83.0,77.0,22,6,0.0,485.0152296690858,0,0.0,887.0,2
