ticker,variable,group,observations,available,status,selected_by_a_recorded_primary_model
CRS,debt_assets,financial,129,99,implemented,True
CRS,debt_equity,financial,129,99,implemented,True
CRS,interest_coverage,financial,129,129,implemented,True
CRS,current_ratio,financial,129,129,implemented,True
CRS,quick_ratio,financial,129,129,implemented,True
CRS,payout,financial,129,58,implemented,False
CRS,earnings_age_days,financial,129,129,implemented,True
CRS,earnings_yield,valuation,129,129,implemented,True
CRS,book_yield,valuation,129,129,implemented,True
CRS,sales_yield,valuation,129,119,implemented,True
CRS,fcf_equipment_yield,valuation,129,111,implemented,True
CRS,dividend_yield,valuation,129,129,implemented,True
CRS,earnings_yield_relative,valuation,129,117,implemented,True
CRS,earnings_yield_percentile,valuation,129,117,implemented,True
CRS,fcf_equipment_yield_relative,valuation,129,75,implemented,False
CRS,pe_percentile,valuation,129,51,implemented,False
CRS,peer_earnings_yield_gap,valuation,129,129,implemented,True
CRS,momentum_1,momentum,129,129,implemented,True
CRS,momentum_3,momentum,129,129,implemented,True
CRS,momentum_6,momentum,129,129,implemented,True
CRS,momentum_12,momentum,129,129,implemented,True
CRS,relative_momentum,momentum,129,129,implemented,True
CRS,industry_momentum_relative,momentum,129,129,implemented,True
CRS,vol_21,risk,129,129,implemented,True
CRS,vol_63,risk,129,129,implemented,True
CRS,vol_252,risk,129,129,implemented,True
CRS,beta_252,risk,129,129,implemented,True
CRS,idio_vol,risk,129,129,implemented,True
CRS,downside_deviation,risk,129,129,implemented,True
CRS,drawdown_252,risk,129,129,implemented,True
CRS,log_dollar_volume,risk,129,129,implemented,True
CRS,turnover,risk,129,129,implemented,True
CRS,amihud,risk,129,129,implemented,True
CRS,industry_vol,industry,129,129,implemented,True
CRS,sector_return,industry,129,129,implemented,True
CRS,semis_return,industry,129,129,implemented,True
CRS,defense_return,industry,129,129,implemented,True
CRS,driver_vol,business,129,129,implemented,True
CRS,copper_return,business,129,129,implemented,True
CRS,gold_return,business,129,129,implemented,True
CRS,silver_return,business,129,129,implemented,True
CRS,gas_return,business,129,129,implemented,True
CRS,oil_return,business,129,129,implemented,True
CRS,revenue_growth_diff,transform,129,126,implemented,True
CRS,operating_margin_diff,transform,129,116,implemented,True
CRS,roe_diff,transform,129,129,implemented,True
CRS,earnings_yield_diff,transform,129,129,implemented,True
CRS,revenue_growth_lag1,transform,129,127,implemented,True
CRS,earnings_yield_lag1,transform,129,129,implemented,True
CRS,pe_pct_change,transform,129,98,implemented,True
CRS,earnings_yield_z,transform,129,129,implemented,True
CRS,revenue_valuation_interaction,interaction,129,127,implemented,False
CRS,margin_valuation_interaction,interaction,129,117,implemented,False
CRS,roic_proxy,claims_proxy,129,99,implemented,False
CRS,ev_ebitda_proxy,claims_proxy,129,85,implemented,False
CRS,ev_sales_proxy,claims_proxy,129,89,implemented,False
CRS,fcf_yield,mine_inclusive_fcf,129,111,implemented,False
CRS,fcf_assets,mine_inclusive_fcf,129,111,implemented,False
CRS,pe,valuation,129,99,reported; reciprocal/related representation tested instead where redundant,False
CRS,pb,valuation,129,129,reported; reciprocal/related representation tested instead where redundant,False
CRS,ps,valuation,129,119,reported; reciprocal/related representation tested instead where redundant,False
CRS,pe_relative,valuation,129,51,reported; reciprocal/related representation tested instead where redundant,False
CRS,forward_pe,deferred,129,0,deferred,False
CRS,earnings_surprise,deferred,129,0,deferred,False
CRS,analyst_revisions,deferred,129,0,deferred,False
CRS,bid_ask_spread,deferred,129,0,deferred,False
CRS,roic,deferred,129,0,deferred,False
CRS,ev_ebitda,deferred,129,0,deferred,False
CRS,ev_sales,deferred,129,0,deferred,False
CRS,index_membership_return,deferred,129,0,deferred,False
CRS,tungsten_molybdenum_prices,deferred,129,0,deferred,False
ELMT,market_return,market,5,5,implemented,False
ELMT,market_vol,market,5,5,implemented,False
ELMT,smallcap_return,market,5,5,implemented,False
ELMT,yield_10y,market,5,5,implemented,False
ELMT,yield_short,market,5,5,implemented,False
ELMT,yield_10y_change,market,5,5,implemented,False
ELMT,term_spread,market,5,5,implemented,False
ELMT,vix,market,5,5,implemented,False
ELMT,credit_spread,market,5,5,implemented,False
ELMT,credit_spread_change,market,5,5,implemented,False
ELMT,real_yield,market,5,5,implemented,False
ELMT,real_yield_change,market,5,5,implemented,False
ELMT,eurusd_return,market,5,5,implemented,False
ELMT,dollar_return,market,5,5,implemented,False
ELMT,revenue_growth,financial,5,1,implemented,False
ELMT,eps_growth,financial,5,0,implemented,False
ELMT,eps_change_price,financial,5,3,implemented,False
ELMT,loss_transition,financial,5,3,implemented,False
ELMT,ebitda_growth,financial,5,0,implemented,False
ELMT,gross_margin,financial,5,0,implemented,False
ELMT,operating_margin,financial,5,0,implemented,False
ELMT,net_margin,financial,5,0,implemented,False
ELMT,ebitda_margin,financial,5,0,implemented,False
ELMT,roa,financial,5,0,implemented,False
ELMT,roe,financial,5,0,implemented,False
ELMT,cfo_assets,financial,5,0,implemented,False
ELMT,fcf_equipment_assets,financial,5,0,implemented,False
ELMT,capex_assets,financial,5,0,implemented,False
ELMT,cash_assets,financial,5,0,implemented,False
ELMT,debt_assets,financial,5,0,implemented,False
ELMT,debt_equity,financial,5,0,implemented,False
ELMT,interest_coverage,financial,5,0,implemented,False
ELMT,current_ratio,financial,5,0,implemented,False
ELMT,quick_ratio,financial,5,0,implemented,False
ELMT,payout,financial,5,0,implemented,False
ELMT,earnings_age_days,financial,5,0,implemented,False
ELMT,earnings_yield,valuation,5,0,implemented,False
ELMT,book_yield,valuation,5,0,implemented,False
ELMT,sales_yield,valuation,5,0,implemented,False
ELMT,fcf_equipment_yield,valuation,5,0,implemented,False
ELMT,dividend_yield,valuation,5,0,implemented,False
ELMT,earnings_yield_relative,valuation,5,0,implemented,False
ELMT,earnings_yield_percentile,valuation,5,0,implemented,False
ELMT,fcf_equipment_yield_relative,valuation,5,0,implemented,False
ELMT,pe_percentile,valuation,5,0,implemented,False
ELMT,peer_earnings_yield_gap,valuation,5,0,implemented,False
ELMT,momentum_1,momentum,5,5,implemented,False
ELMT,momentum_3,momentum,5,3,implemented,False
ELMT,momentum_6,momentum,5,0,implemented,False
ELMT,momentum_12,momentum,5,0,implemented,False
ELMT,relative_momentum,momentum,5,3,implemented,False
ELMT,industry_momentum_relative,momentum,5,3,implemented,False
ELMT,vol_21,risk,5,4,implemented,False
ELMT,vol_63,risk,5,2,implemented,False
ELMT,vol_252,risk,5,0,implemented,False
ELMT,beta_252,risk,5,0,implemented,False
ELMT,idio_vol,risk,5,0,implemented,False
ELMT,downside_deviation,risk,5,2,implemented,False
ELMT,drawdown_252,risk,5,0,implemented,False
ELMT,log_dollar_volume,risk,5,5,implemented,False
ELMT,turnover,risk,5,3,implemented,False
ELMT,amihud,risk,5,5,implemented,False
ELMT,industry_vol,industry,5,5,implemented,False
ELMT,sector_return,industry,5,5,implemented,False
ELMT,semis_return,industry,5,5,implemented,False
ELMT,defense_return,industry,5,5,implemented,False
ELMT,driver_vol,business,5,5,implemented,False
ELMT,copper_return,business,5,5,implemented,False
ELMT,gold_return,business,5,5,implemented,False
ELMT,silver_return,business,5,5,implemented,False
ELMT,gas_return,business,5,5,implemented,False
ELMT,oil_return,business,5,5,implemented,False
ELMT,revenue_growth_diff,transform,5,0,implemented,False
ELMT,operating_margin_diff,transform,5,0,implemented,False
ELMT,roe_diff,transform,5,0,implemented,False
ELMT,earnings_yield_diff,transform,5,0,implemented,False
ELMT,revenue_growth_lag1,transform,5,0,implemented,False
ELMT,earnings_yield_lag1,transform,5,0,implemented,False
ELMT,pe_pct_change,transform,5,0,implemented,False
ELMT,earnings_yield_z,transform,5,0,implemented,False
