ticker,task,window,date,model,parameter,validation_loss,inner_origins,first_inner_origin,labels_matured,horizon,stage,order,train_rows
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,intercept_only,0.2111001786420472,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,0.0001,0.2186527931824261,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,0.001,0.2185708852441286,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,0.01,0.2177992837825256,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,0.1,0.212879751158922,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,1.0,0.2023481888407538,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,10.0,0.2024555666727884,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_persistence,100.0,0.2096624726875866,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,intercept_only,0.2111001786420472,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,0.0001,0.2299985881986866,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,0.001,0.2295223001182126,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,0.01,0.2252084031045023,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,0.1,0.2033843587966212,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,1.0,0.1789549648415999,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,10.0,0.1905484333915514,24,2020-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2022-12-31,pooled_variance_external,100.0,0.2077773093332791,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,intercept_only,0.363506560834802,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,0.0001,0.6183652574893955,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,0.001,0.4967722655343839,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,0.01,0.3701161094872247,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,0.1,0.320628728478931,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,1.0,0.3050903606997794,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,10.0,0.3156939863760721,24,2020-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2022-12-31,business_pair_ridge,100.0,0.3511999654319163,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,intercept_only,0.1219347022342283,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,0.0001,0.8163673926145679,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,0.001,0.5557575704020995,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,0.01,0.3050121545700479,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,0.1,0.210084452113533,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,1.0,0.1561041675236995,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,10.0,0.1173074986543709,24,2020-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2022-12-31,business_pair_ridge,100.0,0.1172188043791354,24,2020-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,intercept_only,0.017008571850157,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,0.0001,0.0411463521637463,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,0.001,0.0350013746147844,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,0.01,0.0275190089354611,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,0.1,0.0223890849726933,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,1.0,0.0186196481990044,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,10.0,0.0171776110170058,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_ridge,100.0,0.0169986363711178,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_forest,intercept_only,0.017008571850157,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_forest,0,0.0176090443237008,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_forest,1,0.0178492261872896,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_boost,intercept_only,0.017008571850157,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_boost,0,0.0174752077181164,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2023-12-31,pooled_boost,1,0.0179379838132579,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,intercept_only,0.0147012215513499,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,0.0001,0.0571293228002364,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,0.001,0.0422421010458834,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,0.01,0.0297160560127867,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,0.1,0.0206700681974116,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,1.0,0.0167667450047397,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,10.0,0.0152919233498238,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2023-12-31,business_pair_ridge,100.0,0.0147759555907994,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,intercept_only,0.0197593270665595,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,0.0001,0.1036805600287,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,0.001,0.078150241544459,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,0.01,0.0546412331832072,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,0.1,0.0321880382454718,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,1.0,0.0211497479803401,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,10.0,0.0199175745405755,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2023-12-31,business_pair_ridge,100.0,0.0197633006690235,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_ridge,intercept_only,0.2279484739422197,24,2021-12-31,True,,tuning_pooled,,
