task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
market_relative_return,1,ATI,boost_full,0,44,0.1262206080674562,0.09422531956602845,0.0,-0.018368351291573232,-0.16131255215990464,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,ATI,core_ridge,0,44,0.1262206080674562,0.09422531956602845,0.0,-0.018368351291573232,-0.16131255215990464,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,ATI,historical_mean,0,44,0.1262206080674562,0.09422531956602845,0.0,-0.018368351291573232,-0.16131255215990464,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,ATI,ridge_full,0,44,0.1262206080674562,0.09422531956602845,0.0,-0.018368351291573232,-0.16131255215990464,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,ATI,zero,0,44,0.1294520997238942,0.09539642372227512,-0.05185932668741655,-0.03541906386415048,,0,2023-01-31,2026-08-31,0.0,0.5681818181818182,0.5681818181818182,44.0,,,,
market_relative_return,1,CRS,boost_full,0,44,0.13854422726763888,0.1125651506713266,-0.025830856590578488,-0.03766232666641608,-0.13449121782356505,0,2023-01-31,2026-08-31,0.5227272727272727,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,CRS,core_ridge,0,44,0.14262451366269827,0.11648493850410593,-0.08714442214595808,-0.013519888829953659,-0.17872747695002703,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,CRS,historical_mean,0,44,0.1367888050058936,0.10927610057750368,0.0,-0.03765214862282731,-0.14916137654458825,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,CRS,ridge_full,0,44,0.1398158184294076,0.11221179558083758,-0.04474790123125216,-0.026077463342920052,-0.05234660611199824,0,2023-01-31,2026-08-31,0.5454545454545454,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,CRS,zero,0,44,0.14047451817162598,0.10960798321963726,-0.054615114327426495,-0.05166564594542827,,0,2023-01-31,2026-08-31,0.0,0.5681818181818182,0.5681818181818182,44.0,,,,
market_relative_return,1,ENTG,boost_full,0,44,0.1360023698346181,0.10169827263794615,0.0,0.004463785113878926,-0.1842181860545956,0,2023-01-31,2026-08-31,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.0,,,,
market_relative_return,1,ENTG,core_ridge,0,44,0.1403521617199399,0.1043198069760789,-0.06498933859532685,-0.004060234358113151,-0.14959399052705308,0,2023-01-31,2026-08-31,0.3409090909090909,0.4090909090909091,0.4090909090909091,0.0,,,,
market_relative_return,1,ENTG,historical_mean,0,44,0.1360023698346181,0.10169827263794615,0.0,0.004463785113878926,-0.1842181860545956,0,2023-01-31,2026-08-31,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.0,,,,
market_relative_return,1,ENTG,ridge_full,0,44,0.13921645198638485,0.10593671051224839,-0.04782358758273997,-0.0015446926884916,-0.06815649773558868,0,2023-01-31,2026-08-31,0.45454545454545453,0.4090909090909091,0.4090909090909091,0.0,,,,
market_relative_return,1,ENTG,zero,0,44,0.13562689616719567,0.09819636713965801,0.005513953416258044,-0.009161063986410074,,0,2023-01-31,2026-08-31,0.0,0.4090909090909091,0.4090909090909091,44.0,,,,
market_relative_return,1,MTRN,boost_full,0,44,0.12307659138095754,0.09163455634693113,-0.018240466787514453,-0.007053547104225357,0.015698586933565607,0,2023-01-31,2026-08-31,0.5681818181818182,0.4772727272727273,0.4772727272727273,0.0,,,,
market_relative_return,1,MTRN,core_ridge,0,44,0.12346696032188735,0.09554591852639742,-0.02470993133769772,-0.016517002762527558,0.06296698240916518,0,2023-01-31,2026-08-31,0.5454545454545454,0.4772727272727273,0.4772727272727273,0.0,,,,
market_relative_return,1,MTRN,historical_mean,0,44,0.12196923040848497,0.09435552407095199,0.0,-0.006285510181084775,-0.172413704345054,0,2023-01-31,2026-08-31,0.4772727272727273,0.4772727272727273,0.4772727272727273,0.0,,,,
market_relative_return,1,MTRN,ridge_full,0,44,0.12440051610043863,0.09445068058876793,-0.04026454574447369,-0.009317037696075777,-0.10091734069181241,0,2023-01-31,2026-08-31,0.4318181818181818,0.4772727272727273,0.4772727272727273,0.0,,,,
market_relative_return,1,MTRN,zero,0,44,0.1221654242084479,0.09331404019441907,-0.0032196906257448976,-0.013999932714731362,,0,2023-01-31,2026-08-31,0.0,0.4772727272727273,0.4772727272727273,44.0,,,,
return,1,ATI,A1_market,0,44,0.13896313311291766,0.10594580230400073,-0.014461753314323422,-0.02590769103182251,-0.151624149770013,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A2_financial,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A3_valuation,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A4_momentum,0,44,0.13869987068312212,0.10523496858370734,-0.010621645776534905,-0.024774268497346676,-0.0417369363934589,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A5_risk,0,44,0.13850228855323032,0.10482417935102112,-0.007744374865272352,-0.02421959850581542,-0.030159528558159475,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A6_industry,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A7_business,0,44,0.13726349138350946,0.10568490113183739,0.01020201347213201,-0.024842926736469994,0.07887955340144402,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A8_transform,0,44,0.13696795675705403,0.1049856312262467,0.014459586570402694,-0.02302328439787826,0.07769537106836527,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,A9_interaction,0,44,0.13688114020867642,0.10478451136288039,0.01570855169628549,-0.022716626908575895,0.08080913459204764,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,P1_financial,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,P2_valuation,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,P3_transform,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,P4_market,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,P5_industry,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,P6_business,0,44,0.13696795675705403,0.1049856312262467,0.014459586570402694,-0.02302328439787826,0.07769537106836527,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
