ticker,date,model,hyperparameter,variable,effect,effect_type,center,scale,impute,clip_lo,clip_hi,stage
ATI,2022-12-31,forest_full,1,roe,0.0101198498981299,"training impurity importance, noncausal",-0.214848772531626,0.3922944806762691,-0.0613534754314048,-1.2460419341035514,0.1311287916459473,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,cfo_assets,0.0199603050409819,"training impurity importance, noncausal",0.0194291903228676,0.0293519867667323,0.0213245719112089,-0.0313968036637473,0.0713948162419571,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,fcf_equipment_assets,0.0041043518437446,"training impurity importance, noncausal",-0.0105942482766307,0.0316901488087324,-0.0061855227198979,-0.0673260782323363,0.0460940055981678,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,capex_assets,0.0,"training impurity importance, noncausal",0.0300234385994983,0.005723997202857,0.0305564178177867,0.0216063287261456,0.0423511738535908,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,cash_assets,0.0014191660499469,"training impurity importance, noncausal",0.0707071979038358,0.0495189562599513,0.0528318368995005,0.0205420560747663,0.2176159083540473,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,debt_assets,0.0070387192607324,"training impurity importance, noncausal",0.3208858395979798,0.0539626737861548,0.3019411915717135,0.2393621601143427,0.4031706089582285,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,debt_equity,0.0,"training impurity importance, noncausal",1.3943017967288345,0.8916909332906847,0.8819288227490338,0.6241842291225007,3.3873150105708247,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,current_ratio,0.0042104261481971,"training impurity importance, noncausal",2.8316565270407894,0.3801776367768105,2.8471035137701803,2.172921443224327,3.701082135887884,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,quick_ratio,0.0023100140205408,"training impurity importance, noncausal",1.275852412424666,0.2735889420237187,1.2502279981760145,0.7655363822855075,1.8634025190704275,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_age_days,0.0147769992592351,"training impurity importance, noncausal",90.94452380952382,27.28297416952828,91.0,30.0,149.34,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield,0.0420587545410516,"training impurity importance, noncausal",-0.1441711776513264,0.2327402202266281,-0.0328080113513346,-0.6149907900988055,0.2457465607393027,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,book_yield,0.0,"training impurity importance, noncausal",0.7570470548587871,0.5147774465368875,0.6225244728329051,0.1618176491290505,2.231302890445156,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,sales_yield,0.024298270840439,"training impurity importance, noncausal",1.6383679559486537,0.8051441181628692,1.400346008578827,0.8167480140461618,4.003987139563979,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,fcf_equipment_yield,0.0234546763912675,"training impurity importance, noncausal",-0.0192198969090025,0.0742281406804342,-0.012019331460409,-0.1645626659946343,0.1250584620620021,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,dividend_yield,0.0,"training impurity importance, noncausal",0.006725977034838,0.0142885912813005,0.0,0.0,0.0649658591761528,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield_relative,0.042805480810005,"training impurity importance, noncausal",-0.0792381015029602,0.230428772854441,0.0153973962577017,-0.5864885574842764,0.2774241136379908,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield_percentile,0.0217202592364724,"training impurity importance, noncausal",0.5458575020428756,0.3205793640060834,0.5793706293706293,0.0,1.0,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,fcf_equipment_yield_relative,0.0051173394535511,"training impurity importance, noncausal",0.0114303172195953,0.0701333868782059,0.022858540126446,-0.1533248656572365,0.1314378774804262,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,peer_earnings_yield_gap,0.022195771680923,"training impurity importance, noncausal",-0.175714831910907,0.2282400913848531,-0.0598888897749431,-0.6354520600569874,0.2190959478421899,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,momentum_1,0.0242410133728515,"training impurity importance, noncausal",0.0261015103208453,0.1544878204049052,0.0217051342095347,-0.2889285121789914,0.4356000582050879,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,momentum_3,0.0167695744604428,"training impurity importance, noncausal",0.067800670534472,0.2947864959372983,0.0301443363374033,-0.568707347085548,0.8598696826757493,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,momentum_6,0.0081017628563143,"training impurity importance, noncausal",0.1143095021791094,0.4301432454073065,0.0634950174213018,-0.6268139043279564,1.433901786850241,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,momentum_12,0.0074290983266159,"training impurity importance, noncausal",0.1556538506683106,0.5744570269690137,0.1097067200760621,-0.6728587844131872,1.8683102330216708,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,relative_momentum,0.0077447698125019,"training impurity importance, noncausal",0.0383657316441566,0.2822454032984158,0.0022169333194114,-0.4817457803333496,0.8094245414601814,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,industry_momentum_relative,0.0047978368785964,"training impurity importance, noncausal",0.039233270613328,0.2455013096121449,-0.0020477251853591,-0.2919800438372091,0.675273613805404,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,vol_21,0.0036718603423422,"training impurity importance, noncausal",0.0328565584144816,0.0144105646069655,0.027582028355631,0.0160196542112319,0.0853937900485908,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,vol_63,0.0,"training impurity importance, noncausal",0.0342155762599896,0.0142569474414146,0.028532846748861,0.0199214094726011,0.0889791693143107,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,vol_252,0.0164878075866516,"training impurity importance, noncausal",0.0356003865822384,0.0110863331990099,0.0333437332263932,0.0221218739198114,0.0581217801239651,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,beta_252,0.0018994904473842,"training impurity importance, noncausal",1.8117343485256456,0.6365429357943013,1.6243236542367303,0.9006517380079045,3.283154172116188,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,idio_vol,0.0098159393217153,"training impurity importance, noncausal",0.0305818354091347,0.0091284549522173,0.0298870274521918,0.0173325285146138,0.0466199375606097,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,downside_deviation,0.0367186577051378,"training impurity importance, noncausal",0.0220488323006154,0.0103436691587288,0.0188024975224529,0.0110049716986763,0.0653728514731332,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,drawdown_252,0.0146987747898513,"training impurity importance, noncausal",-0.4429075677036782,0.1950773505157182,-0.3651781023053612,-0.79830832442392,-0.2338835154782731,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,log_dollar_volume,0.0189283440096246,"training impurity importance, noncausal",17.405276865779932,0.299083372794132,17.40207276340732,16.8404497745271,18.09295919248738,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,turnover,0.0,"training impurity importance, noncausal",0.0169988397592334,0.0067184567590251,0.0147692379906321,0.0080753479575597,0.0349559976412654,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,amihud,0.0304153591547664,"training impurity importance, noncausal",0.0007634739983133,0.0004747596343807,0.0006595550966853,0.0002800508054324,0.0025800406959182,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,industry_vol,0.0382083283975527,"training impurity importance, noncausal",0.0123931297626406,0.0064924081476552,0.0109124906584522,0.0052899802868584,0.0406909529820458,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,sector_return,0.0337423044649972,"training impurity importance, noncausal",0.0101150942163547,0.0554702559021169,0.0138345034173277,-0.1388017975782925,0.1284174832842618,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,semis_return,0.0008834278352916,"training impurity importance, noncausal",0.0211493365207623,0.0737082787644563,0.0297137791768123,-0.1677895523779934,0.185100022513838,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,defense_return,0.0533754026996459,"training impurity importance, noncausal",0.0117139733148799,0.0578995326254776,0.0115483467010401,-0.1452652251310218,0.1838347472295484,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,driver_vol,0.0694054382717889,"training impurity importance, noncausal",0.0350407757353455,0.0212113939820689,0.0322661643261737,0.01147440959795,0.1323697997794741,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,copper_return,0.0300763815892703,"training impurity importance, noncausal",0.0089290777848158,0.0590780843321414,0.010628438170728,-0.1283147599006474,0.1865730798208099,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,gold_return,0.0469382930167435,"training impurity importance, noncausal",0.0067060452105051,0.0372981338097369,0.0024596996501128,-0.068849793951813,0.0935455533316522,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,silver_return,0.0184783961549848,"training impurity importance, noncausal",0.0074268628981536,0.071585976433421,-0.0012227301656746,-0.1400976726674137,0.202525169301717,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,gas_return,0.015851645825626,"training impurity importance, noncausal",0.0250833606314488,0.1492405466133781,0.0155939838976539,-0.2702351313581055,0.4535718749621227,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,oil_return,0.0064201774580217,"training impurity importance, noncausal",0.0145249531587273,0.11510058738222,0.0199659810040848,-0.3052827669110445,0.4253103063687127,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,revenue_growth_diff,0.0,"training impurity importance, noncausal",0.008076036739435,0.0705451883533769,0.0,-0.1525437320697688,0.3630091573887962,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,operating_margin_diff,0.0,"training impurity importance, noncausal",0.0004149215083196,0.0422241201529983,0.0,-0.1811887201267325,0.1756724325930369,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,roe_diff,0.0,"training impurity importance, noncausal",0.0014717369383146,0.0793149400883921,0.0,-0.3824347375710865,0.3490297445295506,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield_diff,0.0100807220011157,"training impurity importance, noncausal",-0.0017487573641969,0.0862709037887568,0.0029586628973458,-0.4355452758699782,0.2018337198222722,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,revenue_growth_lag1,0.01608582260864,"training impurity importance, noncausal",-0.0104645671019651,0.2255758631806695,0.0482931051841013,-0.4129773240404437,0.5571243102888672,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield_lag1,0.010755003524125,"training impurity importance, noncausal",-0.1453531683784978,0.2322254574449753,-0.0634622632628154,-0.6149907900988055,0.2457465607393027,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield_z,0.0243031060392491,"training impurity importance, noncausal",-0.4367602277700099,1.778196470391071,0.4625757212439451,-4.447152446957033,2.051484707294912,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,gross_margin missing,0.0,"training impurity importance, noncausal",0.0,1.0,0.0,0.0,1.0,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield_relative missing,0.0,"training impurity importance, noncausal",0.0,1.0,0.0,0.0,1.0,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,earnings_yield_percentile missing,0.0,"training impurity importance, noncausal",0.0,1.0,0.0,0.0,1.0,parameter_paths_return_ATI
ATI,2022-12-31,forest_full,1,fcf_equipment_yield_relative missing,0.0,"training impurity importance, noncausal",0.0,1.0,0.0,0.0,1.0,parameter_paths_return_ATI
ATI,2022-12-31,core_ols_financial_ext,0,revenue_growth,-0.0012763343185433,coefficient per training SD in target units,-0.0028031396630744,0.2291788160442715,0.0702327885091629,-0.4129773240404437,0.5571243102888672,parameter_paths_return_ATI
