ticker,model,horizon,origins,target_period,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts
ATI,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1450964958342841,0.10876339746298772,-0.03073722833571635,-0.022414433645755284,-0.16666302899488109,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.21966189932371358,0.17331422513914752,0.0,-0.06851659586472472,0.03682973368901624,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
ATI,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1396301638911963,0.10879902121121474,0.04546334657331308,9.189612664053535e-05,0.1329090401854888,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.1921426045824395,0.15094264415127534,0.23486533569261225,0.004566481996207408,0.39239147786291373,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
ATI,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14310673751757447,0.10830733008455536,-0.002661353894059193,-0.04450723199904457,0.2653306824909337,0,2023-05-31,2026-06-30,0.6578947368421053,0.6842105263157895,0.6842105263157895,0
ATI,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.22964910265960917,0.17939589258084696,-0.09299968470340891,-0.07815066467999102,-0.1572463779307318,0,2023-07-31,2026-08-31,0.6842105263157895,0.7105263157894737,0.7105263157894737,0
ATI,historical_mean,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14291668793886653,0.10793671132448457,0.0,-0.024102748628191034,-0.10755531104368642,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,historical_mean,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.21966189932371358,0.17331422513914752,0.0,-0.06851659586472472,0.03682973368901624,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
ATI,ridge_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14221415130077436,0.10883078735701883,0.00980725086594969,-0.023273200785574256,0.06820882418003806,0,2023-05-31,2026-06-30,0.6842105263157895,0.6842105263157895,0.6842105263157895,0
ATI,ridge_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.21966189932371358,0.17331422513914752,0.0,-0.06851659586472472,0.03682973368901624,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0
CRS,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14097489530846663,0.11135425168304988,0.003541083367033737,-0.05034822543193207,0.09500565504259186,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.24930529647959362,0.19101696387404,0.040532973703760744,-0.1274100644529685,-0.007224271281583522,0,2023-07-31,2026-08-31,0.868421052631579,0.9210526315789473,0.9210526315789473,0
CRS,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14149779243848018,0.12006530636592613,-0.003864658267934251,-0.012604851406100263,-0.04379347383592233,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.23287231428137803,0.17967346286072616,0.16285100124196694,-0.03294137252354117,-0.010325307737002205,0,2023-07-31,2026-08-31,0.868421052631579,0.9210526315789473,0.9210526315789473,0
CRS,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1418067489947512,0.11253749109048558,-0.00825326624643452,-0.052701615917211134,0.12712290288716155,0,2023-05-31,2026-06-30,0.5789473684210527,0.6578947368421053,0.6578947368421053,0
CRS,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.24773615459302983,0.19613983242678595,0.05257284564820319,-0.08632403955441424,-0.1451188416274175,0,2023-07-31,2026-08-31,0.9210526315789473,0.9210526315789473,0.9210526315789473,0
CRS,historical_mean,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1412251620950895,0.11280431842407568,0.0,-0.049276955653548116,-0.0010234477981998019,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,historical_mean,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.25451681397945397,0.19081009838148352,0.0,-0.14482151882253422,-0.10766511186475662,0,2023-07-31,2026-08-31,0.9210526315789473,0.9210526315789473,0.9210526315789473,0
CRS,ridge_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14230987137961476,0.11564330062924219,-0.015420410020592579,-0.03185660262114922,-0.0795949564794083,0,2023-05-31,2026-06-30,0.6578947368421053,0.6578947368421053,0.6578947368421053,0
CRS,ridge_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2569191142702502,0.19202035179851917,-0.018966429079880998,-0.14635050885079534,-0.1939213140809626,0,2023-07-31,2026-08-31,0.9210526315789473,0.9210526315789473,0.9210526315789473,0
ENTG,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.13693938329322936,0.10635690050590796,0.0,-0.006652673592967097,-0.19474997084725085,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2457016667133971,0.21255662102430917,-0.1273414798994814,0.014268802612319153,-0.3423427273574927,0,2023-07-31,2026-08-31,0.34210526315789475,0.42105263157894735,0.42105263157894735,0
ENTG,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14770342728574976,0.11925297859999894,-0.16338754515235632,-0.019895827360139662,-0.09203762278162238,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.25356752587483483,0.2138793453297463,-0.2006779862102337,0.011038536812158049,-0.11792257086370307,0,2023-07-31,2026-08-31,0.34210526315789475,0.42105263157894735,0.42105263157894735,0
ENTG,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.13693938329322936,0.10635690050590796,0.0,-0.006652673592967097,-0.19474997084725085,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.24101472156063933,0.2082016990027452,-0.08474191896668981,0.010599722097755747,-0.2648091124180707,0,2023-07-31,2026-08-31,0.34210526315789475,0.42105263157894735,0.42105263157894735,0
