,MTRN,ENTG,CRS,ATI,ELMT
MTRN,1.0,0.5577779274907735,0.44157498023107333,0.485368637139279,0.2366692092840784
ENTG,0.5577779274907735,1.0,0.4878607922537658,0.5146062510185462,0.3645982042758764
CRS,0.44157498023107333,0.4878607922537658,1.0,0.725284397177149,0.24629922893190764
ATI,0.485368637139279,0.5146062510185462,0.725284397177149,1.0,0.21416741195126426
ELMT,0.2366692092840784,0.3645982042758764,0.24629922893190764,0.21416741195126426,1.0
