task,horizon,ticker,model,window,date,hyperparameter,candidates,retained,missing_indicators,excluded_low_coverage,excluded_constant,retained_set,intercept_only,train_rows,rank,condition_number,effective_df,nonzero_coefficients,tree_leaves,stage
return,1,MTRN+ENTG,business_pair_ridge,expanding,2023-01-31,intercept_only,83,78,0,3,2,38141a41c1de,True,170,0,,0.0,0,,specifications_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2023-01-31,intercept_only,83,74,0,8,1,37c5e17dc656,True,170,0,,0.0,0,,specifications_pooled
variance,1,pooled,pooled_ridge,expanding,2023-01-31,100.0,83,77,18,6,0,5898871f321f,False,340,91,1040.2056490457096,0.7418639488319844,95,,specifications_pooled
variance,1,pooled,pooled_forest,expanding,2023-01-31,1,83,77,18,6,0,5898871f321f,False,340,91,1040.2056490457096,,0,952.0,specifications_pooled
variance,1,pooled,pooled_boost,expanding,2023-01-31,intercept_only,83,77,0,6,0,5898871f321f,True,340,0,,0.0,0,,specifications_pooled
variance,1,pooled,panel_company_effects,expanding,2023-01-31,0,9,9,1,0,0,b1e42779f476,False,340,10,9.858380479918637,10.0,10,,specifications_pooled
variance,1,pooled,pooled_variance_persistence,expanding,2023-01-31,1.0,6,6,0,0,0,dd5f57802637,False,340,6,4.341339259439413,2.452766185396359,6,,specifications_pooled
variance,1,pooled,pooled_variance_external,expanding,2023-01-31,1.0,11,11,0,0,0,2581d936cd87,False,340,11,7.922978330887328,4.186104291116354,11,,specifications_pooled
variance,1,MTRN+ENTG,business_pair_ridge,expanding,2023-01-31,1.0,83,78,12,3,2,38141a41c1de,False,170,83,762.7948910055964,19.89104916636308,90,,specifications_pooled
variance,1,CRS+ATI,business_pair_ridge,expanding,2023-01-31,100.0,83,74,11,8,1,37c5e17dc656,False,170,81,1134.505884792775,0.7035398433378917,85,,specifications_pooled
return,1,pooled,pooled_ridge,expanding,2023-02-28,intercept_only,83,77,0,6,0,5898871f321f,True,344,0,,0.0,0,,specifications_pooled
return,1,pooled,pooled_forest,expanding,2023-02-28,intercept_only,83,77,0,6,0,5898871f321f,True,344,0,,0.0,0,,specifications_pooled
return,1,pooled,pooled_boost,expanding,2023-02-28,intercept_only,83,77,0,6,0,5898871f321f,True,344,0,,0.0,0,,specifications_pooled
return,1,pooled,panel_company_effects,expanding,2023-02-28,0,9,9,1,0,0,b1e42779f476,False,344,10,9.889486915004358,10.0,10,,specifications_pooled
return,1,MTRN+ENTG,business_pair_ridge,expanding,2023-02-28,intercept_only,83,78,0,3,2,38141a41c1de,True,172,0,,0.0,0,,specifications_pooled
return,1,CRS+ATI,business_pair_ridge,expanding,2023-02-28,intercept_only,83,74,0,8,1,37c5e17dc656,True,172,0,,0.0,0,,specifications_pooled
