task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
market_relative_return,1,ATI,zero,high_vol_regime,1,12,0.14174480408450302,0.0969682907191981,-0.08247696192692522,-0.06315882254953414,,0,2023-01-31,2026-07-31,0.0,0.6666666666666666,0.6666666666666666,12.0,,,,
market_relative_return,1,ATI,zero,rate_rising_regime,0,16,0.15540399389440018,0.12065112982868842,-0.05627018983810195,-0.05229965289726629,,0,2023-02-28,2026-01-31,0.0,0.6875,0.6875,16.0,,,,
market_relative_return,1,ATI,zero,rate_rising_regime,1,28,0.11195324411738809,0.08096516309003894,-0.0470450961286113,-0.025773012988084303,,0,2023-01-31,2026-08-31,0.0,0.5,0.5,28.0,,,,
market_relative_return,1,ATI,zero,calendar_year,2023,12,0.10094166695796312,0.08266418344502026,-0.03419742756701272,-0.022305323111334038,,0,2023-01-31,2023-12-31,0.0,0.4166666666666667,0.4166666666666667,12.0,,,,
market_relative_return,1,ATI,zero,calendar_year,2024,12,0.12903289700052792,0.10826417480211624,0.013304872998132877,-0.005608511832619067,,0,2024-01-31,2024-12-31,0.0,0.5,0.5,12.0,,,,
market_relative_return,1,ATI,zero,calendar_year,2025,12,0.14231857985601085,0.09040853896217454,-0.08029942204856355,-0.05802447331747984,,0,2025-01-31,2025-12-31,0.0,0.75,0.75,12.0,,,,
market_relative_return,1,ATI,zero,calendar_year,2026,8,0.14672499263192473,0.10267498465854659,-0.10907159849954318,-0.06589738886067821,,0,2026-01-31,2026-08-31,0.0,0.625,0.625,8.0,,,,
market_relative_return,1,CRS,boost_full,high_vol_regime,0,32,0.14580567030613642,0.11750831043709094,-0.036948637416679864,-0.0338311239952402,-0.12463666869004354,0,2023-03-31,2026-08-31,0.46875,0.53125,0.53125,0.0,,,,
market_relative_return,1,CRS,boost_full,high_vol_regime,1,12,0.11699741315328989,0.09938339129595501,0.017783851860306066,-0.04787886712288511,-0.20802268092598988,0,2023-01-31,2026-07-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
market_relative_return,1,CRS,boost_full,rate_rising_regime,0,16,0.10883504888032786,0.08550193887989083,-0.0010934952487495764,-0.019755365461038316,0.02816745480025634,0,2023-02-28,2026-01-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,boost_full,rate_rising_regime,1,28,0.15295156121275102,0.1280298431235756,-0.03321775746206623,-0.04789487592663195,-0.16532749691966128,0,2023-01-31,2026-08-31,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.0,,,,
market_relative_return,1,CRS,boost_full,calendar_year,2023,12,0.11845708530257436,0.09781965978225236,0.0,-0.03606199368727065,-0.6158122957639734,0,2023-01-31,2023-12-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
market_relative_return,1,CRS,boost_full,calendar_year,2024,12,0.16061398479066244,0.13190418471000626,0.0,-0.05620425194136348,-0.193315170680517,0,2024-01-31,2024-12-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,boost_full,calendar_year,2025,12,0.10827365358118714,0.09069738985154212,0.0,-0.027968682748320133,-0.5333003832948572,0,2025-01-31,2025-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
market_relative_return,1,CRS,boost_full,calendar_year,2026,8,0.16805234350560624,0.13847647717659511,-0.10390730210000276,-0.026790404099857074,-0.1937144830700409,0,2026-01-31,2026-08-31,0.25,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,core_ridge,high_vol_regime,0,32,0.14681799360989906,0.12170221382086838,-0.05139761428837897,-0.014672499829509904,-0.09018976135243241,0,2023-03-31,2026-08-31,0.53125,0.53125,0.53125,0.0,,,,
market_relative_return,1,CRS,core_ridge,high_vol_regime,1,12,0.1307861930679768,0.10257220432607282,-0.22737803775185195,-0.010446259497803687,-0.5406148494931943,0,2023-01-31,2026-07-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
market_relative_return,1,CRS,core_ridge,rate_rising_regime,0,16,0.10789954785296207,0.08999140108954021,0.01604251041493987,0.003659788679136327,0.1367899004564351,0,2023-02-28,2026-01-31,0.5,0.5,0.5,0.0,,,,
