segment,revenue,operating_profit,margin,revenue_share,profit_share
Cloud & AI,29759,3758.0,0.1262811250378037,0.7107305772491701,0.6089774752876357
Corporate Investments and Other,1101,-83.0,-0.07538601271571299,0.026295049079315038,-0.013450008102414519
Networking,11011,2496.0,0.22668240850059032,0.2629743736715149,0.4044725328147788
